,Interval,Time_min,video,SSI_fa_ch
0,1,0.0,MOSA065,0.114906141998
1,2,0.5,MOSA065,0.00465751234195
2,3,1.0,MOSA065,0.000213377012102
3,4,1.5,MOSA065,0.0524994754095
4,5,2.0,MOSA065,0.00569392102059
5,6,2.5,MOSA065,0.0133731475505
6,7,3.0,MOSA065,0.0759900735553
7,8,3.5,MOSA065,0.0399987210013
8,9,4.0,MOSA065,0.0808491525638
9,10,4.5,MOSA065,0.0120147434066
10,11,5.0,MOSA065,0.118004043517
11,12,5.5,MOSA065,0.0320049483128
12,13,6.0,MOSA065,0.0358820518552
13,14,6.5,MOSA065,0.000652932889757
14,15,7.0,MOSA065,0.00100723702628
15,16,7.5,MOSA065,0.00010141809024
16,17,8.0,MOSA065,0.0319006028817
17,18,8.5,MOSA065,0.0226022602565
18,19,9.0,MOSA065,0.0102408742177
19,20,9.5,MOSA065,0.0680843061286
20,21,10.0,MOSA065,0.00238651491569
21,22,10.5,MOSA065,0.0091439753284
22,23,11.0,MOSA065,0.0234380492336
23,24,11.5,MOSA065,0.00627057604222
24,25,12.0,MOSA065,0.0882268864114
25,26,12.5,MOSA065,0.00451937978004
26,27,13.0,MOSA065,0.0104687672766
27,28,13.5,MOSA065,0.134610831932
28,29,14.0,MOSA065,0.000273517664605
29,30,14.5,MOSA065,0.0292182384782
30,31,15.0,MOSA065,0.0316175821244
31,32,15.5,MOSA065,0.139157612746
32,33,16.0,MOSA065,0.0155009040402
33,34,16.5,MOSA065,0.0145297972449
34,35,17.0,MOSA065,0.00227972739903
