,Interval,Time_min,video,SSI_mo_ch
0,1,0.0,NUMA027,0.0832565011377
1,2,0.5,NUMA027,0.033102172885
2,3,1.0,NUMA027,6.6003670196e-08
3,4,1.5,NUMA027,0.0668928900155
4,5,2.0,NUMA027,0.0237343587197
5,6,2.5,NUMA027,0.0508219424463
6,7,3.0,NUMA027,0.0922919225097
7,8,3.5,NUMA027,0.318570720452
8,9,4.0,NUMA027,0.00787280877295
9,10,4.5,NUMA027,0.0110881395995
10,11,5.0,NUMA027,0.304640504248
11,12,5.5,NUMA027,0.0208245392681
12,13,6.0,NUMA027,0.0717121009079
13,14,6.5,NUMA027,0.100284958036
14,15,7.0,NUMA027,0.023087571411
15,16,7.5,NUMA027,0.153836992492
16,17,8.0,NUMA027,0.0248352874865
17,18,8.5,NUMA027,0.0983072331305
18,19,9.0,NUMA027,0.0364933815025
19,20,9.5,NUMA027,0.116720625979
20,21,10.0,NUMA027,0.0354993117485
21,22,10.5,NUMA027,0.0229131700748
22,23,11.0,NUMA027,0.17456950152
23,24,11.5,NUMA027,0.00122202706246
24,25,12.0,NUMA027,0.0162782829196
25,26,12.5,NUMA027,0.0994439422477
