,Interval,Time_min,video,SSI_mo_ch
0,1,0.0,PAMA029,0.0769510735623
1,2,0.5,PAMA029,0.0371893416156
2,3,1.0,PAMA029,0.0498897239281
3,4,1.5,PAMA029,0.00559932428421
4,5,2.0,PAMA029,0.000372093946263
5,6,2.5,PAMA029,0.145297181156
6,7,3.0,PAMA029,0.0323625696923
7,8,3.5,PAMA029,0.0834510309639
8,9,4.0,PAMA029,0.0432076538513
9,10,4.5,PAMA029,0.048476868635
10,11,5.0,PAMA029,0.10531856455
11,12,5.5,PAMA029,0.000248036969103
12,13,6.0,PAMA029,0.0825525924616
13,14,6.5,PAMA029,0.0398324120285
14,15,7.0,PAMA029,0.155140864011
15,16,7.5,PAMA029,0.0913416298693
16,17,8.0,PAMA029,0.000574595277048
17,18,8.5,PAMA029,0.0108617265837
18,19,9.0,PAMA029,0.00276609551327
19,20,9.5,PAMA029,0.0125078688071
20,21,10.0,PAMA029,0.0795652202072
21,22,10.5,PAMA029,0.00084112873596
22,23,11.0,PAMA029,0.0286075779436
23,24,11.5,PAMA029,0.00516761922181
24,25,12.0,PAMA029,0.0129943789344
25,26,12.5,PAMA029,0.00485090204965
26,27,13.0,PAMA029,0.0494498536508
27,28,13.5,PAMA029,0.0276145348559
28,29,14.0,PAMA029,0.112300658709
29,30,14.5,PAMA029,0.0332890819292
30,31,15.0,PAMA029,0.0147403231207
