,Interval,Time_min,video,SSI_mo_ch
0,1,0.0,PELI020,0.0334500690237
1,2,0.5,PELI020,0.0534987286207
2,3,1.0,PELI020,0.0336905073809
3,4,1.5,PELI020,0.00395627062049
4,5,2.0,PELI020,0.0201710413336
5,6,2.5,PELI020,0.0212662709493
6,7,3.0,PELI020,0.00163352069499
7,8,3.5,PELI020,0.0210777807449
8,9,4.0,PELI020,0.0887053441896
9,10,4.5,PELI020,0.00761055843171
10,11,5.0,PELI020,0.0446297533256
11,12,5.5,PELI020,0.115759998328
12,13,6.0,PELI020,0.0522404283774
13,14,6.5,PELI020,0.0942407102477
14,15,7.0,PELI020,0.00722047257657
15,16,7.5,PELI020,0.0423363566034
16,17,8.0,PELI020,0.0582721919456
17,18,8.5,PELI020,0.00258112170938
18,19,9.0,PELI020,0.00876394548846
19,20,9.5,PELI020,0.00177052494838
20,21,10.0,PELI020,0.0214286851195
21,22,10.5,PELI020,0.000763907706613
22,23,11.0,PELI020,0.0406157792994
23,24,11.5,PELI020,0.00500394862602
24,25,12.0,PELI020,0.0151884463127
25,26,12.5,PELI020,0.0172461875851
26,27,13.0,PELI020,0.00439771463194
27,28,13.5,PELI020,2.81298510284e-05
28,29,14.0,PELI020,0.0187347426638
29,30,14.5,PELI020,0.00449699470027
