,Interval,Time_min,video,SSI_mo_ch
0,1,0.0,RAEM049,0.0402697408275
1,2,0.5,RAEM049,0.0626808047265
2,3,1.0,RAEM049,0.00998674059048
3,4,1.5,RAEM049,0.00261842815509
4,5,2.0,RAEM049,0.00153626571319
5,6,2.5,RAEM049,0.111607083981
6,7,3.0,RAEM049,0.00748912183383
7,8,3.5,RAEM049,0.0148580899708
8,9,4.0,RAEM049,0.0125779266651
9,10,4.5,RAEM049,0.00998034316857
10,11,5.0,RAEM049,0.00118624796461
11,12,5.5,RAEM049,0.0869676918754
12,13,6.0,RAEM049,0.00778531692587
13,14,6.5,RAEM049,0.0324781873073
14,15,7.0,RAEM049,0.00203773947423
15,16,7.5,RAEM049,0.000561729235784
16,17,8.0,RAEM049,0.0964881971157
17,18,8.5,RAEM049,0.0316637318686
18,19,9.0,RAEM049,0.00084768879118
19,20,9.5,RAEM049,0.000913731194118
20,21,10.0,RAEM049,0.00170217752957
21,22,10.5,RAEM049,0.0010265499054
22,23,11.0,RAEM049,0.0502904308281
23,24,11.5,RAEM049,0.0012200675524
24,25,12.0,RAEM049,0.00531803977178
25,26,12.5,RAEM049,0.0065512675028
26,27,13.0,RAEM049,0.000100003879974
27,28,13.5,RAEM049,0.00322531424931
28,29,14.0,RAEM049,0.13310479091
29,30,14.5,RAEM049,0.0218903006371
