,Interval,Time_min,video,SSI_mo_ch
0,1,0.0,SOGA061,0.383618176806
1,2,0.5,SOGA061,0.118936134707
2,3,1.0,SOGA061,5.88317922213e-05
3,4,1.5,SOGA061,0.0734368593017
4,5,2.0,SOGA061,0.0341575069934
5,6,2.5,SOGA061,0.111368655612
6,7,3.0,SOGA061,0.000247137955192
7,8,3.5,SOGA061,0.043549122954
8,9,4.0,SOGA061,0.155525318562
9,10,4.5,SOGA061,0.00621518633084
10,11,5.0,SOGA061,0.0922561814929
11,12,5.5,SOGA061,0.0848763650068
12,13,6.0,SOGA061,0.0177016665433
13,14,6.5,SOGA061,0.004072079993
14,15,7.0,SOGA061,0.000686980323324
15,16,7.5,SOGA061,0.0252957449099
16,17,8.0,SOGA061,0.0414411835205
17,18,8.5,SOGA061,0.00220764924203
18,19,9.0,SOGA061,0.0746855732457
19,20,9.5,SOGA061,0.106263468973
20,21,10.0,SOGA061,0.00620402484765
21,22,10.5,SOGA061,0.0675791804318
22,23,11.0,SOGA061,0.00544279154462
23,24,11.5,SOGA061,0.0721469760107
24,25,12.0,SOGA061,0.064160643714
25,26,12.5,SOGA061,0.0231164892704
26,27,13.0,SOGA061,0.0453351441354
27,28,13.5,SOGA061,0.0337927619276
28,29,14.0,SOGA061,0.00214753769553
29,30,14.5,SOGA061,0.00683339839942
