,Interval,Time_min,video,SSI_mo_ch
0,1,0.0,VINO,0.0228407910122
1,2,0.5,VINO,0.0123817173685
2,3,1.0,VINO,0.121824368327
3,4,1.5,VINO,0.00135237981736
4,5,2.0,VINO,0.0556269649061
5,6,2.5,VINO,0.0150112676983
6,7,3.0,VINO,0.00108237727779
7,8,3.5,VINO,0.0119868959664
8,9,4.0,VINO,0.0340352459215
9,10,4.5,VINO,0.0474442167123
10,11,5.0,VINO,0.00052856555578
11,12,5.5,VINO,0.0279520832236
12,13,6.0,VINO,0.00716904360288
13,14,6.5,VINO,0.00121776494735
14,15,7.0,VINO,0.0124886658337
15,16,7.5,VINO,0.00490826756821
16,17,8.0,VINO,0.0411351255566
17,18,8.5,VINO,0.090693902849
18,19,9.0,VINO,0.00196415830365
19,20,9.5,VINO,0.00258031755732
20,21,10.0,VINO,0.00745187425301
21,22,10.5,VINO,0.00499727725277
22,23,11.0,VINO,0.00220019059104
23,24,11.5,VINO,0.0153401364586
24,25,12.0,VINO,0.0064078412743
25,26,12.5,VINO,0.0444141181202
26,27,13.0,VINO,0.0681906197191
27,28,13.5,VINO,0.000107117659305
28,29,14.0,VINO,0.0225928594497
29,30,14.5,VINO,0.00313805577822
