,Interval,Time_min,video,SSI_mo_pa
0,1,0.0,COLO022,0.3913344272
1,2,0.166666666667,COLO022,0.00369956308379
2,3,0.333333333333,COLO022,0.0506407154466
3,4,0.5,COLO022,0.0147886454926
4,5,0.666666666667,COLO022,0.0167622953312
5,6,0.833333333333,COLO022,0.00234708962446
6,7,1.0,COLO022,0.00044234098941
7,8,1.16666666667,COLO022,0.0873307339595
8,9,1.33333333333,COLO022,0.0155273820389
9,10,1.5,COLO022,0.0605035533786
10,11,1.66666666667,COLO022,0.0150694062291
11,12,1.83333333333,COLO022,0.0223739697741
12,13,2.0,COLO022,0.0150773961114
13,14,2.16666666667,COLO022,0.0319869533072
14,15,2.33333333333,COLO022,2.74975194706e-05
15,16,2.5,COLO022,0.009191703144
16,17,2.66666666667,COLO022,0.809558299007
17,18,2.83333333333,COLO022,0.0941103460838
18,19,3.0,COLO022,0.0119470973603
19,20,3.16666666667,COLO022,0.00844343555313
20,21,3.33333333333,COLO022,0.0511806358166
21,22,3.5,COLO022,0.0301862129523
22,23,3.66666666667,COLO022,0.00114069910345
23,24,3.83333333333,COLO022,0.000153950577061
24,25,4.0,COLO022,0.0321423564073
25,26,4.16666666667,COLO022,0.00750139552904
26,27,4.33333333333,COLO022,0.0444475682076
27,28,4.5,COLO022,0.0104986008367
28,29,4.66666666667,COLO022,0.0771145650778
29,30,4.83333333333,COLO022,0.00386622332229
30,31,5.0,COLO022,0.0279972547336
31,32,5.16666666667,COLO022,0.00158652929504
32,33,5.33333333333,COLO022,0.0541193835581
33,34,5.5,COLO022,0.015677211709
34,35,5.66666666667,COLO022,0.0750653055983
35,36,5.83333333333,COLO022,0.0822613012936
36,37,6.0,COLO022,0.000788736698716
37,38,6.16666666667,COLO022,0.237109191395
38,39,6.33333333333,COLO022,0.000173757449832
39,40,6.5,COLO022,0.206526404026
40,41,6.66666666667,COLO022,0.17883470657
41,42,6.83333333333,COLO022,0.0269774831706
42,43,7.0,COLO022,0.0234885573628
43,44,7.16666666667,COLO022,0.0859551257475
44,45,7.33333333333,COLO022,0.0163750271062
45,46,7.5,COLO022,0.206207858703
46,47,7.66666666667,COLO022,0.292647794983
47,48,7.83333333333,COLO022,0.0592741816988
