,Interval,Time_min,video,SSI_mo_pa
0,1,0.0,MAEL048,0.0824641657276
1,2,0.166666666667,MAEL048,0.00593582662433
2,3,0.333333333333,MAEL048,0.00296684960741
3,4,0.5,MAEL048,0.0211650515298
4,5,0.666666666667,MAEL048,0.0119119946006
5,6,0.833333333333,MAEL048,0.00757340430818
6,7,1.0,MAEL048,0.0203296237472
7,8,1.16666666667,MAEL048,0.0167591278365
8,9,1.33333333333,MAEL048,0.0028301529859
9,10,1.5,MAEL048,0.141505712509
10,11,1.66666666667,MAEL048,0.000320732253893
11,12,1.83333333333,MAEL048,0.0277152433945
12,13,2.0,MAEL048,0.0275681443811
13,14,2.16666666667,MAEL048,0.00111844809936
14,15,2.33333333333,MAEL048,0.0610834487
15,16,2.5,MAEL048,0.0535799047636
16,17,2.66666666667,MAEL048,0.11363839118
17,18,2.83333333333,MAEL048,0.00854308209474
18,19,3.0,MAEL048,0.0443867864996
19,20,3.16666666667,MAEL048,0.0741284382849
20,21,3.33333333333,MAEL048,0.189861296589
21,22,3.5,MAEL048,0.00982851013973
22,23,3.66666666667,MAEL048,0.0209575724414
23,24,3.83333333333,MAEL048,0.0052065519865
24,25,4.0,MAEL048,0.151904149826
25,26,4.16666666667,MAEL048,0.0151667599301
26,27,4.33333333333,MAEL048,0.000556784580049
27,28,4.5,MAEL048,0.00321295254354
28,29,4.66666666667,MAEL048,0.0111470411246
29,30,4.83333333333,MAEL048,0.256228372447
30,31,5.0,MAEL048,0.0459587217312
31,32,5.16666666667,MAEL048,0.00157867429942
32,33,5.33333333333,MAEL048,0.0492893098166
33,34,5.5,MAEL048,0.00266841652625
34,35,5.66666666667,MAEL048,0.0217634777535
35,36,5.83333333333,MAEL048,0.0177125920482
36,37,6.0,MAEL048,0.00190906585551
37,38,6.16666666667,MAEL048,0.00306852940516
38,39,6.33333333333,MAEL048,0.0703790190942
39,40,6.5,MAEL048,0.0468434062667
40,41,6.66666666667,MAEL048,0.030725863228
41,42,6.83333333333,MAEL048,0.174897949813
42,43,7.0,MAEL048,0.000510460707391
43,44,7.16666666667,MAEL048,0.0033794864676
44,45,7.33333333333,MAEL048,0.0718942161268
