,Interval,Time_min,video,SSI_mo_ch
0,1,0.0,41,0.0520643496632
1,2,0.166666666667,41,0.0191825376858
2,3,0.333333333333,41,0.0687317265329
3,4,0.5,41,0.00042229419743
4,5,0.666666666667,41,0.134980291527
5,6,0.833333333333,41,0.140360582842
6,7,1.0,41,0.000185807579076
7,8,1.16666666667,41,0.109865140276
8,9,1.33333333333,41,0.0292973120297
9,10,1.5,41,0.0752307738775
10,11,1.66666666667,41,0.000350185069059
11,12,1.83333333333,41,0.00197081392234
12,13,2.0,41,0.182065464091
13,14,2.16666666667,41,0.00567456660933
14,15,2.33333333333,41,0.0136638403922
15,16,2.5,41,0.00513956209127
16,17,2.66666666667,41,0.198983002949
17,18,2.83333333333,41,0.0638411587121
18,19,3.0,41,0.123490229592
19,20,3.16666666667,41,2.91211612328e-05
20,21,3.33333333333,41,0.000711891333057
21,22,3.5,41,0.0366305261999
22,23,3.66666666667,41,0.129002468745
23,24,3.83333333333,41,0.00237147593218
24,25,4.0,41,0.00442591945405
25,26,4.16666666667,41,0.188975336533
26,27,4.33333333333,41,0.000577270562474
27,28,4.5,41,0.0373888771934
28,29,4.66666666667,41,0.022095287157
29,30,4.83333333333,41,0.0456101616349
30,31,5.0,41,0.00290840592688
31,32,5.16666666667,41,0.0563584063809
32,33,5.33333333333,41,0.0315851104556
33,34,5.5,41,0.105047852167
34,35,5.66666666667,41,0.0442062776159
35,36,5.83333333333,41,0.0295851058876
36,37,6.0,41,0.0116125121353
37,38,6.16666666667,41,0.0640802323367
38,39,6.33333333333,41,0.00650267548795
39,40,6.5,41,0.0263243141034
40,41,6.66666666667,41,0.0132039255797
41,42,6.83333333333,41,0.0502467129336
42,43,7.0,41,0.000612285842006
43,44,7.16666666667,41,0.368349663206
44,45,7.33333333333,41,0.028755271801
45,46,7.5,41,0.00519554560865
46,47,7.66666666667,41,0.0918518416205
47,48,7.83333333333,41,0.062728899544
48,49,8.0,41,0.179119730081
49,50,8.16666666667,41,0.0845490331998
50,51,8.33333333333,41,0.0598048126142
51,52,8.5,41,0.0119468799413
52,53,8.66666666667,41,0.000772486117636
53,54,8.83333333333,41,0.0443892110662
54,55,9.0,41,0.20298264362
55,56,9.16666666667,41,0.0001847193609
56,57,9.33333333333,41,0.0215280752183
57,58,9.5,41,0.00375370727527
58,59,9.66666666667,41,0.00414332963419
59,60,9.83333333333,41,0.101752005772
60,61,10.0,41,0.0010002716032
61,62,10.1666666667,41,6.97675136919e-05
62,63,10.3333333333,41,0.00162903037888
63,64,10.5,41,0.057352321082
64,65,10.6666666667,41,0.021344871199
65,66,10.8333333333,41,7.0726225222e-05
66,67,11.0,41,0.0414583750777
67,68,11.1666666667,41,0.0488274740891
68,69,11.3333333333,41,0.0856281028485
69,70,11.5,41,0.0395449747955
70,71,11.6666666667,41,0.0139143045061
71,72,11.8333333333,41,0.000282598179812
72,73,12.0,41,0.0122600183759
73,74,12.1666666667,41,0.00434740819367
74,75,12.3333333333,41,0.00250946654527
75,76,12.5,41,0.00510368420591
76,77,12.6666666667,41,0.0258540247212
77,78,12.8333333333,41,0.0111014391518
78,79,13.0,41,0.0606413344639
79,80,13.1666666667,41,0.0726220648704
80,81,13.3333333333,41,0.00528634451773
81,82,13.5,41,0.151573633087
82,83,13.6666666667,41,0.00117021389193
83,84,13.8333333333,41,0.0501114904317
84,85,14.0,41,0.0141292399032
85,86,14.1666666667,41,0.022106636356
86,87,14.3333333333,41,0.0254262891959
87,88,14.5,41,0.45400304151
88,89,14.6666666667,41,0.00114207962386
89,90,14.8333333333,41,0.000970167228996
90,91,15.0,41,0.106522033266
91,92,15.1666666667,41,0.000331224653069
