,Interval,Time_min,video,SSI_fa_ch
0,1,0.0,1606,0.00146226703462
1,2,0.5,1606,0.00559405413315
2,3,1.0,1606,0.0197860732005
3,4,1.5,1606,0.128088265226
4,5,2.0,1606,0.00664695188242
5,6,2.5,1606,0.0325973070927
6,7,3.0,1606,0.000981848593037
7,8,3.5,1606,0.000339024779217
8,9,4.0,1606,0.0385755741764
9,10,4.5,1606,0.00754798243773
10,11,5.0,1606,0.00338444292705
11,12,5.5,1606,0.021530399926
12,13,6.0,1606,0.104599550497
13,14,6.5,1606,0.0711306163897
14,15,7.0,1606,0.0156705684651
15,16,7.5,1606,0.00130505220514
16,17,8.0,1606,0.00851554547527
17,18,8.5,1606,0.00905446841126
18,19,9.0,1606,0.00406678605035
19,20,9.5,1606,0.0200258443699
20,21,10.0,1606,0.00358416247846
21,22,10.5,1606,1.95606449831e-05
22,23,11.0,1606,0.0990997230311
23,24,11.5,1606,0.357907429526
24,25,12.0,1606,0.0667145737971
25,26,12.5,1606,0.00204992490712
26,27,13.0,1606,0.0235649994667
27,28,13.5,1606,0.00128295806454
28,29,14.0,1606,0.00213031516416
29,30,14.5,1606,0.00729314911887
30,31,15.0,1606,0.0140223582864
31,32,15.5,1606,2.90301023324e-05
32,33,16.0,1606,0.00529287840873
