,Interval,Time_min,video,SSI_mo_ch
0,1,0.0,BALE050,0.0261643667523
1,2,0.5,BALE050,0.170319560496
2,3,1.0,BALE050,0.0557552067404
3,4,1.5,BALE050,0.000292119413346
4,5,2.0,BALE050,0.0726260149857
5,6,2.5,BALE050,0.0275403130318
6,7,3.0,BALE050,0.009945408132
7,8,3.5,BALE050,0.0180570936707
8,9,4.0,BALE050,3.08003636327e-05
9,10,4.5,BALE050,0.00233503946483
10,11,5.0,BALE050,0.0457856942736
11,12,5.5,BALE050,0.0359079614508
12,13,6.0,BALE050,0.033714654477
13,14,6.5,BALE050,0.024466575212
14,15,7.0,BALE050,0.0321431230715
15,16,7.5,BALE050,0.00013749204384
16,17,8.0,BALE050,0.0538063179983
17,18,8.5,BALE050,0.0324931638793
18,19,9.0,BALE050,0.00365885248555
19,20,9.5,BALE050,3.71597800086e-07
20,21,10.0,BALE050,0.0111146518609
21,22,10.5,BALE050,3.16429184439e-05
22,23,11.0,BALE050,0.0140315212795
23,24,11.5,BALE050,0.0448132181871
24,25,12.0,BALE050,0.0861860587288
25,26,12.5,BALE050,0.0575477415968
26,27,13.0,BALE050,0.00442402555015
27,28,13.5,BALE050,0.011170958891
28,29,14.0,BALE050,0.0640353690186
29,30,14.5,BALE050,0.00370588305462
30,31,15.0,BALE050,0.0458718083014
