,Interval,Time_min,video,SSI_mo_ch
0,1,0.0,BALU062,0.0228192245883
1,2,0.5,BALU062,0.0750197018819
2,3,1.0,BALU062,0.00468872772374
3,4,1.5,BALU062,0.0250005319355
4,5,2.0,BALU062,3.4895395688e-05
5,6,2.5,BALU062,0.0099996995271
6,7,3.0,BALU062,0.0189478504073
7,8,3.5,BALU062,0.0114430360829
8,9,4.0,BALU062,0.016581422433
9,10,4.5,BALU062,0.00861570608785
10,11,5.0,BALU062,0.0183449583756
11,12,5.5,BALU062,0.057024416503
12,13,6.0,BALU062,0.0734456539939
13,14,6.5,BALU062,0.00742499053485
14,15,7.0,BALU062,0.0281886163884
15,16,7.5,BALU062,0.0323520369198
16,17,8.0,BALU062,0.00616950574607
17,18,8.5,BALU062,0.153946269768
18,19,9.0,BALU062,0.0128685701681
19,20,9.5,BALU062,0.00146562452691
20,21,10.0,BALU062,0.0574148291674
21,22,10.5,BALU062,0.0173988871459
22,23,11.0,BALU062,0.000427402246035
23,24,11.5,BALU062,0.00760893627715
24,25,12.0,BALU062,0.0303493951038
25,26,12.5,BALU062,0.0344196700815
26,27,13.0,BALU062,0.291618678294
27,28,13.5,BALU062,0.0256887775808
28,29,14.0,BALU062,0.0839986546877
29,30,14.5,BALU062,0.0155710686788
30,31,15.0,BALU062,0.164746501067
31,32,15.5,BALU062,0.00762447498239
