,Interval,Time_min,video,SSI_mo_ch
0,1,0.0,BEAL036,0.0032917317416
1,2,0.5,BEAL036,0.0176358018104
2,3,1.0,BEAL036,0.0114678889078
3,4,1.5,BEAL036,0.118517520748
4,5,2.0,BEAL036,0.312461763707
5,6,2.5,BEAL036,0.00153578450281
6,7,3.0,BEAL036,0.000711102146045
7,8,3.5,BEAL036,0.0714084092532
8,9,4.0,BEAL036,0.00457980026402
9,10,4.5,BEAL036,0.00558074705762
10,11,5.0,BEAL036,0.00431224701246
11,12,5.5,BEAL036,0.00274047335198
12,13,6.0,BEAL036,0.0222075362127
13,14,6.5,BEAL036,0.00143440282667
14,15,7.0,BEAL036,0.0724723280942
15,16,7.5,BEAL036,0.0220188867957
16,17,8.0,BEAL036,7.68751427294e-07
17,18,8.5,BEAL036,0.144034454856
18,19,9.0,BEAL036,0.0933175111252
19,20,9.5,BEAL036,0.0152871710073
20,21,10.0,BEAL036,0.0113933234269
21,22,10.5,BEAL036,0.0249662494902
22,23,11.0,BEAL036,2.07207164588e-05
23,24,11.5,BEAL036,0.0350439962364
24,25,12.0,BEAL036,0.00719192785899
25,26,12.5,BEAL036,0.0709636964219
26,27,13.0,BEAL036,0.00142163940831
27,28,13.5,BEAL036,0.00191661891164
28,29,14.0,BEAL036,0.0632912716347
29,30,14.5,BEAL036,0.0537560665998
30,31,15.0,BEAL036,0.029631377492
