,Interval,Time_min,video,SSI_mo_ch
0,1,0.0,BEAM031,0.0117009294624
1,2,0.5,BEAM031,0.0745636869265
2,3,1.0,BEAM031,0.0194626946894
3,4,1.5,BEAM031,0.222303894093
4,5,2.0,BEAM031,0.0844422409067
5,6,2.5,BEAM031,0.0495617407557
6,7,3.0,BEAM031,0.0178522480195
7,8,3.5,BEAM031,0.102231684895
8,9,4.0,BEAM031,0.0129150543276
9,10,4.5,BEAM031,0.0709211291853
10,11,5.0,BEAM031,0.0589276347043
11,12,5.5,BEAM031,0.116727394319
12,13,6.0,BEAM031,0.00389386601388
13,14,6.5,BEAM031,0.0220265618286
14,15,7.0,BEAM031,0.170970923957
15,16,7.5,BEAM031,0.416718898654
16,17,8.0,BEAM031,0.128467955884
17,18,8.5,BEAM031,0.0098842944551
18,19,9.0,BEAM031,0.096134251366
19,20,9.5,BEAM031,0.000335242879416
20,21,10.0,BEAM031,0.212231366866
21,22,10.5,BEAM031,0.228049363041
22,23,11.0,BEAM031,0.00615353166086
23,24,11.5,BEAM031,0.0231410989276
24,25,12.0,BEAM031,0.000522499517093
25,26,12.5,BEAM031,0.0057642978789
26,27,13.0,BEAM031,0.0126935669378
27,28,13.5,BEAM031,1.41611039006e-07
28,29,14.0,BEAM031,0.00114826014929
29,30,14.5,BEAM031,0.00367005342854
