,Interval,Time_min,video,SSI_mo_ch
0,1,0.0,BRLO041,0.293813424189
1,2,0.5,BRLO041,7.40289051911e-05
2,3,1.0,BRLO041,0.0503110557309
3,4,1.5,BRLO041,0.0478076498491
4,5,2.0,BRLO041,0.0102590170973
5,6,2.5,BRLO041,0.000781804550544
6,7,3.0,BRLO041,0.00040731531235
7,8,3.5,BRLO041,0.00628308571693
8,9,4.0,BRLO041,0.0108718491264
9,10,4.5,BRLO041,0.00121372264044
10,11,5.0,BRLO041,0.00636351528603
11,12,5.5,BRLO041,0.00564816950986
12,13,6.0,BRLO041,0.0420084746078
13,14,6.5,BRLO041,0.0129624325916
14,15,7.0,BRLO041,0.0290888493581
15,16,7.5,BRLO041,0.0147245649617
16,17,8.0,BRLO041,0.00608161975314
17,18,8.5,BRLO041,0.117698204107
18,19,9.0,BRLO041,0.0168287818112
19,20,9.5,BRLO041,0.0431808311452
20,21,10.0,BRLO041,0.0445106359169
21,22,10.5,BRLO041,0.0411397919534
22,23,11.0,BRLO041,0.034587267914
23,24,11.5,BRLO041,0.00456827698547
24,25,12.0,BRLO041,0.0268176808287
25,26,12.5,BRLO041,0.00571374216738
26,27,13.0,BRLO041,0.00323187495259
27,28,13.5,BRLO041,0.0448590043295
28,29,14.0,BRLO041,0.0421961215841
29,30,14.5,BRLO041,0.00591551833386
