,Interval,Time_min,video,SSI_mo_ch
0,1,0.0,DIPE004,0.000518869992664
1,2,0.5,DIPE004,0.000454047995365
2,3,1.0,DIPE004,6.75811355664e-05
3,4,1.5,DIPE004,0.00151532445287
4,5,2.0,DIPE004,0.00222411765566
5,6,2.5,DIPE004,0.00309368932302
6,7,3.0,DIPE004,0.104139642259
7,8,3.5,DIPE004,0.228122392617
8,9,4.0,DIPE004,0.110580497362
9,10,4.5,DIPE004,0.08534399912
10,11,5.0,DIPE004,0.000357711679313
11,12,5.5,DIPE004,0.328132763181
12,13,6.0,DIPE004,0.000453072078394
13,14,6.5,DIPE004,0.0360434807651
14,15,7.0,DIPE004,0.004421256321
15,16,7.5,DIPE004,0.100851412328
16,17,8.0,DIPE004,0.0448715175352
17,18,8.5,DIPE004,0.0185593750628
18,19,9.0,DIPE004,0.00106910591906
19,20,9.5,DIPE004,0.0036914394661
20,21,10.0,DIPE004,0.169650889092
21,22,10.5,DIPE004,0.0353193747209
22,23,11.0,DIPE004,0.0548980813164
23,24,11.5,DIPE004,0.319286557857
24,25,12.0,DIPE004,0.0382245596512
25,26,12.5,DIPE004,3.30603794196e-06
26,27,13.0,DIPE004,0.00796681197343
27,28,13.5,DIPE004,0.00137477670496
28,29,14.0,DIPE004,0.00284017408852
29,30,14.5,DIPE004,0.0283063043379
30,31,15.0,DIPE004,0.0122468592678
31,32,15.5,DIPE004,0.0125982841757
