,Interval,Time_min,video,SSI_mo_ch
0,1,0.0,DOMA,0.0522691333687
1,2,0.166666666667,DOMA,7.26897542158e-10
2,3,0.333333333333,DOMA,0.00111054916223
3,4,0.5,DOMA,0.0252980963451
4,5,0.666666666667,DOMA,0.000196941555041
5,6,0.833333333333,DOMA,0.0331997355434
6,7,1.0,DOMA,6.21455558817e-05
7,8,1.16666666667,DOMA,0.00347457379629
8,9,1.33333333333,DOMA,0.0286771619334
9,10,1.5,DOMA,0.018889738396
10,11,1.66666666667,DOMA,3.382840115e-05
11,12,1.83333333333,DOMA,0.0108634534662
12,13,2.0,DOMA,0.0391802732689
13,14,2.16666666667,DOMA,2.06091639547e-05
14,15,2.33333333333,DOMA,0.00210228629103
15,16,2.5,DOMA,0.115664989315
16,17,2.66666666667,DOMA,0.00236951881869
17,18,2.83333333333,DOMA,0.0143628010149
18,19,3.0,DOMA,0.0821147554749
19,20,3.16666666667,DOMA,0.148269612119
20,21,3.33333333333,DOMA,0.0744559478019
21,22,3.5,DOMA,0.00374227083855
22,23,3.66666666667,DOMA,0.0133244645924
23,24,3.83333333333,DOMA,0.00876890195539
24,25,4.0,DOMA,0.00878687073884
25,26,4.16666666667,DOMA,0.023561256496
26,27,4.33333333333,DOMA,0.0230111762761
27,28,4.5,DOMA,0.000269609774159
28,29,4.66666666667,DOMA,0.00609609356929
29,30,4.83333333333,DOMA,0.000680696751518
30,31,5.0,DOMA,0.000232739922572
31,32,5.16666666667,DOMA,0.148286838083
32,33,5.33333333333,DOMA,0.0991866905437
33,34,5.5,DOMA,0.0718299579879
34,35,5.66666666667,DOMA,0.0827235961415
35,36,5.83333333333,DOMA,0.0512206931968
36,37,6.0,DOMA,0.117116534846
37,38,6.16666666667,DOMA,0.0477419902419
38,39,6.33333333333,DOMA,0.0293735826619
39,40,6.5,DOMA,0.0343461785384
40,41,6.66666666667,DOMA,0.137411997054
41,42,6.83333333333,DOMA,0.00529080312211
42,43,7.0,DOMA,0.00426040573033
43,44,7.16666666667,DOMA,0.0190035968984
44,45,7.33333333333,DOMA,0.00875782710644
45,46,7.5,DOMA,0.00671479346555
46,47,7.66666666667,DOMA,0.00278870873212
47,48,7.83333333333,DOMA,0.0462582443376
48,49,8.0,DOMA,0.0200308110948
49,50,8.16666666667,DOMA,0.00641190329415
50,51,8.33333333333,DOMA,0.136605828966
51,52,8.5,DOMA,0.0408498640271
52,53,8.66666666667,DOMA,0.0103174036757
53,54,8.83333333333,DOMA,0.00711252636515
54,55,9.0,DOMA,0.0249392641318
55,56,9.16666666667,DOMA,0.0685184737675
56,57,9.33333333333,DOMA,0.0620123761252
57,58,9.5,DOMA,0.130102102062
58,59,9.66666666667,DOMA,0.0774549601216
59,60,9.83333333333,DOMA,0.115621071032
60,61,10.0,DOMA,0.0110293787106
61,62,10.1666666667,DOMA,0.0163087529143
62,63,10.3333333333,DOMA,0.0684769853905
63,64,10.5,DOMA,0.00417046321934
64,65,10.6666666667,DOMA,0.00109452328572
65,66,10.8333333333,DOMA,0.00286464377848
66,67,11.0,DOMA,0.0147249074097
67,68,11.1666666667,DOMA,0.104197031035
68,69,11.3333333333,DOMA,0.0508954344241
69,70,11.5,DOMA,0.00138660824206
70,71,11.6666666667,DOMA,9.29540003247e-06
71,72,11.8333333333,DOMA,0.0182232799191
72,73,12.0,DOMA,0.0834664759104
73,74,12.1666666667,DOMA,0.162154651928
74,75,12.3333333333,DOMA,0.00284817011795
75,76,12.5,DOMA,0.0656163920497
76,77,12.6666666667,DOMA,0.0604727874652
77,78,12.8333333333,DOMA,0.227783910665
78,79,13.0,DOMA,0.00161403655536
79,80,13.1666666667,DOMA,0.0239482113508
80,81,13.3333333333,DOMA,0.0658939498294
81,82,13.5,DOMA,0.00852690371134
82,83,13.6666666667,DOMA,0.00205955841331
83,84,13.8333333333,DOMA,0.000629317245465
84,85,14.0,DOMA,0.0108942909782
85,86,14.1666666667,DOMA,0.00241064581011
86,87,14.3333333333,DOMA,0.00250021561603
87,88,14.5,DOMA,0.0372316269242
88,89,14.6666666667,DOMA,0.0333926577127
89,90,14.8333333333,DOMA,0.0303666948393
90,91,15.0,DOMA,0.00263622205848
91,92,15.1666666667,DOMA,0.0611880260119
92,93,15.3333333333,DOMA,0.00460746474862
93,94,15.5,DOMA,0.0113459220704
94,95,15.6666666667,DOMA,9.4428358266e-07
95,96,15.8333333333,DOMA,0.0180628294017
96,97,16.0,DOMA,0.0367038163095
97,98,16.1666666667,DOMA,0.0101531752114
98,99,16.3333333333,DOMA,0.164777589136
