,Interval,Time_min,video,SSI_mo_ch
0,1,0.0,DRNE,0.090103865608
1,2,0.166666666667,DRNE,0.0331537013033
2,3,0.333333333333,DRNE,0.000147687326893
3,4,0.5,DRNE,0.041727451987
4,5,0.666666666667,DRNE,0.0517967099175
5,6,0.833333333333,DRNE,0.081981526808
6,7,1.0,DRNE,0.0607154799869
7,8,1.16666666667,DRNE,0.0181726050661
8,9,1.33333333333,DRNE,0.0458044844188
9,10,1.5,DRNE,0.105187142972
10,11,1.66666666667,DRNE,0.022683542564
11,12,1.83333333333,DRNE,0.00773300888595
12,13,2.0,DRNE,0.0610717081881
13,14,2.16666666667,DRNE,0.101294819854
14,15,2.33333333333,DRNE,0.0101614674708
15,16,2.5,DRNE,1.22044306671e-05
16,17,2.66666666667,DRNE,0.00430573455423
17,18,2.83333333333,DRNE,0.0153862402896
18,19,3.0,DRNE,0.00100813482623
19,20,3.16666666667,DRNE,0.000492565964871
20,21,3.33333333333,DRNE,0.0014765728089
21,22,3.5,DRNE,0.0284287536932
22,23,3.66666666667,DRNE,0.132758982066
23,24,3.83333333333,DRNE,0.0807784831006
24,25,4.0,DRNE,0.216332435765
25,26,4.16666666667,DRNE,0.045596656296
26,27,4.33333333333,DRNE,0.0101163303059
27,28,4.5,DRNE,0.11722813199
28,29,4.66666666667,DRNE,0.00253944176278
29,30,4.83333333333,DRNE,0.13703136247
30,31,5.0,DRNE,0.000361353271249
31,32,5.16666666667,DRNE,0.00718588605744
32,33,5.33333333333,DRNE,0.0149415232833
33,34,5.5,DRNE,0.00185358282667
34,35,5.66666666667,DRNE,0.0120271026696
35,36,5.83333333333,DRNE,0.0482992620712
36,37,6.0,DRNE,0.00692244880914
37,38,6.16666666667,DRNE,0.071735063971
38,39,6.33333333333,DRNE,0.155228207474
39,40,6.5,DRNE,0.00673214664215
40,41,6.66666666667,DRNE,0.0183739678924
41,42,6.83333333333,DRNE,0.0179400375232
42,43,7.0,DRNE,0.054233921798
43,44,7.16666666667,DRNE,0.00447309065921
44,45,7.33333333333,DRNE,0.00948068086116
45,46,7.5,DRNE,0.00543232218652
46,47,7.66666666667,DRNE,0.0509767059552
47,48,7.83333333333,DRNE,0.044130115542
48,49,8.0,DRNE,0.150816124155
49,50,8.16666666667,DRNE,0.0137428462785
50,51,8.33333333333,DRNE,0.221890318512
51,52,8.5,DRNE,0.0202480802745
52,53,8.66666666667,DRNE,0.000531289071945
53,54,8.83333333333,DRNE,0.00124384642463
54,55,9.0,DRNE,0.0211921055433
55,56,9.16666666667,DRNE,0.14059457844
56,57,9.33333333333,DRNE,0.00838854742754
57,58,9.5,DRNE,0.00412759156339
58,59,9.66666666667,DRNE,0.0125818888911
59,60,9.83333333333,DRNE,0.0439476519638
60,61,10.0,DRNE,0.0563784277788
61,62,10.1666666667,DRNE,4.62474230416e-05
62,63,10.3333333333,DRNE,0.000100471785555
63,64,10.5,DRNE,0.000275170542593
64,65,10.6666666667,DRNE,0.000373827491112
65,66,10.8333333333,DRNE,0.0144500057947
66,67,11.0,DRNE,0.00785211147391
67,68,11.1666666667,DRNE,0.0266868147035
68,69,11.3333333333,DRNE,0.0201486945509
69,70,11.5,DRNE,0.0565057836496
70,71,11.6666666667,DRNE,0.0255910165416
71,72,11.8333333333,DRNE,0.0169912995368
72,73,12.0,DRNE,0.0435442187425
73,74,12.1666666667,DRNE,0.22137895044
74,75,12.3333333333,DRNE,0.073412963416
75,76,12.5,DRNE,0.168182831587
76,77,12.6666666667,DRNE,0.0248942924402
77,78,12.8333333333,DRNE,0.0282318234391
78,79,13.0,DRNE,0.00410523602799
79,80,13.1666666667,DRNE,0.0321276335732
80,81,13.3333333333,DRNE,0.00190337284986
81,82,13.5,DRNE,0.0685997626079
82,83,13.6666666667,DRNE,0.00233435270453
83,84,13.8333333333,DRNE,0.0202823331071
84,85,14.0,DRNE,0.0235372042791
85,86,14.1666666667,DRNE,0.00672340302428
86,87,14.3333333333,DRNE,0.0690017323679
87,88,14.5,DRNE,0.00591693573008
88,89,14.6666666667,DRNE,0.0904738889246
89,90,14.8333333333,DRNE,0.00561375742888
90,91,15.0,DRNE,0.0339792487174
91,92,15.1666666667,DRNE,0.0880049487344
92,93,15.3333333333,DRNE,0.0159404104105
93,94,15.5,DRNE,0.00112352489446
94,95,15.6666666667,DRNE,0.0122613691335
95,96,15.8333333333,DRNE,0.238454432114
96,97,16.0,DRNE,0.00897470267203
