,Interval,Time_min,video,SSI_mo_ch
0,1,0.0,HUMA058,0.0114440605123
1,2,0.5,HUMA058,0.00877538687925
2,3,1.0,HUMA058,0.0184747063249
3,4,1.5,HUMA058,0.00472895436042
4,5,2.0,HUMA058,0.034619544762
5,6,2.5,HUMA058,0.00637824470464
6,7,3.0,HUMA058,0.00481467528865
7,8,3.5,HUMA058,0.0519766397173
8,9,4.0,HUMA058,0.102412784691
9,10,4.5,HUMA058,0.0105034474885
10,11,5.0,HUMA058,0.00864768013361
11,12,5.5,HUMA058,0.00170628120906
12,13,6.0,HUMA058,0.00137349782587
13,14,6.5,HUMA058,0.0466393175704
14,15,7.0,HUMA058,0.0107871429352
15,16,7.5,HUMA058,0.00414546318337
16,17,8.0,HUMA058,0.0141465727826
17,18,8.5,HUMA058,0.115050675988
18,19,9.0,HUMA058,0.00106375068587
19,20,9.5,HUMA058,0.0093318151899
20,21,10.0,HUMA058,0.0224989023019
21,22,10.5,HUMA058,0.00320985404438
22,23,11.0,HUMA058,0.00743905796171
23,24,11.5,HUMA058,0.0283030812235
24,25,12.0,HUMA058,0.00650772584887
25,26,12.5,HUMA058,0.00624547040304
26,27,13.0,HUMA058,0.00884595990521
27,28,13.5,HUMA058,0.0816829146441
28,29,14.0,HUMA058,0.036978579562
29,30,14.5,HUMA058,0.00430720606876
30,31,15.0,HUMA058,0.00360441442352
31,32,15.5,HUMA058,0.00727215580609
32,33,16.0,HUMA058,0.0554542248752
33,34,16.5,HUMA058,0.00234552225159
