,Interval,Time_min,video,SSI_mo_ch
0,1,0.0,PELI020,0.000528382696365
1,2,0.5,PELI020,0.000678416705524
2,3,1.0,PELI020,0.0161635973421
3,4,1.5,PELI020,0.00615733249168
4,5,2.0,PELI020,0.0960866390101
5,6,2.5,PELI020,0.00159066092421
6,7,3.0,PELI020,2.14210085724e-05
7,8,3.5,PELI020,0.000900437826628
8,9,4.0,PELI020,0.0994491465294
9,10,4.5,PELI020,0.0294749863234
10,11,5.0,PELI020,0.0132420519434
11,12,5.5,PELI020,0.0712508414389
12,13,6.0,PELI020,0.012358817989
13,14,6.5,PELI020,0.166308460856
14,15,7.0,PELI020,0.00109122218977
15,16,7.5,PELI020,0.00279414021044
16,17,8.0,PELI020,0.013160027521
17,18,8.5,PELI020,0.01390855435
18,19,9.0,PELI020,0.0108162467965
19,20,9.5,PELI020,0.0465313726514
20,21,10.0,PELI020,0.00159465267306
21,22,10.5,PELI020,0.0535614026119
22,23,11.0,PELI020,0.043635869208
23,24,11.5,PELI020,0.109000447071
24,25,12.0,PELI020,0.0276995036859
25,26,12.5,PELI020,0.0349081985965
26,27,13.0,PELI020,0.00966430868557
27,28,13.5,PELI020,0.00325994001533
28,29,14.0,PELI020,0.00718100912692
29,30,14.5,PELI020,0.0769536032683
