,Interval,Time_min,video,SSI_mo_ch
0,1,0.0,SEEM035,0.330261078314
1,2,0.5,SEEM035,0.0294007752589
2,3,1.0,SEEM035,0.0375216462898
3,4,1.5,SEEM035,0.0843632267619
4,5,2.0,SEEM035,0.00261451606775
5,6,2.5,SEEM035,0.000226144226101
6,7,3.0,SEEM035,0.0276007616878
7,8,3.5,SEEM035,0.0276599122701
8,9,4.0,SEEM035,0.00484172700371
9,10,4.5,SEEM035,0.185628412353
10,11,5.0,SEEM035,0.0448455626705
11,12,5.5,SEEM035,0.0187054352081
12,13,6.0,SEEM035,0.00940143162275
13,14,6.5,SEEM035,0.0872045306719
14,15,7.0,SEEM035,0.00209362732647
15,16,7.5,SEEM035,0.0583427663286
16,17,8.0,SEEM035,0.00855949473571
17,18,8.5,SEEM035,0.025626217445
18,19,9.0,SEEM035,0.0128843050199
19,20,9.5,SEEM035,0.131541458392
20,21,10.0,SEEM035,0.0114252022592
21,22,10.5,SEEM035,0.117533176686
22,23,11.0,SEEM035,0.125976209905
23,24,11.5,SEEM035,0.0500043901184
24,25,12.0,SEEM035,0.0123458687468
25,26,12.5,SEEM035,0.0654904990596
26,27,13.0,SEEM035,0.089336270707
27,28,13.5,SEEM035,0.0408854519592
28,29,14.0,SEEM035,0.00182186843297
29,30,14.5,SEEM035,0.0257225292097
30,31,15.0,SEEM035,0.020486918027
