,Interval,Time_min,video,SSI_mo_ch
0,1,0.0,SHAN042,0.0050771079542
1,2,0.5,SHAN042,0.0500347111248
2,3,1.0,SHAN042,0.041281491383
3,4,1.5,SHAN042,0.0193039608048
4,5,2.0,SHAN042,0.0200852173828
5,6,2.5,SHAN042,0.00356888027332
6,7,3.0,SHAN042,0.00894558128284
7,8,3.5,SHAN042,0.000792346761161
8,9,4.0,SHAN042,0.0121532006313
9,10,4.5,SHAN042,0.00528147280716
10,11,5.0,SHAN042,0.030735797584
11,12,5.5,SHAN042,0.00828708778871
12,13,6.0,SHAN042,0.00138795381598
13,14,6.5,SHAN042,7.4310401621e-07
14,15,7.0,SHAN042,0.00971588030419
15,16,7.5,SHAN042,1.60544643879e-06
16,17,8.0,SHAN042,6.53594586331e-05
17,18,8.5,SHAN042,0.00425287495385
18,19,9.0,SHAN042,0.0117845410169
19,20,9.5,SHAN042,0.010383410376
20,21,10.0,SHAN042,0.00921632800643
21,22,10.5,SHAN042,0.00489401091838
22,23,11.0,SHAN042,0.000865313208624
23,24,11.5,SHAN042,0.0627129871434
24,25,12.0,SHAN042,0.0035116733812
25,26,12.5,SHAN042,4.17699097276e-05
26,27,13.0,SHAN042,0.0112278548471
27,28,13.5,SHAN042,0.005002755844
28,29,14.0,SHAN042,3.47123157196e-06
29,30,14.5,SHAN042,0.0057231420308
