,Interval,Time_min,video,SSI_fa_ch
0,1,0.0,OGGA034,0.0302222608001
1,2,0.5,OGGA034,0.00485172312182
2,3,1.0,OGGA034,0.0225032690509
3,4,1.5,OGGA034,0.031849361651
4,5,2.0,OGGA034,0.000195278014647
5,6,2.5,OGGA034,0.000135435235994
6,7,3.0,OGGA034,0.00226422365255
7,8,3.5,OGGA034,0.00882301200495
8,9,4.0,OGGA034,0.0214486842189
9,10,4.5,OGGA034,0.0168814476223
10,11,5.0,OGGA034,0.000712645108991
11,12,5.5,OGGA034,0.000574427208736
12,13,6.0,OGGA034,0.00473164697838
13,14,6.5,OGGA034,0.0558323841969
14,15,7.0,OGGA034,0.00715166600573
15,16,7.5,OGGA034,0.000199805477422
16,17,8.0,OGGA034,0.0401134771516
17,18,8.5,OGGA034,0.00781794677374
18,19,9.0,OGGA034,0.0298490465157
19,20,9.5,OGGA034,0.00460794850298
20,21,10.0,OGGA034,0.000799252886256
21,22,10.5,OGGA034,0.0133044324113
22,23,11.0,OGGA034,0.0696538129221
23,24,11.5,OGGA034,0.00434189466182
24,25,12.0,OGGA034,0.0242398326242
25,26,12.5,OGGA034,0.0065536138012
26,27,13.0,OGGA034,8.76043991666e-05
27,28,13.5,OGGA034,0.0161104989024
28,29,14.0,OGGA034,0.00931050481342
29,30,14.5,OGGA034,4.27569710043e-05
30,31,15.0,OGGA034,0.00488353014823
