,Interval,Time_min,video,SSI_mo_ch
0,1,0.0,PAMA029,0.11066991103
1,2,0.5,PAMA029,0.0325470668167
2,3,1.0,PAMA029,0.113740637551
3,4,1.5,PAMA029,0.00506052822578
4,5,2.0,PAMA029,0.000181072748176
5,6,2.5,PAMA029,0.0382588050181
6,7,3.0,PAMA029,0.115625007783
7,8,3.5,PAMA029,0.0343763991607
8,9,4.0,PAMA029,0.000597622837492
9,10,4.5,PAMA029,0.0275306937245
10,11,5.0,PAMA029,0.0295044594961
11,12,5.5,PAMA029,0.00112857887056
12,13,6.0,PAMA029,0.0128343891469
13,14,6.5,PAMA029,0.0423423868008
14,15,7.0,PAMA029,0.182918970031
15,16,7.5,PAMA029,0.0032986309793
16,17,8.0,PAMA029,0.00120929979341
17,18,8.5,PAMA029,0.00700445985461
18,19,9.0,PAMA029,0.00365951906376
19,20,9.5,PAMA029,0.00613877931281
20,21,10.0,PAMA029,0.037084483987
21,22,10.5,PAMA029,0.00389048099679
22,23,11.0,PAMA029,0.0196683967553
23,24,11.5,PAMA029,0.00416389790148
24,25,12.0,PAMA029,0.0164784331455
25,26,12.5,PAMA029,0.00291346976884
26,27,13.0,PAMA029,0.001383189748
27,28,13.5,PAMA029,0.011141507109
28,29,14.0,PAMA029,0.0104013860015
29,30,14.5,PAMA029,0.0116155012161
30,31,15.0,PAMA029,3.84446402257e-06
