,Interval,Time_min,video,SSI_mo_ch
0,1,0.0,RAMA054,0.0185321709085
1,2,0.5,RAMA054,0.0246661586431
2,3,1.0,RAMA054,0.079367061106
3,4,1.5,RAMA054,0.00152731617172
4,5,2.0,RAMA054,0.000819336350794
5,6,2.5,RAMA054,0.00532509930581
6,7,3.0,RAMA054,0.0175843060224
7,8,3.5,RAMA054,0.0580628502332
8,9,4.0,RAMA054,0.00378553172957
9,10,4.5,RAMA054,0.0404853563492
10,11,5.0,RAMA054,0.165252146154
11,12,5.5,RAMA054,0.443083386052
12,13,6.0,RAMA054,0.00254168539669
13,14,6.5,RAMA054,0.0113139165534
14,15,7.0,RAMA054,0.0359333071167
15,16,7.5,RAMA054,0.0137630589662
16,17,8.0,RAMA054,0.0249487484047
17,18,8.5,RAMA054,0.000139344573999
18,19,9.0,RAMA054,0.0106751718574
19,20,9.5,RAMA054,0.0178202037894
20,21,10.0,RAMA054,0.00336256384463
21,22,10.5,RAMA054,0.137178341207
22,23,11.0,RAMA054,0.0408980830874
23,24,11.5,RAMA054,0.0197388104493
24,25,12.0,RAMA054,0.0641357051896
25,26,12.5,RAMA054,0.057461560998
26,27,13.0,RAMA054,0.129517152277
27,28,13.5,RAMA054,0.0228811695132
28,29,14.0,RAMA054,0.00706616682056
29,30,14.5,RAMA054,0.00828406391344
30,31,15.0,RAMA054,0.074530934444
