"","slidedFather","slidedMother","slidedChild","video","frame_index"
"1",NA,-5.93846110163641,-6.38903223572977,"BEAM031",1
"2",NA,-5.95820556465569,-6.04451697662094,"BEAM031",2
"3",NA,-6.10459787895901,-5.71911726624756,"BEAM031",3
"4",NA,-6.36072175007412,-5.49410098286732,"BEAM031",4
"5",NA,-6.61509559796901,-5.27996461708711,"BEAM031",5
"6",NA,-7.00410851564252,-5.26546388708348,"BEAM031",6
"7",NA,-7.31521491454636,-5.44653290849111,"BEAM031",7
"8",NA,-7.32240109826948,-5.5959199440749,"BEAM031",8
"9",NA,-6.8494789672635,-6.04852831759768,"BEAM031",9
"10",NA,-6.15576810519331,-6.62685192071314,"BEAM031",10
"11",NA,-5.24268044349079,-7.07825582097087,"BEAM031",11
"12",NA,-4.38966933911993,-7.68304310831736,"BEAM031",12
"13",NA,-3.70980443270258,-8.02481498313059,"BEAM031",13
"14",NA,-3.34707254995639,-7.8624639086109,"BEAM031",14
"15",NA,-3.26556096670089,-7.6052696050382,"BEAM031",15
"16",NA,-3.3132201332538,-7.4491020857347,"BEAM031",16
"17",NA,-3.4204480317533,-7.23399745083478,"BEAM031",17
"18",NA,-3.56135292147187,-7.28607514361036,"BEAM031",18
"19",NA,-3.7232989781439,-7.551677618117,"BEAM031",19
"20",NA,-3.90730241559778,-7.71487081789664,"BEAM031",20
"21",NA,-4.06806234299005,-7.79118629100262,"BEAM031",21
"22",NA,-4.21235522342978,-7.75014057884387,"BEAM031",22
"23",NA,-4.32078686314471,-7.80759538485749,"BEAM031",23
"24",NA,-4.42291355515391,-7.87598285184316,"BEAM031",24
"25",NA,-4.51165784736031,-8.08465466824851,"BEAM031",25
"26",NA,-4.54352488869236,-8.34193550668333,"BEAM031",26
"27",NA,-4.50098639274387,-8.34481058543494,"BEAM031",27
"28",NA,-4.39067449907938,-8.07401617606212,"BEAM031",28
"29",NA,-4.21823395420192,-7.71805777218231,"BEAM031",29
"30",NA,-4.02714017437464,-7.37914672251075,"BEAM031",30
"31",NA,-3.88708468357843,-6.98566366418928,"BEAM031",31
"32",NA,-3.82648882422435,-6.79445775911974,"BEAM031",32
"33",NA,-3.87697774562189,-6.80940923338487,"BEAM031",33
"34",NA,-4.01576606163478,-6.82864263298967,"BEAM031",34
"35",NA,-4.30392207922639,-6.7655989631956,"BEAM031",35
"36",NA,-4.7798440254224,-6.85313548192505,"BEAM031",36
"37",NA,-5.2534469845341,-7.1856928962387,"BEAM031",37
"38",NA,-5.6290453473748,-7.44153583134639,"BEAM031",38
"39",NA,-5.94385294959542,-7.65277076790746,"BEAM031",39
"40",NA,-6.13275069352576,-7.90688090459938,"BEAM031",40
