"","slidedFather","slidedMother","slidedChild","video","frame_index"
"1",NA,-4.39421008687284,-5.04979350655571,"BICA",1
"2",NA,-4.53779710940683,-5.35084468921104,"BICA",2
"3",NA,-4.79604708277882,-5.67940659623405,"BICA",3
"4",NA,-5.08906894076515,-5.82376810981683,"BICA",4
"5",NA,-5.4003251022489,-5.84793665038853,"BICA",5
"6",NA,-5.68769723269623,-5.7429079986898,"BICA",6
"7",NA,-5.91286061339947,-5.50452162371162,"BICA",7
"8",NA,-6.07308720666771,-5.34013590567454,"BICA",8
"9",NA,-6.17193727572383,-5.25332004023349,"BICA",9
"10",NA,-6.28876221199645,-5.30173130410896,"BICA",10
"11",NA,-6.3257803252912,-5.40484430050227,"BICA",11
"12",NA,-6.34212752449882,-5.55066483023823,"BICA",12
"13",NA,-6.36100866001525,-5.69585364747809,"BICA",13
"14",NA,-6.29665159277942,-5.74813380325054,"BICA",14
"15",NA,-6.19597537875476,-5.7683063067821,"BICA",15
"16",NA,-6.09054973326182,-5.74957109401617,"BICA",16
"17",NA,-5.92888173681958,-5.7030250520886,"BICA",17
"18",NA,-5.73026755272166,-5.7185125161097,"BICA",18
"19",NA,-5.56373020286934,-5.78074197074494,"BICA",19
"20",NA,-5.48717795800454,-5.82983185384638,"BICA",20
"21",NA,-5.54294978116425,-5.89657334813682,"BICA",21
"22",NA,-5.7170184826022,-5.9471700348924,"BICA",22
"23",NA,-5.99933210157158,-5.94708221891271,"BICA",23
"24",NA,-6.30931662162262,-5.93280305996965,"BICA",24
"25",NA,-6.54918951062418,-5.91834391619752,"BICA",25
"26",NA,-6.72499164058326,-5.88718846049002,"BICA",26
"27",NA,-6.87032345573192,-5.89778878813032,"BICA",27
"28",NA,-6.96189886520555,-5.9233196702122,"BICA",28
"29",NA,-7.11753957381945,-5.97944431693407,"BICA",29
"30",NA,-7.55975417540557,-6.12409707821874,"BICA",30
"31",NA,-8.21041042661314,-6.3515702100201,"BICA",31
"32",NA,-8.63776076825937,-6.58293485630651,"BICA",32
"33",NA,-8.99763348724155,-6.87882418937338,"BICA",33
"34",NA,-9.09115113107784,-7.04690899773894,"BICA",34
"35",NA,-8.76841611836621,-7.05501630658027,"BICA",35
"36",NA,-8.13704520422961,-6.80209518593337,"BICA",36
"37",NA,-7.64144734273285,-6.41492909256743,"BICA",37
"38",NA,-7.16406495273599,-5.8839754057528,"BICA",38
"39",NA,-6.86388507536252,-5.36600463693125,"BICA",39
"40",NA,-6.69783203244817,-4.85051512500099,"BICA",40
"41",NA,-6.59595022084806,-4.50529615583105,"BICA",41
"42",NA,-6.54009160037175,-4.30075673553428,"BICA",42
"43",NA,-6.50156666289526,-4.178344198829,"BICA",43
"44",NA,-6.46206121339763,-4.14475012645351,"BICA",44
"45",NA,-6.44203573491337,-4.28410952100343,"BICA",45
"46",NA,-6.40948212664853,-4.49663490432208,"BICA",46
"47",NA,-6.35284915323313,-4.69044235137113,"BICA",47
"48",NA,-6.30188428745652,-4.84769153038958,"BICA",48
"49",NA,-6.25846382513331,-4.98038334859421,"BICA",49
"50",NA,-6.23129079406477,-5.01617393012538,"BICA",50
"51",NA,-6.26601122471274,-4.9144238491295,"BICA",51
"52",NA,-6.33811161880155,-4.75801929619423,"BICA",52
"53",NA,-6.42311048017649,-4.60267511654021,"BICA",53
"54",NA,-6.52151858566233,-4.48100886140995,"BICA",54
"55",NA,-6.61565380480315,-4.46686433478806,"BICA",55
"56",NA,-6.68346701594399,-4.41772097205407,"BICA",56
"57",NA,-6.75006000676409,-4.24485551711771,"BICA",57
"58",NA,-6.80879714146303,-4.18680482588849,"BICA",58
"59",NA,-6.87805089927819,-4.04497599086739,"BICA",59
"60",NA,-7.0422630472318,-3.95634369380306,"BICA",60
"61",NA,-7.20085029783518,-3.82674410542848,"BICA",61
"62",NA,-7.31672830938296,-3.83483025227275,"BICA",62
"63",NA,-7.39927695468396,-3.74809410298934,"BICA",63
"64",NA,-7.4453095644189,-3.67017993509315,"BICA",64
"65",NA,-7.39084006295648,-3.38640445520509,"BICA",65
"66",NA,-7.33353835973265,-3.24241223897211,"BICA",66
"67",NA,-7.2478171783386,-3.20016746482735,"BICA",67
"68",NA,-7.05228756764428,-3.15687104027029,"BICA",68
"69",NA,-6.79576994024457,-3.19666476507519,"BICA",69
"70",NA,-6.54176539578976,-3.45217163566123,"BICA",70
"71",NA,-6.3126900218369,-3.84163793926384,"BICA",71
"72",NA,-6.17642492309753,-4.23401950301386,"BICA",72
"73",NA,-6.23875942003658,-4.7451811289058,"BICA",73
"74",NA,-6.44489559662023,-5.22234194214025,"BICA",74
"75",NA,-6.82018996169066,-5.53535592963989,"BICA",75
"76",NA,-7.32324381023653,-5.79084763442133,"BICA",76
"77",NA,-7.79317646014778,-5.97417900493343,"BICA",77
"78",NA,-8.21449831045892,-5.98745088346389,"BICA",78
"79",NA,-8.52980368080487,-5.94185847322202,"BICA",79
"80",NA,-8.56449691781737,-5.84094111010501,"BICA",80
"81",NA,-8.53406386127417,-5.74876503227527,"BICA",81
"82",NA,-8.54028072556736,-5.76294011344319,"BICA",82
"83",NA,-8.56788848585935,-5.90749498421902,"BICA",83
"84",NA,-8.74805715846789,-6.14563183850386,"BICA",84
"85",NA,-9.05569197320132,-6.38310717337995,"BICA",85
"86",NA,-9.20217393198132,-6.44421329090743,"BICA",86
"87",NA,-9.35336164580146,-6.40645959775298,"BICA",87
"88",NA,-9.5365525530101,-6.33406679078923,"BICA",88
"89",NA,-9.62632759324087,-6.24003766253899,"BICA",89
"90",NA,-10.0055915809489,-6.20841023456274,"BICA",90
"91",NA,-10.4698011391012,-6.3006478350501,"BICA",91
"92",NA,-10.5970306023964,-6.40536004467006,"BICA",92
"93",NA,-10.7088711281303,-6.47261183359445,"BICA",93
"94",NA,-10.5641087568034,-6.29038892320631,"BICA",94
"95",NA,-9.95041499407749,-5.9874131086764,"BICA",95
"96",NA,-9.15071739997775,-5.56692506521259,"BICA",96
"97",NA,-8.55383797044518,-5.05899428253723,"BICA",97
"98",NA,-7.74501923159291,-4.50910713180871,"BICA",98
"99",NA,-7.12980881513287,-4.14400847946583,"BICA",99
"100",NA,-6.66675054196136,-3.86103903314448,"BICA",100
"101",NA,-6.37395502322758,-3.71107948987812,"BICA",101
"102",NA,-6.1666640866472,-3.67444789810526,"BICA",102
"103",NA,-6.1123272871815,-3.62511923732116,"BICA",103
"104",NA,-6.09454991616178,-3.5785243245856,"BICA",104
"105",NA,-6.12511292321867,-3.58513221230168,"BICA",105
"106",NA,-6.23917609397433,-3.59011429333625,"BICA",106
"107",NA,-6.43890334109404,-3.57251665936953,"BICA",107
"108",NA,-6.73058188250802,-3.54672021080545,"BICA",108
"109",NA,-7.09216792962191,-3.47103960405195,"BICA",109
"110",NA,-7.60706983896874,-3.31987242287502,"BICA",110
"111",NA,-8.06980256737166,-3.12028701120842,"BICA",111
"112",NA,-8.30263211357308,-2.91091874018172,"BICA",112
"113",NA,-8.45867438909376,-2.81267744979727,"BICA",113
"114",NA,-8.46344556760654,-2.81767554995692,"BICA",114
"115",NA,-8.4758178485306,-2.88876040839397,"BICA",115
"116",NA,-8.38800851809462,-2.98586004949023,"BICA",116
"117",NA,-8.38253602460185,-3.04869790508413,"BICA",117
