"","slidedFather","slidedMother","slidedChild","video","frame_index"
"1",NA,-7.84743442904085,-3.70948906800416,"BRLO041",1
"2",NA,-7.3947846608864,-3.76395206740557,"BRLO041",2
"3",NA,-7.10062835890328,-3.96484022101549,"BRLO041",3
"4",NA,-6.92251398280664,-4.2003930176141,"BRLO041",4
"5",NA,-6.56817658715001,-4.45631110394645,"BRLO041",5
"6",NA,-6.3941895294615,-4.62678159010725,"BRLO041",6
"7",NA,-6.74105404355795,-4.71318621213519,"BRLO041",7
"8",NA,-6.91418859272257,-4.7185491962498,"BRLO041",8
"9",NA,-7.43045390692948,-4.89793495515101,"BRLO041",9
"10",NA,-7.94754344395652,-5.09356421851596,"BRLO041",10
"11",NA,-8.60418869675824,-5.25649033803236,"BRLO041",11
"12",NA,-9.12711204689763,-5.49968948824304,"BRLO041",12
"13",NA,-9.76115707318202,-6.00494395904013,"BRLO041",13
"14",NA,-9.95485185710557,-6.36373789098606,"BRLO041",14
"15",NA,-9.84547822963755,-6.58654136751563,"BRLO041",15
"16",NA,-9.37896151910353,-6.73844586178291,"BRLO041",16
"17",NA,-9.03197107010726,-6.82403743224472,"BRLO041",17
"18",NA,-8.74511099077183,-6.88854104357365,"BRLO041",18
"19",NA,-8.52004043686899,-7.03086507373892,"BRLO041",19
"20",NA,-8.82041870777099,-7.08718421299911,"BRLO041",20
"21",NA,-9.4235433298296,-7.10816080800958,"BRLO041",21
"22",NA,-9.61261185887556,-7.21910512978563,"BRLO041",22
"23",NA,-9.58186379220868,-7.15714249514866,"BRLO041",23
"24",NA,-9.495952885654,-6.90498975175654,"BRLO041",24
"25",NA,-8.97446000720791,-6.79665484323784,"BRLO041",25
"26",NA,-8.05358577479491,-6.79385601110021,"BRLO041",26
"27",NA,-7.24826977782237,-6.64064660318533,"BRLO041",27
"28",NA,-6.45301199286176,-6.489161079487,"BRLO041",28
"29",NA,-5.67417404011466,-6.47694213640378,"BRLO041",29
"30",NA,-5.05998371321143,-6.44228352201178,"BRLO041",30
"31",NA,-4.66438374252737,-6.29977873046799,"BRLO041",31
"32",NA,-4.43454544641811,-6.22049233222865,"BRLO041",32
"33",NA,-4.29307934051607,-6.17854790333717,"BRLO041",33
"34",NA,-4.16654669461752,-6.04509689505146,"BRLO041",34
"35",NA,-4.01506244925295,-5.864289295743,"BRLO041",35
"36",NA,-3.85267685991273,-5.73164064392729,"BRLO041",36
"37",NA,-3.66221714137221,-5.60112020484772,"BRLO041",37
"38",NA,-3.45811576936518,-5.47778238596322,"BRLO041",38
"39",NA,-3.28693061444296,-5.35941804092733,"BRLO041",39
"40",NA,-3.15465847041719,-5.22840885131362,"BRLO041",40
"41",NA,-3.07120858112652,-5.14361206330921,"BRLO041",41
