"","slidedFather","slidedMother","slidedChild","video","frame_index"
"1",NA,-5.41824840639382,-3.23204145997401,"COLO022",1
"2",NA,-5.41187810414181,-3.27333547344113,"COLO022",2
"3",NA,-5.40660445393849,-3.39035459888644,"COLO022",3
"4",NA,-5.44665754174532,-3.56320604099458,"COLO022",4
"5",NA,-5.30172661503628,-3.75894954641153,"COLO022",5
"6",NA,-5.25195188801388,-3.94677917380306,"COLO022",6
"7",NA,-5.2459125227349,-4.1047046718354,"COLO022",7
"8",NA,-5.25398344880822,-4.25959014808708,"COLO022",8
"9",NA,-5.28332380981544,-4.43257279165745,"COLO022",9
"10",NA,-5.30908932236366,-4.57478964153274,"COLO022",10
"11",NA,-5.32697088741662,-4.66242061845038,"COLO022",11
"12",NA,-5.38180940153152,-4.73637512961724,"COLO022",12
"13",NA,-5.48857017728985,-4.77499082857639,"COLO022",13
"14",NA,-5.59867347210284,-4.78833593580657,"COLO022",14
"15",NA,-5.8990094454066,-4.85649296758133,"COLO022",15
"16",NA,-6.56582608978204,-4.95958447447878,"COLO022",16
"17",NA,-7.17471378070476,-5.00229149518525,"COLO022",17
"18",NA,-7.74305008252296,-4.91817352108421,"COLO022",18
"19",NA,-8.24717371957928,-4.74646492709924,"COLO022",19
"20",NA,-8.55064393454536,-4.50998161229,"COLO022",20
"21",NA,-8.29448636907758,-4.25500898715638,"COLO022",21
"22",NA,-8.19266328312444,-4.03140669453997,"COLO022",22
"23",NA,-8.07497392116542,-3.93149589925316,"COLO022",23
"24",NA,-7.78384825581213,-3.89266289153962,"COLO022",24
"25",NA,-7.43621739478992,-3.87057341519861,"COLO022",25
"26",NA,-7.23997188925055,-3.84082297698302,"COLO022",26
"27",NA,-6.93564832704974,-3.82550168988257,"COLO022",27
"28",NA,-6.69694959536471,-3.83018641999938,"COLO022",28
"29",NA,-6.71087130087574,-3.85266948063643,"COLO022",29
"30",NA,-6.80881973030943,-3.88299190130671,"COLO022",30
"31",NA,-7.07997051059433,-3.94509245365174,"COLO022",31
"32",NA,-7.41827204775773,-4.03597992228382,"COLO022",32
"33",NA,-7.50826670199705,-4.14907738499262,"COLO022",33
"34",NA,-7.44001623907966,-4.26780754494518,"COLO022",34
"35",NA,-7.36234724336458,-4.40535051859918,"COLO022",35
"36",NA,-7.10951157195845,-4.54768026230126,"COLO022",36
"37",NA,-6.73856819359141,-4.64227467981146,"COLO022",37
"38",NA,-6.52001740165541,-4.6643194626264,"COLO022",38
"39",NA,-6.38164940170838,-4.64607643430775,"COLO022",39
"40",NA,-6.21457788623572,-4.6028219721301,"COLO022",40
"41",NA,-6.06641088238419,-4.55493971398408,"COLO022",41
"42",NA,-5.979752659628,-4.56659085928202,"COLO022",42
"43",NA,-6.03114103053995,-4.63629327955517,"COLO022",43
"44",NA,-6.16527141184332,-4.61058009153384,"COLO022",44
"45",NA,-6.48168929785994,-4.49891873096201,"COLO022",45
"46",NA,-6.54836831321106,-4.32157772537866,"COLO022",46
"47",NA,-6.46813648447381,-4.07080363640529,"COLO022",47
"48",NA,-6.27335987881678,-3.81406212264233,"COLO022",48
"49",NA,-5.9826452753183,-3.69018909507885,"COLO022",49
"50",NA,-5.50750313233212,-3.6925811353148,"COLO022",50
"51",NA,-5.26489852243098,-3.78245002691692,"COLO022",51
"52",NA,-5.21769333240422,-3.92484650132564,"COLO022",52
"53",NA,-5.25683364018504,-4.07863692048065,"COLO022",53
"54",NA,-5.32932069966721,-4.24298234450734,"COLO022",54
"55",NA,-5.15370365835108,-4.23214765141193,"COLO022",55
"56",NA,-4.71586445006631,-3.92200561876515,"COLO022",56
"57",NA,-4.07869250111102,-3.43519214362753,"COLO022",57
"58",NA,-3.32664628215893,-2.87353982037737,"COLO022",58
"59",NA,-2.59347166000292,-2.32345826501599,"COLO022",59
"60",NA,-2.27588649615826,-2.06476802512114,"COLO022",60
