"","slidedFather","slidedMother","slidedChild","video","frame_index"
"1",NA,-9.59536056222341,-5.57361953599797,"DIPE004",1
"2",NA,-9.39036908999875,-5.3943982111683,"DIPE004",2
"3",NA,-9.34654307951539,-5.17523886710534,"DIPE004",3
"4",NA,-9.38767821455422,-5.03878025206943,"DIPE004",4
"5",NA,-9.17665837526926,-4.9363196764683,"DIPE004",5
"6",NA,-9.31005112394782,-4.91766635263658,"DIPE004",6
"7",NA,-9.88887320601423,-4.97249579130215,"DIPE004",7
"8",NA,-9.66398392879431,-5.01730003236195,"DIPE004",8
"9",NA,-10.1187999897559,-5.10293394252951,"DIPE004",9
"10",NA,-10.6646030798567,-5.14464452719755,"DIPE004",10
"11",NA,-10.201551828381,-5.10458624812724,"DIPE004",11
"12",NA,-9.35293163674463,-5.08513343996425,"DIPE004",12
"13",NA,-9.09079663848456,-5.09895353025404,"DIPE004",13
"14",NA,-8.00617364903611,-5.01602505705205,"DIPE004",14
"15",NA,-6.90625624272824,-5.00039932949562,"DIPE004",15
"16",NA,-6.62264659432711,-5.12915520388399,"DIPE004",16
"17",NA,-6.56634014969205,-5.30117943634349,"DIPE004",17
"18",NA,-6.64313822055584,-5.45397683402798,"DIPE004",18
"19",NA,-6.92782021703678,-5.56403996758946,"DIPE004",19
"20",NA,-7.42458716466296,-5.56526569068465,"DIPE004",20
"21",NA,-7.75452826446032,-5.44398318107918,"DIPE004",21
"22",NA,-7.91516092454643,-5.29464993128634,"DIPE004",22
"23",NA,-7.96159223578398,-5.2137275443676,"DIPE004",23
"24",NA,-7.90093027125677,-5.25470630859537,"DIPE004",24
"25",NA,-7.52591665535168,-5.34714244292272,"DIPE004",25
"26",NA,-7.28642055885145,-5.49809111567966,"DIPE004",26
"27",NA,-7.27721976826299,-5.69159502987368,"DIPE004",27
"28",NA,-7.3410637302688,-5.85754970974291,"DIPE004",28
"29",NA,-7.52671093246961,-5.88911950454174,"DIPE004",29
"30",NA,-7.85869393853867,-5.90955054321801,"DIPE004",30
"31",NA,-7.96268762493894,-5.91100950998114,"DIPE004",31
