"","slidedFather","slidedMother","slidedChild","video","frame_index"
"1",NA,-5.52012891375977,-6.58101157239311,"DRNE",1
"2",NA,-5.63417102460022,-6.42662373573123,"DRNE",2
"3",NA,-5.76599081332701,-6.42328461065152,"DRNE",3
"4",NA,-5.90512900579478,-6.55451014772243,"DRNE",4
"5",NA,-5.9219507733168,-6.42193130518084,"DRNE",5
"6",NA,-5.92251994030944,-6.50947553601761,"DRNE",6
"7",NA,-5.8784642196638,-6.53576107326094,"DRNE",7
"8",NA,-5.84639604474714,-6.59856517817837,"DRNE",8
"9",NA,-5.79015700379823,-6.59601863090311,"DRNE",9
"10",NA,-5.84941473206456,-6.7745477059348,"DRNE",10
"11",NA,-5.94935927036586,-6.69279758940929,"DRNE",11
"12",NA,-6.10822154432982,-6.84180802772442,"DRNE",12
"13",NA,-6.16986764254931,-6.92420119243435,"DRNE",13
"14",NA,-6.08546296060412,-6.9431683031895,"DRNE",14
"15",NA,-5.84384243730219,-6.90881381412202,"DRNE",15
"16",NA,-5.46955312903382,-6.82206171345416,"DRNE",16
"17",NA,-5.00906245256895,-6.94771037997233,"DRNE",17
"18",NA,-4.58313848796149,-6.89365019788208,"DRNE",18
"19",NA,-4.26655100283764,-7.20343399010897,"DRNE",19
"20",NA,-4.03789691794691,-7.33560889330371,"DRNE",20
"21",NA,-3.90851840404319,-7.56581859862939,"DRNE",21
"22",NA,-3.82952919161887,-7.36033148710737,"DRNE",22
"23",NA,-3.79794655462963,-7.49077085284044,"DRNE",23
"24",NA,-3.79884532405219,-7.3016103622945,"DRNE",24
"25",NA,-3.82161010116707,-7.33293647820638,"DRNE",25
"26",NA,-3.84530913070099,-7.48010084375645,"DRNE",26
"27",NA,-3.87786514413605,-7.62460404763507,"DRNE",27
"28",NA,-3.89049798251435,-7.61881066738791,"DRNE",28
"29",NA,-3.88575268851727,-7.98918977617864,"DRNE",29
"30",NA,-3.88133765597557,-8.32995907685927,"DRNE",30
"31",NA,-3.85890454663082,-8.25447097503058,"DRNE",31
"32",NA,-3.81779104379339,-8.32770595632782,"DRNE",32
"33",NA,-3.77260703573366,-8.28010459602928,"DRNE",33
"34",NA,-3.72203891621622,-7.87205336783777,"DRNE",34
"35",NA,-3.65069443074823,-7.32349572778801,"DRNE",35
"36",NA,-3.60181378180679,-7.06485780724807,"DRNE",36
"37",NA,-3.58230430497014,-6.88199287904626,"DRNE",37
"38",NA,-3.6136240115547,-7.11013924913587,"DRNE",38
"39",NA,-3.73201918610512,-7.51981718504043,"DRNE",39
"40",NA,-4.00003994781807,-8.33045534219863,"DRNE",40
"41",NA,-4.38166248456363,-8.971042776154,"DRNE",41
"42",NA,-4.77202989560422,-9.78145550951472,"DRNE",42
"43",NA,-5.186812859649,-10.0946837821136,"DRNE",43
"44",NA,-5.56399704074423,-10.3731516538354,"DRNE",44
"45",NA,-5.7375098037394,-10.4388800863286,"DRNE",45
"46",NA,-5.70412274998705,-10.9143688998155,"DRNE",46
"47",NA,-5.63330145118656,-11.0472467059544,"DRNE",47
"48",NA,-5.46721771816797,-11.7610952739705,"DRNE",48
"49",NA,-5.27702536932815,-12.2673075534882,"DRNE",49
"50",NA,-5.1678320899376,-11.9693152258953,"DRNE",50
"51",NA,-5.14275117132791,-11.4201979716967,"DRNE",51
"52",NA,-5.1460649400996,-10.8662045172931,"DRNE",52
"53",NA,-5.20683357057541,-10.3537416383579,"DRNE",53
"54",NA,-5.30265729896657,-9.57402418450605,"DRNE",54
"55",NA,-5.44097038132266,-9.66497211401462,"DRNE",55
"56",NA,-5.65243170205578,-9.80737878536154,"DRNE",56
"57",NA,-5.94435799477485,-9.33629989541942,"DRNE",57
"58",NA,-6.19474897167777,-8.38646096640854,"DRNE",58
"59",NA,-6.23707345439948,-7.76320315915124,"DRNE",59
"60",NA,-5.97317344332016,-6.69622964183534,"DRNE",60
"61",NA,-5.59864506167974,-5.50951454610051,"DRNE",61
"62",NA,-5.10052719637403,-5.0200363998502,"DRNE",62
"63",NA,-4.8001333354152,-4.76593159636455,"DRNE",63
"64",NA,-4.46808910137932,-4.43453016014229,"DRNE",64
"65",NA,-4.62544833444981,-4.6116415735865,"DRNE",65
"66",NA,-4.61221141752496,-4.65088646144563,"DRNE",66
"67",NA,-4.89728242023638,-4.88182893532292,"DRNE",67
"68",NA,-4.74838601211477,-4.75040504091256,"DRNE",68
"69",NA,-4.98757795882492,-4.91460428268275,"DRNE",69
"70",NA,-4.8467497299433,-4.71304893480789,"DRNE",70
"71",NA,-4.99321452090876,-4.85232624526164,"DRNE",71
"72",NA,-4.90372127541177,-4.71236882188532,"DRNE",72
"73",NA,-4.96730378284532,-4.80194550405639,"DRNE",73
"74",NA,-5.04309975542813,-4.82616514971311,"DRNE",74
"75",NA,-5.05531550867402,-4.79223266744565,"DRNE",75
"76",NA,-5.2891225076074,-4.90614678430838,"DRNE",76
"77",NA,-5.18943002646347,-4.88474579613682,"DRNE",77
"78",NA,-5.40552834953199,-4.99542452955663,"DRNE",78
"79",NA,-5.25456307031761,-4.85701998200907,"DRNE",79
"80",NA,-5.33322525358767,-4.98301582921238,"DRNE",80
"81",NA,-5.15405470750754,-4.83855048695446,"DRNE",81
"82",NA,-5.19390329489818,-4.79425702220082,"DRNE",82
"83",NA,-5.25264722862319,-4.72267383556308,"DRNE",83
"84",NA,-5.24309022300232,-4.72420699862193,"DRNE",84
"85",NA,-5.48535185226466,-4.71368466438417,"DRNE",85
"86",NA,-5.43041371605827,-4.60801723252673,"DRNE",86
"87",NA,-5.59883496945591,-4.74288575840722,"DRNE",87
"88",NA,-5.45192155434656,-4.73731611635706,"DRNE",88
"89",NA,-5.53349211585912,-4.7989087177361,"DRNE",89
"90",NA,-5.44842868018829,-4.81792220490632,"DRNE",90
"91",NA,-5.50246245079214,-4.92811675931986,"DRNE",91
"92",NA,-5.64223379645779,-5.05703239708656,"DRNE",92
"93",NA,-5.61621795739267,-5.05284944751057,"DRNE",93
"94",NA,-5.82224182491173,-5.27983434515026,"DRNE",94
"95",NA,-5.75690088795836,-5.25937849081628,"DRNE",95
"96",NA,-5.86648602928348,-5.44259206238201,"DRNE",96
"97",NA,-5.69587548102895,-5.37048954087014,"DRNE",97
"98",NA,-5.75689582156612,-5.44444359083568,"DRNE",98
"99",NA,-5.72567783675891,-5.41722813996726,"DRNE",99
