"","slidedFather","slidedMother","slidedChild","video","frame_index"
"1",NA,-3.79582667447783,-5.21573368831456,"GROP039",1
"2",NA,-3.70843184665544,-4.94868526706741,"GROP039",2
"3",NA,-3.64135380888845,-4.67830284829144,"GROP039",3
"4",NA,-3.69623797088304,-5.49068133957511,"GROP039",4
"5",NA,-3.74850220914616,-5.50430111561527,"GROP039",5
"6",NA,-3.78548049315161,-5.85544443477094,"GROP039",6
"7",NA,-3.778399317011,-5.95783735641594,"GROP039",7
"8",NA,-3.7261565684273,-5.9714620661864,"GROP039",8
"9",NA,-3.61235838386402,-5.60207067462819,"GROP039",9
"10",NA,-3.4769359469731,-5.87738258813835,"GROP039",10
"11",NA,-3.39311854542012,-6.38995258675701,"GROP039",11
"12",NA,-3.37300258890271,-6.45750008947895,"GROP039",12
"13",NA,-3.42876200118115,-6.69562532013185,"GROP039",13
"14",NA,-3.52298449841539,-6.89235132618748,"GROP039",14
"15",NA,-3.62934802136901,-7.06961222479016,"GROP039",15
"16",NA,-3.69400988329219,-6.86085959274982,"GROP039",16
"17",NA,-3.71519488443355,-6.98537740889921,"GROP039",17
"18",NA,-3.71211378697801,-7.65891757097432,"GROP039",18
"19",NA,-3.70018286856585,-8.49088465477635,"GROP039",19
"20",NA,-3.64212656781217,-8.99339556070012,"GROP039",20
"21",NA,-3.5467504851163,-9.08296091701743,"GROP039",21
"22",NA,-3.44422962454184,-9.10702377151136,"GROP039",22
"23",NA,-3.36350955653494,-9.20819676907725,"GROP039",23
"24",NA,-3.2954872876802,-8.61480021713911,"GROP039",24
"25",NA,-3.26581335237048,-8.26825622637865,"GROP039",25
"26",NA,-3.28610302525455,-8.67351031013148,"GROP039",26
"27",NA,-3.3384680200211,-9.51325543537016,"GROP039",27
"28",NA,-3.39490259381033,-10.1166480863097,"GROP039",28
"29",NA,-3.39742289919015,-10.4716773403498,"GROP039",29
"30",NA,-3.36335573922891,-10.9708044176749,"GROP039",30
"31",NA,-3.3231847437554,-11.0907640836214,"GROP039",31
"32",NA,-3.27382035426905,-11.3450585096533,"GROP039",32
"33",NA,-3.20767095963641,-10.8851968515737,"GROP039",33
"34",NA,-3.18267038453846,-10.7557138486069,"GROP039",34
