"","slidedFather","slidedMother","slidedChild","video","frame_index"
"1",NA,-10.0390850910725,-4.21726237565035,"HUMA058",1
"2",NA,-10.0575749200221,-4.27648056228998,"HUMA058",2
"3",NA,-10.2850600803655,-4.28816722762405,"HUMA058",3
"4",NA,-10.1970084154304,-4.24275142981579,"HUMA058",4
"5",NA,-10.0389484469134,-4.15641232481668,"HUMA058",5
"6",NA,-10.2883955877342,-4.07175839616315,"HUMA058",6
"7",NA,-10.4559398278701,-4.01114053632343,"HUMA058",7
"8",NA,-10.1779266840725,-3.97944069756868,"HUMA058",8
"9",NA,-10.2786644936675,-3.96514186439867,"HUMA058",9
"10",NA,-10.2941473791732,-3.93486634352512,"HUMA058",10
"11",NA,-10.0054372327545,-3.87543892968677,"HUMA058",11
"12",NA,-10.3267747086909,-3.79412797735412,"HUMA058",12
"13",NA,-10.3936289990205,-3.68138105572307,"HUMA058",13
"14",NA,-10.0544051444577,-3.5572045200509,"HUMA058",14
"15",NA,-10.1401906318031,-3.4479262212428,"HUMA058",15
"16",NA,-10.236430053318,-3.35687816210265,"HUMA058",16
"17",NA,-9.77414712992042,-3.26746860842983,"HUMA058",17
"18",NA,-9.90569316832933,-3.18701906216408,"HUMA058",18
"19",NA,-9.90569316832933,-3.11753606343654,"HUMA058",19
"20",NA,-9.57272375062349,-3.04797262450918,"HUMA058",20
"21",NA,-9.24289793661363,-2.96909483225509,"HUMA058",21
"22",NA,-9.13361829500879,-2.89954861775086,"HUMA058",22
"23",NA,-8.6769070392436,-2.84307957019824,"HUMA058",23
"24",NA,-8.86038821084888,-2.81301072273463,"HUMA058",24
"25",NA,-8.92411527501374,-2.82197129897699,"HUMA058",25
"26",NA,-9.00499224694122,-2.88982492236874,"HUMA058",26
"27",NA,-9.47788369702215,-3.07919213439961,"HUMA058",27
"28",NA,-9.5921024681937,-3.23262220189856,"HUMA058",28
"29",NA,-9.43695694018354,-3.3692711866841,"HUMA058",29
"30",NA,-9.54897954762539,-3.49928635875885,"HUMA058",30
"31",NA,-9.75374743512591,-3.60228943568645,"HUMA058",31
"32",NA,-9.48552264779307,-3.6898639588862,"HUMA058",32
"33",NA,-9.15782988274445,-3.85038731216606,"HUMA058",33
"34",NA,-9.25138018514012,-4.06954613039049,"HUMA058",34
"35",NA,-9.46539152690519,-4.26117594474558,"HUMA058",35
"36",NA,-9.85703859838229,-4.40803959806268,"HUMA058",36
"37",NA,-10.074014683096,-4.42216541699766,"HUMA058",37
"38",NA,-10.9580648178117,-4.38550737142223,"HUMA058",38
"39",NA,-11.6725559752816,-4.29552295026069,"HUMA058",39
"40",NA,-11.8310606939778,-4.22325431170661,"HUMA058",40
"41",NA,-11.1635050111959,-4.11711625064649,"HUMA058",41
"42",NA,-10.6043994069363,-3.99860902555932,"HUMA058",42
"43",NA,-9.99312624540594,-3.9350454170256,"HUMA058",43
"44",NA,-8.92426721600132,-3.99098673356688,"HUMA058",44
"45",NA,-8.52053066231499,-3.9852304149137,"HUMA058",45
"46",NA,-8.80315768379602,-3.97054352132682,"HUMA058",46
"47",NA,-9.36226328805562,-4.05008460391151,"HUMA058",47
"48",NA,-10.0503460857418,-4.19738391420767,"HUMA058",48
"49",NA,-10.7013742564315,-4.21743509506822,"HUMA058",49
"50",NA,-10.7181142751917,-4.30285030110454,"HUMA058",50
"51",NA,-10.8763134827961,-4.50411014711766,"HUMA058",51
"52",NA,-10.8236252489178,-4.66284548999284,"HUMA058",52
"53",NA,-10.1865475489477,-4.69825922363533,"HUMA058",53
"54",NA,-9.80772415599385,-4.76101872343607,"HUMA058",54
"55",NA,-9.85037976891024,-4.86124873185319,"HUMA058",55
"56",NA,-9.51141787037871,-4.96777375204338,"HUMA058",56
"57",NA,-9.19206248246951,-5.149422593671,"HUMA058",57
"58",NA,-9.18260578102347,-5.41969845205993,"HUMA058",58
"59",NA,-9.1477461316972,-5.75245919435299,"HUMA058",59
"60",NA,-9.31280782663867,-6.14483131278476,"HUMA058",60
"61",NA,-9.43479364045651,-6.51212169170423,"HUMA058",61
"62",NA,-9.41052689257605,-6.73250536787449,"HUMA058",62
"63",NA,-9.24374708571711,-6.82096438617471,"HUMA058",63
"64",NA,-8.91182146220366,-6.79514121456783,"HUMA058",64
"65",NA,-8.36297794892886,-6.70269018632338,"HUMA058",65
"66",NA,-8.18784171441258,-6.61940061510515,"HUMA058",66
"67",NA,-8.27178897822355,-6.64422646312437,"HUMA058",67
"68",NA,-8.35641449038562,-6.92473034093535,"HUMA058",68
"69",NA,-8.46100573686805,-7.32392122929866,"HUMA058",69
"70",NA,-8.5136808180767,-7.47110523787326,"HUMA058",70
"71",NA,-8.28264694015439,-7.54417910748463,"HUMA058",71
"72",NA,-7.96272000861944,-7.79344776551437,"HUMA058",72
"73",NA,-7.78188119826901,-7.97513351302704,"HUMA058",73
"74",NA,-7.64534416923943,-7.73687480643973,"HUMA058",74
"75",NA,-7.5659843421795,-7.52350264016006,"HUMA058",75
"76",NA,-7.4689010453506,-7.21623455620099,"HUMA058",76
"77",NA,-7.40038296091564,-6.68534110526367,"HUMA058",77
"78",NA,-7.25667802696666,-6.00655546652936,"HUMA058",78
"79",NA,-6.98332909468713,-5.6162203010615,"HUMA058",79
"80",NA,-6.52932573834081,-5.39021423753451,"HUMA058",80
"81",NA,-6.07323542844142,-5.30376758599445,"HUMA058",81
"82",NA,-5.5507228584545,-5.25125991739777,"HUMA058",82
"83",NA,-5.12695084087975,-5.23602961414487,"HUMA058",83
"84",NA,-4.85746410087222,-5.28585496983593,"HUMA058",84
"85",NA,-4.69091953950478,-5.38003306147667,"HUMA058",85
"86",NA,-4.5941981488447,-5.46847961407455,"HUMA058",86
"87",NA,-4.57715996811435,-5.57306768186754,"HUMA058",87
"88",NA,-4.63158071341245,-5.6980542605723,"HUMA058",88
"89",NA,-4.7528200666977,-5.67815516141783,"HUMA058",89
"90",NA,-4.95098745285745,-5.51924765105125,"HUMA058",90
"91",NA,-5.2326808635947,-5.29928246910056,"HUMA058",91
"92",NA,-5.60014024362304,-4.98526513437298,"HUMA058",92
"93",NA,-6.10878216786307,-4.6030741984366,"HUMA058",93
"94",NA,-6.74515845717038,-4.32187288762522,"HUMA058",94
"95",NA,-7.18014095464505,-4.12306270578551,"HUMA058",95
"96",NA,-7.49422192160571,-3.97062913329135,"HUMA058",96
"97",NA,-7.60846796707654,-3.85326135902366,"HUMA058",97
"98",NA,-7.41729692166793,-3.75714330992449,"HUMA058",98
"99",NA,-6.99087427948932,-3.69753632809706,"HUMA058",99
"100",NA,-6.63216396880773,-3.69329700801239,"HUMA058",100
"101",NA,-6.27649477355506,-3.73099652909267,"HUMA058",101
"102",NA,-6.03377131355612,-3.81348063451956,"HUMA058",102
"103",NA,-6.02341283082448,-3.92597763529227,"HUMA058",103
"104",NA,-6.10051208302822,-4.06911889173304,"HUMA058",104
"105",NA,-6.22151996481673,-4.2651077751442,"HUMA058",105
"106",NA,-6.4234116211548,-4.55985997978515,"HUMA058",106
"107",NA,-6.73564502135784,-5.01934118109316,"HUMA058",107
"108",NA,-7.15858045785883,-5.26085715783734,"HUMA058",108
"109",NA,-7.54926813150817,-5.38443875626724,"HUMA058",109
"110",NA,-7.99049106257483,-5.42549157667381,"HUMA058",110
"111",NA,-8.5326217446913,-5.38965388584574,"HUMA058",111
"112",NA,-8.83178623479246,-5.23917253625379,"HUMA058",112
"113",NA,-8.85511006055626,-5.35815416993048,"HUMA058",113
"114",NA,-8.99478865176687,-5.51244426060959,"HUMA058",114
"115",NA,-8.92163279023902,-5.66245736101731,"HUMA058",115
"116",NA,-8.48068181542017,-5.78023485375541,"HUMA058",116
"117",NA,-8.1178620685558,-5.9029085025376,"HUMA058",117
"118",NA,-7.76182030770342,-6.12520195350416,"HUMA058",118
"119",NA,-7.2985631915257,-6.57701608148157,"HUMA058",119
"120",NA,-7.10230620158013,-7.0017057736826,"HUMA058",120
"121",NA,-7.20571059888137,-7.26784702978743,"HUMA058",121
"122",NA,-7.45532952005089,-7.41737216620184,"HUMA058",122
"123",NA,-7.90411777975028,-7.47708047239423,"HUMA058",123
"124",NA,-8.50811888316501,-7.44861529319891,"HUMA058",124
"125",NA,-8.89117420104411,-7.65638017761048,"HUMA058",125
"126",NA,-9.26785318135628,-8.55194719651248,"HUMA058",126
"127",NA,-9.3549578089171,-9.1857791130085,"HUMA058",127
"128",NA,-9.08021530578697,-9.10755421471909,"HUMA058",128
"129",NA,-8.36149612684011,-8.64826311586231,"HUMA058",129
"130",NA,-7.59143531655456,-7.93803824766477,"HUMA058",130
"131",NA,-6.64195896582688,-6.6589231992828,"HUMA058",131
"132",NA,-5.80180593976518,-5.65529030059872,"HUMA058",132
"133",NA,-5.15205375622419,-5.31052076887768,"HUMA058",133
"134",NA,-4.77669549521341,-5.20361651187816,"HUMA058",134
"135",NA,-4.59644345328529,-5.02261023367456,"HUMA058",135
"136",NA,-4.53317087583241,-4.81132749842492,"HUMA058",136
"137",NA,-4.54688424445954,-4.60040274612458,"HUMA058",137
"138",NA,-4.62073579500197,-4.32675173145472,"HUMA058",138
"139",NA,-4.76145767622484,-4.09370586376937,"HUMA058",139
"140",NA,-4.94725217675389,-4.0447506967275,"HUMA058",140
"141",NA,-5.18736678254426,-4.14339126104562,"HUMA058",141
"142",NA,-5.42088714502165,-4.27486673644022,"HUMA058",142
"143",NA,-5.64511414370192,-4.43732725841004,"HUMA058",143
"144",NA,-5.88413105917902,-4.60232160296691,"HUMA058",144
"145",NA,-6.18144364485906,-4.71998091173825,"HUMA058",145
"146",NA,-6.53759658170608,-4.7655907809217,"HUMA058",146
"147",NA,-6.88634325650609,-4.76400037462946,"HUMA058",147
"148",NA,-7.21544186575598,-4.74903413494759,"HUMA058",148
"149",NA,-7.50665718970112,-4.66440698427714,"HUMA058",149
"150",NA,-7.85537276900045,-4.59606742338929,"HUMA058",150
"151",NA,-8.06330577249035,-4.48989696678074,"HUMA058",151
"152",NA,-8.14102158290847,-4.38903889799333,"HUMA058",152
"153",NA,-8.17034775957275,-4.31421142044439,"HUMA058",153
"154",NA,-8.17389705362905,-4.32410195806351,"HUMA058",154
"155",NA,-8.10672699171701,-4.27347028371628,"HUMA058",155
"156",NA,-8.04891349546829,-4.22265984844885,"HUMA058",156
"157",NA,-8.07326273910119,-4.18930659292926,"HUMA058",157
"158",NA,-8.18419006396343,-4.16015155617713,"HUMA058",158
"159",NA,-8.53944518812288,-4.14580881516718,"HUMA058",159
"160",NA,-8.68354471548369,-4.19901989198989,"HUMA058",160
"161",NA,-8.70777675410511,-4.25345383853335,"HUMA058",161
"162",NA,-8.7567826261381,-4.25636588865485,"HUMA058",162
"163",NA,-8.90613102711001,-4.25288575879205,"HUMA058",163
"164",NA,-8.7278542349722,-4.2867357961574,"HUMA058",164
"165",NA,-8.63409143036783,-4.35287410784734,"HUMA058",165
"166",NA,-8.59554978028497,-4.36688734855103,"HUMA058",166
"167",NA,-8.64639703633231,-4.38603608393015,"HUMA058",167
"168",NA,-8.77214998702257,-4.40506037674218,"HUMA058",168
"169",NA,-8.72726932239524,-4.38781796688549,"HUMA058",169
"170",NA,-8.64147341736858,-4.36863806859109,"HUMA058",170
"171",NA,-8.73615178124363,-4.50704190858756,"HUMA058",171
"172",NA,-8.95810646821266,-4.73452389019082,"HUMA058",172
"173",NA,-8.84538274228045,-4.92771635494198,"HUMA058",173
"174",NA,-8.89200636815063,-5.15414469772039,"HUMA058",174
"175",NA,-9.02014359416929,-5.28488790035523,"HUMA058",175
"176",NA,-9.11695609237243,-5.29542747713231,"HUMA058",176
"177",NA,-9.20208381431472,-5.28261049526038,"HUMA058",177
"178",NA,-9.1675474860081,-5.30966899898757,"HUMA058",178
"179",NA,-9.16580452476525,-5.25187323730593,"HUMA058",179
"180",NA,-9.35289466423456,-5.24293919249459,"HUMA058",180
"181",NA,-9.62791149523331,-5.25762190078379,"HUMA058",181
"182",NA,-9.47985681660422,-5.22401447390755,"HUMA058",182
"183",NA,-9.55951372501658,-5.12517531989144,"HUMA058",183
"184",NA,-9.76984329549534,-4.97688858468556,"HUMA058",184
"185",NA,-10.0779523231309,-4.76130125854272,"HUMA058",185
"186",NA,-9.96418431154783,-4.50245795411941,"HUMA058",186
"187",NA,-9.99318305520139,-4.24172919687303,"HUMA058",187
"188",NA,-10.1275673600381,-4.01697477039152,"HUMA058",188
