"","slidedFather","slidedMother","slidedChild","video","frame_index"
"1",NA,-4.42798235669442,-5.72568424213012,"JAEM046",1
"2",NA,-4.55296335031886,-5.82374302857725,"JAEM046",2
"3",NA,-4.70464066922183,-5.88922173860222,"JAEM046",3
"4",NA,-4.84442298129753,-5.96153339652015,"JAEM046",4
"5",NA,-4.96518211811045,-5.97082727869242,"JAEM046",5
"6",NA,-5.0646532004901,-6.08313112011166,"JAEM046",6
"7",NA,-5.20298335340297,-6.1814022855272,"JAEM046",7
"8",NA,-5.2892878246907,-6.26460150221031,"JAEM046",8
"9",NA,-5.40974631528993,-6.398414249408,"JAEM046",9
"10",NA,-5.53059785660202,-6.43921534608006,"JAEM046",10
"11",NA,-5.55599527076615,-6.39256262049567,"JAEM046",11
"12",NA,-5.62193407417543,-6.38985562582121,"JAEM046",12
"13",NA,-5.79381706959098,-6.34617074781938,"JAEM046",13
"14",NA,-5.87599902536208,-6.17814445335312,"JAEM046",14
"15",NA,-5.92240712530046,-6.10974251570293,"JAEM046",15
"16",NA,-6.02903758257702,-6.02102793845033,"JAEM046",16
"17",NA,-6.27254375174481,-5.90587485181218,"JAEM046",17
"18",NA,-6.19180814794952,-5.97851840746821,"JAEM046",18
"19",NA,-6.13017478306776,-6.1795202975851,"JAEM046",19
"20",NA,-6.05346632334776,-6.41612619511928,"JAEM046",20
"21",NA,-5.88792472343331,-6.77099918223632,"JAEM046",21
"22",NA,-5.46964804761968,-7.02003202412904,"JAEM046",22
"23",NA,-5.31962004059821,-7.06064520050821,"JAEM046",23
"24",NA,-5.2785769958006,-6.97957887421772,"JAEM046",24
"25",NA,-5.29313332242549,-6.82663355396322,"JAEM046",25
"26",NA,-5.31364638633049,-6.70545039318029,"JAEM046",26
"27",NA,-5.37212873837651,-6.76335754667019,"JAEM046",27
"28",NA,-5.47453661686849,-6.96196541305779,"JAEM046",28
"29",NA,-5.62130229078015,-7.24133664224136,"JAEM046",29
"30",NA,-5.90408725241754,-7.56183172122177,"JAEM046",30
"31",NA,-6.32618777791369,-7.62855794223925,"JAEM046",31
"32",NA,-6.74791567196187,-7.2419735213688,"JAEM046",32
"33",NA,-7.26450017968213,-6.74660741077745,"JAEM046",33
"34",NA,-7.70444714328429,-6.26949542055567,"JAEM046",34
"35",NA,-8.01943967870786,-5.78564515815636,"JAEM046",35
"36",NA,-8.15352929737281,-5.4464516506233,"JAEM046",36
"37",NA,-8.15069487819805,-5.43437135210766,"JAEM046",37
"38",NA,-7.92749923396576,-5.41802057817723,"JAEM046",38
"39",NA,-7.90622576517173,-5.24948430559002,"JAEM046",39
"40",NA,-7.94874762807156,-5.01441373190592,"JAEM046",40
"41",NA,-8.06080748181332,-4.8616005094861,"JAEM046",41
"42",NA,-8.24564363137078,-4.77732952386186,"JAEM046",42
"43",NA,-8.54428664937156,-4.7555006415232,"JAEM046",43
"44",NA,-8.67116349705751,-4.80196822279927,"JAEM046",44
"45",NA,-8.68579934906455,-4.86585699178056,"JAEM046",45
"46",NA,-8.65436581240638,-4.85391762736526,"JAEM046",46
"47",NA,-8.84953049415608,-4.83324980983715,"JAEM046",47
"48",NA,-8.92981699168675,-4.87184614588297,"JAEM046",48
"49",NA,-8.91587841126299,-4.97398984667031,"JAEM046",49
