"","slidedFather","slidedMother","slidedChild","video","frame_index"
"1",NA,-7.13157217751458,-5.89724619459744,"JOCE014",1
"2",NA,-7.06568565660063,-6.08934969611225,"JOCE014",2
"3",NA,-6.89156222149995,-6.27861046391221,"JOCE014",3
"4",NA,-7.16003006991409,-6.61912071398389,"JOCE014",4
"5",NA,-7.04143429947614,-7.15691131582304,"JOCE014",5
"6",NA,-7.03147294989242,-7.33564223340294,"JOCE014",6
"7",NA,-7.40639496801417,-7.74514876604426,"JOCE014",7
"8",NA,-7.42339215443078,-7.80275404177605,"JOCE014",8
"9",NA,-7.24881311154407,-7.93799505566596,"JOCE014",9
"10",NA,-6.97496771616352,-8.1010370218831,"JOCE014",10
"11",NA,-6.59168310685873,-8.17497664773651,"JOCE014",11
"12",NA,-6.1269209329717,-7.999502959329,"JOCE014",12
"13",NA,-5.89441929411249,-7.78098188565277,"JOCE014",13
"14",NA,-5.7655994474179,-7.64067991260186,"JOCE014",14
"15",NA,-5.88487449296698,-7.59363557421602,"JOCE014",15
"16",NA,-6.20493522475866,-7.94244624710739,"JOCE014",16
"17",NA,-6.40937040607047,-8.2358035016887,"JOCE014",17
"18",NA,-6.78228582909516,-9.09767588919994,"JOCE014",18
"19",NA,-7.31154713100781,-9.61845535215697,"JOCE014",19
"20",NA,-7.85547149615775,-9.54118378545042,"JOCE014",20
"21",NA,-8.25892070632323,-9.53682030047042,"JOCE014",21
"22",NA,-8.58583267011033,-9.52317787223679,"JOCE014",22
"23",NA,-8.78176189991019,-9.42032823657803,"JOCE014",23
"24",NA,-8.78361839906777,-9.59200258586576,"JOCE014",24
"25",NA,-8.43386962631059,-9.77794694194454,"JOCE014",25
"26",NA,-7.83719819890786,-9.59729822745298,"JOCE014",26
"27",NA,-7.21529197978565,-9.34409597298677,"JOCE014",27
"28",NA,-6.53950644750873,-8.73509902246275,"JOCE014",28
"29",NA,-5.88989033468734,-7.98794524374312,"JOCE014",29
"30",NA,-5.45483892128435,-7.35246418554599,"JOCE014",30
"31",NA,-5.18089354941116,-6.98573921584265,"JOCE014",31
"32",NA,-5.08024445215921,-6.99091786719091,"JOCE014",32
"33",NA,-5.05514581610115,-7.29524679265765,"JOCE014",33
"34",NA,-5.04579964787074,-7.76281898662379,"JOCE014",34
"35",NA,-5.10375541161749,-7.89747528673836,"JOCE014",35
"36",NA,-5.2506141142168,-7.99497333198545,"JOCE014",36
"37",NA,-5.46697822990319,-7.94463995762042,"JOCE014",37
"38",NA,-5.70669423710359,-7.77447616585432,"JOCE014",38
"39",NA,-5.94996351197644,-7.50369251727282,"JOCE014",39
"40",NA,-6.1452846114986,-7.40076767013959,"JOCE014",40
"41",NA,-6.27568050268165,-7.02996403618031,"JOCE014",41
"42",NA,-6.36829316294418,-6.69573388868477,"JOCE014",42
"43",NA,-6.46651243939923,-6.30442505553342,"JOCE014",43
"44",NA,-6.5407003220254,-6.02054718604239,"JOCE014",44
"45",NA,-6.63372875382471,-6.28294105937148,"JOCE014",45
"46",NA,-6.73267259082703,-6.761500244243,"JOCE014",46
"47",NA,-6.82096788436222,-7.16090976626135,"JOCE014",47
"48",NA,-6.87956487371305,-7.58397844949801,"JOCE014",48
"49",NA,-6.9933510857769,-8.06568955471381,"JOCE014",49
"50",NA,-7.11149313486009,-8.33889471309511,"JOCE014",50
"51",NA,-7.32134704773778,-8.69440240169309,"JOCE014",51
"52",NA,-7.63355283051666,-9.07065266128014,"JOCE014",52
"53",NA,-7.61791796064557,-9.65029692437516,"JOCE014",53
"54",NA,-7.31282217775825,-10.2800604794449,"JOCE014",54
"55",NA,-6.90065697779465,-10.4944998071615,"JOCE014",55
"56",NA,-6.35229203666385,-9.98582035421429,"JOCE014",56
"57",NA,-5.69189954070572,-9.44616962522989,"JOCE014",57
"58",NA,-5.49336444052314,-8.48104199175579,"JOCE014",58
"59",NA,-5.60530104319892,-7.18057619064166,"JOCE014",59
"60",NA,-5.64006963938067,-6.10391538569289,"JOCE014",60
"61",NA,-5.66034240482727,-5.65397566018055,"JOCE014",61
"62",NA,-5.61848127093527,-5.34402683845641,"JOCE014",62
"63",NA,-5.32590614044259,-5.30417581504441,"JOCE014",63
"64",NA,-4.89433639273949,-5.5406248549469,"JOCE014",64
"65",NA,-4.61601222303644,-5.99654508137341,"JOCE014",65
"66",NA,-4.40445207984127,-6.44324636397975,"JOCE014",66
"67",NA,-4.25042903036563,-6.80233817289608,"JOCE014",67
"68",NA,-4.18731851509606,-6.78309543902042,"JOCE014",68
"69",NA,-4.17993789035225,-6.4205290330305,"JOCE014",69
"70",NA,-4.17114042130413,-5.77419571656169,"JOCE014",70
"71",NA,-4.16844931969186,-5.1228013348106,"JOCE014",71
"72",NA,-4.18381966350046,-4.54998034842821,"JOCE014",72
"73",NA,-4.2130266756668,-4.27048696701214,"JOCE014",73
"74",NA,-4.25769825720509,-4.2154384382178,"JOCE014",74
"75",NA,-4.33641358124859,-4.39228653860317,"JOCE014",75
