"","slidedFather","slidedMother","slidedChild","video","frame_index"
"1",NA,-4.32805520083178,-3.52297442654329,"MAEL048",1
"2",NA,-4.33888837816366,-3.47624286500307,"MAEL048",2
"3",NA,-4.30882137418198,-3.47511045231451,"MAEL048",3
"4",NA,-4.32354416759396,-3.50113662855224,"MAEL048",4
"5",NA,-4.33901877634276,-3.49030612856102,"MAEL048",5
"6",NA,-4.45493672326639,-3.50395247424311,"MAEL048",6
"7",NA,-4.65221279482167,-3.60097741402275,"MAEL048",7
"8",NA,-4.87864857420464,-3.69596955279967,"MAEL048",8
"9",NA,-5.08312536744989,-3.76442144128563,"MAEL048",9
"10",NA,-5.30007335352408,-3.84070476985023,"MAEL048",10
"11",NA,-5.51288865253143,-3.89131939441537,"MAEL048",11
"12",NA,-5.7989507001693,-3.96422503551451,"MAEL048",12
"13",NA,-6.03231455456359,-4.13607588903787,"MAEL048",13
"14",NA,-6.18357103125104,-4.30973653729761,"MAEL048",14
"15",NA,-6.26164316323777,-4.44729182769534,"MAEL048",15
"16",NA,-6.19994555818631,-4.5868437847535,"MAEL048",16
"17",NA,-6.04755954294565,-4.75142210804085,"MAEL048",17
"18",NA,-5.98664081609136,-4.90711000157141,"MAEL048",18
"19",NA,-6.08769490992321,-5.0626858382169,"MAEL048",19
"20",NA,-6.1265814175041,-5.24387134997714,"MAEL048",20
"21",NA,-6.30057855164878,-5.40313786804405,"MAEL048",21
"22",NA,-6.5341128384058,-5.51218520823924,"MAEL048",22
"23",NA,-6.71392068339307,-5.5746255091681,"MAEL048",23
"24",NA,-6.76291758557361,-5.72757753216122,"MAEL048",24
"25",NA,-6.73739720016711,-5.92289851733435,"MAEL048",25
"26",NA,-6.40196599385632,-5.87935196619626,"MAEL048",26
"27",NA,-5.88486543466283,-5.72245661875622,"MAEL048",27
"28",NA,-5.24283196027844,-5.45468573641811,"MAEL048",28
"29",NA,-4.58586432928282,-5.03202501103578,"MAEL048",29
"30",NA,-4.09639239220427,-4.52976707607219,"MAEL048",30
"31",NA,-3.81289026322655,-4.2218301470884,"MAEL048",31
"32",NA,-3.58006464111409,-3.96855929112034,"MAEL048",32
"33",NA,-3.42824661341873,-3.83631976127581,"MAEL048",33
"34",NA,-3.31666428760553,-3.7328321272322,"MAEL048",34
"35",NA,-3.22423242907673,-3.68652192295675,"MAEL048",35
"36",NA,-3.1577891273551,-3.76498428651207,"MAEL048",36
"37",NA,-3.1354512083007,-3.8991323393151,"MAEL048",37
"38",NA,-3.16335479154402,-3.95212574170731,"MAEL048",38
"39",NA,-3.23125743475814,-4.02300059704987,"MAEL048",39
"40",NA,-3.30215219329903,-4.08923153164866,"MAEL048",40
"41",NA,-3.37694996978628,-4.14851549523045,"MAEL048",41
"42",NA,-3.45456048589928,-4.28826843950063,"MAEL048",42
"43",NA,-3.52771110516737,-4.49869365557896,"MAEL048",43
"44",NA,-3.60115142455147,-4.55771255984188,"MAEL048",44
"45",NA,-3.71247764309229,-4.6093406571875,"MAEL048",45
"46",NA,-3.86221501215937,-4.55365763893451,"MAEL048",46
"47",NA,-4.09725191309866,-4.4584149764205,"MAEL048",47
"48",NA,-4.4605528940991,-4.45149547646435,"MAEL048",48
"49",NA,-4.67280877946697,-4.51846297245096,"MAEL048",49
"50",NA,-4.73691669279987,-4.55123968468513,"MAEL048",50
"51",NA,-4.69563256781739,-4.7470901323196,"MAEL048",51
"52",NA,-4.50254689608302,-4.89674311716224,"MAEL048",52
"53",NA,-4.12353162834939,-4.96389294815713,"MAEL048",53
"54",NA,-3.83195508746785,-5.23221420898389,"MAEL048",54
"55",NA,-3.61903485742061,-5.491789003958,"MAEL048",55
"56",NA,-3.44605469419401,-5.55935697464943,"MAEL048",56
"57",NA,-3.31680983824106,-5.57888564705486,"MAEL048",57
"58",NA,-3.20597134625102,-5.53118058561041,"MAEL048",58
"59",NA,-3.10884560053595,-5.45279728553562,"MAEL048",59
"60",NA,-3.03341797509276,-5.36912429808356,"MAEL048",60
"61",NA,-2.96857280677756,-5.31245348044842,"MAEL048",61
"62",NA,-2.91124421154822,-5.23104718456581,"MAEL048",62
"63",NA,-2.86792658295568,-5.18614868995609,"MAEL048",63
"64",NA,-2.82961464055035,-5.00061532612369,"MAEL048",64
"65",NA,-2.7974477844992,-4.802789400146,"MAEL048",65
"66",NA,-2.78619339082807,-4.60778210942565,"MAEL048",66
"67",NA,-2.79356241797125,-4.44233303139032,"MAEL048",67
"68",NA,-2.81806201614058,-4.26862206633295,"MAEL048",68
"69",NA,-2.86636851163881,-4.21317870040666,"MAEL048",69
"70",NA,-2.93047622804519,-4.25873129865191,"MAEL048",70
"71",NA,-3.00232487023139,-4.32152284920827,"MAEL048",71
"72",NA,-3.09283147580503,-4.42418285168059,"MAEL048",72
"73",NA,-3.2210329471402,-4.47605787817605,"MAEL048",73
"74",NA,-3.37100409795432,-4.65022682211725,"MAEL048",74
