"","slidedFather","slidedMother","slidedChild","video","frame_index"
"1",NA,-9.04651816927239,-6.31297724193126,"NUMA027",1
"2",NA,-9.03277899956982,-6.48366890635181,"NUMA027",2
"3",NA,-8.92510408258451,-6.46057915985358,"NUMA027",3
"4",NA,-9.35259715841041,-6.6299854115329,"NUMA027",4
"5",NA,-8.80850405017003,-6.45658795248422,"NUMA027",5
"6",NA,-8.15225349112126,-6.42256400474463,"NUMA027",6
"7",NA,-8.20804562848473,-6.46689062880482,"NUMA027",7
"8",NA,-8.45030872180361,-6.60064979120308,"NUMA027",8
"9",NA,-8.54883843186644,-6.61816077178388,"NUMA027",9
"10",NA,-8.96758742613594,-6.93250289040759,"NUMA027",10
"11",NA,-9.29578781684081,-7.12138147277074,"NUMA027",11
"12",NA,-9.47168794618205,-7.26537759292668,"NUMA027",12
"13",NA,-9.57526184948938,-7.39684451842338,"NUMA027",13
"14",NA,-10.0285830644622,-7.46297527142257,"NUMA027",14
"15",NA,-10.6686727789708,-7.4929376747783,"NUMA027",15
"16",NA,-11.0591602715113,-7.68514382477147,"NUMA027",16
"17",NA,-11.5552715179211,-7.6563980520969,"NUMA027",17
"18",NA,-11.8979989065139,-7.83494923008793,"NUMA027",18
"19",NA,-12.10595632809,-8.38350065440769,"NUMA027",19
"20",NA,-12.0647848067605,-8.65857846382028,"NUMA027",20
"21",NA,-12.2243190890984,-8.65290869400332,"NUMA027",21
"22",NA,-12.1021330744269,-8.74322611713179,"NUMA027",22
"23",NA,-11.5568925677745,-8.57132234039804,"NUMA027",23
"24",NA,-11.07627193446,-7.98643943327672,"NUMA027",24
"25",NA,-10.6368228224749,-7.58388894763122,"NUMA027",25
"26",NA,-10.3289733678091,-7.17563643866348,"NUMA027",26
"27",NA,-9.70038311475485,-6.95439668179198,"NUMA027",27
"28",NA,-9.63010409165062,-6.84128854552071,"NUMA027",28
"29",NA,-9.04489436985583,-6.73310782385019,"NUMA027",29
"30",NA,-8.26899203430902,-6.56194139654921,"NUMA027",30
"31",NA,-7.27737103276277,-6.49460070384113,"NUMA027",31
"32",NA,-6.43817065040899,-6.28454257745949,"NUMA027",32
"33",NA,-5.62968639433853,-5.99255966115475,"NUMA027",33
"34",NA,-5.18552002492195,-5.78497707947307,"NUMA027",34
"35",NA,-4.93835004419213,-5.74983763809488,"NUMA027",35
"36",NA,-4.8863402152038,-5.79170055221956,"NUMA027",36
"37",NA,-4.99102851499079,-5.92240865125121,"NUMA027",37
"38",NA,-5.31859026509503,-6.03211009246932,"NUMA027",38
"39",NA,-5.74414615357944,-6.14409907238327,"NUMA027",39
"40",NA,-6.13536837481282,-6.23497588392118,"NUMA027",40
"41",NA,-6.54041016599457,-6.35525843276839,"NUMA027",41
"42",NA,-6.90503204519539,-6.44743307303267,"NUMA027",42
"43",NA,-7.08016189176305,-6.52720818439631,"NUMA027",43
"44",NA,-7.05964334002165,-6.50271928560795,"NUMA027",44
"45",NA,-7.03228704768047,-6.433472767463,"NUMA027",45
"46",NA,-6.96345403175499,-6.28456926786938,"NUMA027",46
"47",NA,-6.94678695749474,-6.14990365701967,"NUMA027",47
"48",NA,-7.05838733230878,-6.00873374823942,"NUMA027",48
"49",NA,-7.49067147971716,-5.95765923374557,"NUMA027",49
"50",NA,-8.18113919505493,-5.87463947307787,"NUMA027",50
"51",NA,-8.6297650802262,-5.68426542337608,"NUMA027",51
"52",NA,-8.91723944867038,-5.36516704779957,"NUMA027",52
"53",NA,-8.94166201212717,-4.99584138927472,"NUMA027",53
"54",NA,-8.7780527795988,-4.58725232652605,"NUMA027",54
"55",NA,-8.32814446016667,-4.22414072386299,"NUMA027",55
"56",NA,-7.98124751863918,-3.94400321507458,"NUMA027",56
"57",NA,-7.6302154611476,-3.786121420831,"NUMA027",57
"58",NA,-7.35751185702257,-3.73749480477315,"NUMA027",58
"59",NA,-7.03485705762997,-3.75983635286717,"NUMA027",59
"60",NA,-6.83396001185392,-3.85326796983207,"NUMA027",60
"61",NA,-6.7722013876331,-3.98582233303381,"NUMA027",61
"62",NA,-6.86590642438379,-4.12667485396183,"NUMA027",62
"63",NA,-7.18348995008946,-4.3059376312014,"NUMA027",63
"64",NA,-7.79555043123865,-4.5082720083186,"NUMA027",64
"65",NA,-8.38096950127025,-4.66263873974461,"NUMA027",65
"66",NA,-8.67056692451331,-4.74450409664922,"NUMA027",66
"67",NA,-8.77275955789621,-4.81575761733008,"NUMA027",67
"68",NA,-8.7459927769233,-4.85847822959541,"NUMA027",68
"69",NA,-8.65654326250148,-4.9324542470448,"NUMA027",69
"70",NA,-8.71248851538425,-5.1304222694436,"NUMA027",70
"71",NA,-8.9131389593475,-5.44995409185438,"NUMA027",71
"72",NA,-9.21628587815875,-5.73963373263363,"NUMA027",72
"73",NA,-9.47167898706075,-6.16403662652355,"NUMA027",73
"74",NA,-9.40594920781057,-6.62923811248303,"NUMA027",74
"75",NA,-9.27287122672507,-6.93291319154708,"NUMA027",75
"76",NA,-9.22414700200139,-7.16267775929174,"NUMA027",76
"77",NA,-9.20957293279742,-7.41465344753137,"NUMA027",77
"78",NA,-9.2890036241513,-7.51951448505034,"NUMA027",78
"79",NA,-9.51044107565506,-7.58761693175949,"NUMA027",79
"80",NA,-9.60580955027534,-7.48149209780209,"NUMA027",80
"81",NA,-9.76340676949213,-7.39052721128544,"NUMA027",81
"82",NA,-9.90350593984293,-7.34250823289039,"NUMA027",82
"83",NA,-10.0938879746162,-7.34175828054162,"NUMA027",83
"84",NA,-10.3231375905407,-7.31264899696242,"NUMA027",84
"85",NA,-10.7784759233314,-7.37611247863905,"NUMA027",85
"86",NA,-11.4905987071053,-7.34458205957632,"NUMA027",86
"87",NA,-12.1762363872008,-7.23519205644683,"NUMA027",87
"88",NA,-12.4523325279509,-7.03155204214733,"NUMA027",88
"89",NA,-12.3960183337587,-6.67184863343719,"NUMA027",89
"90",NA,-12.2292324335121,-6.51616109737208,"NUMA027",90
"91",NA,-11.7897728614767,-6.68600872925703,"NUMA027",91
"92",NA,-11.2824410708047,-6.70904585091288,"NUMA027",92
"93",NA,-11.3236125921342,-6.62533032568434,"NUMA027",93
"94",NA,-11.4401921874461,-6.57305663147913,"NUMA027",94
"95",NA,-11.3723199688095,-6.41129787628818,"NUMA027",95
"96",NA,-11.5049800035535,-6.10632935983627,"NUMA027",96
"97",NA,-11.6763693392734,-6.12020019014362,"NUMA027",97
"98",NA,-11.2527694257694,-6.13410402574533,"NUMA027",98
"99",NA,-11.205954213277,-6.19563787314628,"NUMA027",99
"100",NA,-11.2906782372194,-6.33479292189112,"NUMA027",100
"101",NA,-10.9595907897975,-6.44026769522278,"NUMA027",101
"102",NA,-10.8261102655276,-6.48930109182445,"NUMA027",102
"103",NA,-10.9145538895307,-6.77272742222636,"NUMA027",103
"104",NA,-10.8654535867194,-7.12172448116947,"NUMA027",104
"105",NA,-11.0565592029897,-7.51950359109707,"NUMA027",105
"106",NA,-11.2902418865208,-7.7571685305904,"NUMA027",106
"107",NA,-11.1765865021456,-7.63826730357034,"NUMA027",107
"108",NA,-11.7432449421058,-7.52351575853723,"NUMA027",108
