"","slidedFather","slidedMother","slidedChild","video","frame_index"
"1",-6.16301090410068,-4.40637505905053,-4.40924610560579,"RAKA008",1
"2",-6.3390306358436,-4.19157574998599,-4.49543571537923,"RAKA008",2
"3",-6.47595137955012,-4.03439143033537,-4.57165330550907,"RAKA008",3
"4",-6.63818081549149,-3.94273509655207,-4.64471610122005,"RAKA008",4
"5",-6.73533205468569,-3.84891233262136,-4.71164976289438,"RAKA008",5
"6",-6.47327624746146,-3.76556450438972,-4.77331749789252,"RAKA008",6
"7",-6.36500241434949,-3.73702948346097,-4.91644569228443,"RAKA008",7
"8",-6.18896082448357,-3.7464496081286,-5.16729869150071,"RAKA008",8
"9",-5.96199574900189,-3.79521994547481,-5.40944162924088,"RAKA008",9
"10",-5.64397833508913,-3.93649697773366,-5.55603494634343,"RAKA008",10
"11",-5.31719958411663,-4.10249771335743,-5.60003535484417,"RAKA008",11
"12",-5.08373657634422,-4.2963141615656,-5.65157907225786,"RAKA008",12
"13",-4.92530849149847,-4.50707089462872,-5.67223193621566,"RAKA008",13
"14",-4.94287202254572,-4.61135938074347,-5.75482714633273,"RAKA008",14
"15",-5.09054354418076,-4.61968040745684,-6.25757243039781,"RAKA008",15
"16",-5.27823482818369,-4.71273786685514,-6.84312240786009,"RAKA008",16
"17",-5.51373798676658,-4.81994636105217,-6.95959855719626,"RAKA008",17
"18",-5.71418894829468,-4.88951605676135,-6.84440971780753,"RAKA008",18
"19",-5.8356372107021,-5.02509121901484,-6.5629702857773,"RAKA008",19
"20",-5.89835973310819,-5.20403370542514,-5.88767383543339,"RAKA008",20
"21",-5.96312555982907,-5.25198699242778,-5.22192262836839,"RAKA008",21
"22",-5.99813842095987,-5.26252009409197,-5.05659790336303,"RAKA008",22
"23",-6.16104034957452,-5.36012660800238,-5.1599488443667,"RAKA008",23
"24",-6.47664688912654,-5.47322902888911,-5.35728634647576,"RAKA008",24
"25",-6.73951904150407,-5.56182375844426,-5.53458799557636,"RAKA008",25
"26",-6.94103016346309,-5.65525183457956,-5.63470111762898,"RAKA008",26
"27",-6.94103016346309,-5.69921425088115,-5.63892529858282,"RAKA008",27
"28",-6.71310114059527,-5.69634781019689,-5.57065282989883,"RAKA008",28
"29",-6.39268287912559,-5.67355620509483,-5.56740326455448,"RAKA008",29
"30",-6.1429025366158,-5.48863423001753,-5.70011442020044,"RAKA008",30
"31",-5.91400138276478,-5.26892633829326,-5.80437419014468,"RAKA008",31
"32",-5.93967992027823,-5.05191294546444,-5.72788367834061,"RAKA008",32
"33",-6.07749223449813,-4.76455559769397,-5.469032885767,"RAKA008",33
"34",-6.19294205675708,-4.44086449535374,-5.08147605990007,"RAKA008",34
"35",-6.32521869843842,-4.29344535314755,-4.60349256631453,"RAKA008",35
"36",-6.52531761937062,-4.29703650983646,-4.23489045691311,"RAKA008",36
"37",-6.44362607392681,-4.45892543647241,-4.10848785186231,"RAKA008",37
"38",-6.18489444613416,-4.62856871449807,-4.14688934599635,"RAKA008",38
"39",-5.93834384128027,-4.82751314179894,-4.32194617172946,"RAKA008",39
"40",-5.71175027696628,-5.05927677263267,-4.59213405862712,"RAKA008",40
"41",-5.42075564577236,-5.19835796515518,-4.86672968077181,"RAKA008",41
"42",-5.29308377741157,-5.17645460303918,-5.14170090017755,"RAKA008",42
"43",-5.32648327154007,-5.14798018203209,-5.43173292000869,"RAKA008",43
"44",-5.32042996464555,-5.08376463318506,-5.61986037367787,"RAKA008",44
"45",-5.24380554065916,-4.91547015287593,-5.66716258122602,"RAKA008",45
"46",-5.16195108126309,-4.70701406954293,-5.559954653193,"RAKA008",46
"47",-5.12551180897556,-4.55820080745341,-5.33985478942877,"RAKA008",47
"48",-5.14544308141641,-4.56390696604185,-5.02291740408987,"RAKA008",48
"49",-5.19417872501219,-4.75802381092108,-4.67879534107921,"RAKA008",49
"50",-5.22118990621023,-4.92302243288709,-4.38841834104107,"RAKA008",50
"51",-5.21007018412725,-5.13919547147575,-4.2394288225005,"RAKA008",51
"52",-5.12732819524845,-5.40435420758946,-4.14788596704138,"RAKA008",52
"53",-4.98544045010847,-5.66554751666262,-4.08534708178039,"RAKA008",53
"54",-4.86264621923302,-5.67997935872526,-4.07723633947588,"RAKA008",54
"55",-4.79316717416684,-5.66502545609998,-4.09879708786997,"RAKA008",55
"56",-4.78913435148466,-5.69725786500033,-4.15901140088,"RAKA008",56
"57",-4.90016498314176,-5.67924688935761,-4.29601387382919,"RAKA008",57
"58",-5.10314921749643,-5.49733141935694,-4.44741915357124,"RAKA008",58
"59",-5.31484792758247,-5.3500206621327,-4.54047517231136,"RAKA008",59
"60",-5.54177534149114,-5.26763711957082,-4.60814634099388,"RAKA008",60
"61",-5.774944745348,-5.10603076372913,-4.6099935282182,"RAKA008",61
"62",-5.89009297692083,-4.88435882398163,-4.54394233517778,"RAKA008",62
"63",-5.93776142066535,-4.68827146757339,-4.50286026443783,"RAKA008",63
"64",-6.02336396792847,-4.55235406351714,-4.51472353126614,"RAKA008",64
"65",-6.06283621007682,-4.50317262870393,-4.53730820719195,"RAKA008",65
"66",-6.12045667069646,-4.59232826619032,-4.5679137249803,"RAKA008",66
"67",-6.18807148354191,-4.85356085850943,-4.63155763919505,"RAKA008",67
"68",-6.26360542382994,-5.29785829533558,-4.72615061503625,"RAKA008",68
"69",-6.27686887411652,-5.97104430533231,-4.90262573279468,"RAKA008",69
"70",-6.41635140404919,-6.62849479727874,-5.12324663230748,"RAKA008",70
"71",-6.40921298130407,-7.22396033586691,-5.40944272602998,"RAKA008",71
"72",-6.45112472959858,-7.9558014814485,-5.8156166055906,"RAKA008",72
"73",-6.49800136538318,-8.66464176581587,-6.30624398255649,"RAKA008",73
"74",-6.496413185929,-9.18743608174704,-6.68923364772277,"RAKA008",74
"75",-6.3889522732204,-9.65053686337445,-7.10209126284107,"RAKA008",75
"76",-6.39028369148451,-10.0235551207604,-7.52765315621614,"RAKA008",76
"77",-6.33009319315059,-10.1492739678382,-7.76228367846298,"RAKA008",77
"78",-6.19808076941005,-10.2995482943107,-7.72992977637865,"RAKA008",78
"79",-6.05821315971378,-10.3622760535801,-7.51010583432854,"RAKA008",79
"80",-5.92512359078693,-10.0866607573058,-7.06954375329279,"RAKA008",80
"81",-5.86006537971341,-9.4940833558837,-6.40753209615726,"RAKA008",81
"82",-5.94866061644275,-8.77480933487408,-5.68347839609751,"RAKA008",82
"83",-6.19470577356694,-7.8088749779706,-5.09522458714836,"RAKA008",83
"84",-6.54508314290784,-6.84534266471081,-4.79629609215454,"RAKA008",84
"85",-6.7653830883116,-6.29375976755712,-4.6252857635059,"RAKA008",85
"86",-6.75927556444551,-6.1492771423308,-4.58623024165847,"RAKA008",86
"87",-6.63993805157613,-6.26520530775214,-4.6922663057601,"RAKA008",87
"88",-6.33178124462568,-6.59125729873564,-4.81581478898753,"RAKA008",88
"89",-5.90611419157055,-7.06956250863263,-4.78911572366177,"RAKA008",89
"90",-5.57264441358803,-7.64130691293848,-4.63841650896859,"RAKA008",90
"91",-5.37792916636536,-8.08631898497691,-4.40253319272025,"RAKA008",91
"92",-5.29636154369828,-8.24152861365631,-4.08407085121415,"RAKA008",92
"93",-5.2997888766466,-8.41616550784181,-3.74493815433291,"RAKA008",93
"94",-5.33827788218096,-8.36645490327844,-3.50582559697066,"RAKA008",94
"95",-5.43302832094466,-8.12693850100701,-3.44838017793457,"RAKA008",95
"96",-5.60550334713387,-8.0896838014446,-3.54098437972411,"RAKA008",96
"97",-5.75655398617784,-8.40002874445696,-3.69460885789221,"RAKA008",97
"98",-5.8884384622266,-8.47956483140216,-3.86341004268132,"RAKA008",98
"99",-6.1428036393583,-8.85428347276497,-3.98554088769529,"RAKA008",99
"100",-6.37802788708958,-9.58013345443439,-4.02507669375942,"RAKA008",100
"101",-6.37271686953447,-9.69449916841562,-3.98013966146068,"RAKA008",101
"102",-6.17673481658731,-9.91844303159386,-3.91245464531114,"RAKA008",102
"103",-5.90220126431566,-10.3698470508719,-3.83080366243204,"RAKA008",103
"104",-5.45409185137657,-10.5864318100486,-3.76486471043666,"RAKA008",104
"105",-4.8956235317094,-10.2512285616377,-3.72916152011858,"RAKA008",105
"106",-4.47922727391677,-10.3123812005854,-3.71606794108553,"RAKA008",106
"107",-4.19950745374929,-9.89650222684482,-3.69726057101381,"RAKA008",107
"108",-4.00339599932438,-9.33517905841319,-3.66264153303369,"RAKA008",108
"109",-3.92447678613278,-8.37024360557671,-3.62283112650973,"RAKA008",109
"110",-3.93108530652043,-7.43773125756371,-3.56641134114743,"RAKA008",110
"111",-3.94564431135121,-6.57190406306935,-3.51219948925612,"RAKA008",111
"112",-3.94700657685868,-5.87305095894658,-3.48821330671096,"RAKA008",112
"113",-4.0182467440301,-5.18192846271784,-3.49547531493089,"RAKA008",113
"114",-4.14459280233698,-4.97416949197754,-3.52935114066195,"RAKA008",114
"115",-4.31087460718379,-5.00291887673781,-3.60347770309906,"RAKA008",115
"116",-4.3887430376091,-5.01137763873124,-3.70767222511484,"RAKA008",116
"117",-4.40437888892458,-4.95689892291687,-3.78552386275123,"RAKA008",117
"118",-4.34904939115592,-4.84709980430456,-3.79819485965053,"RAKA008",118
"119",-4.18453311538137,-4.68934789312927,-3.759561145884,"RAKA008",119
"120",-3.9519426336674,-4.59968255714797,-3.67748603122488,"RAKA008",120
"121",-3.8141026360932,-4.57718357241752,-3.55695554288002,"RAKA008",121
"122",-3.77092076605418,-4.59828956561194,-3.44419830011256,"RAKA008",122
"123",-3.73629775212475,-4.68010882329463,-3.38498703528106,"RAKA008",123
"124",-3.706447462192,-4.78190648032968,-3.37789540305002,"RAKA008",124
"125",-3.70952483144791,-4.82621879355136,-3.41430549708256,"RAKA008",125
"126",-3.72346869992883,-4.84829661410055,-3.48567378639846,"RAKA008",126
"127",-3.7103022303855,-4.8371925336357,-3.62186309130854,"RAKA008",127
"128",-3.72593182573668,-4.74731596089867,-3.80616323039365,"RAKA008",128
"129",-3.76991232851881,-4.61759228542282,-3.9253783539152,"RAKA008",129
"130",-3.80737529828706,-4.47492775374817,-3.97651474746696,"RAKA008",130
"131",-3.79518572654809,-4.37377895897244,-3.98642826962407,"RAKA008",131
"132",-3.75038952819434,-4.37290800495589,-3.96124670439711,"RAKA008",132
"133",-3.65868212981785,-4.48241374595492,-3.91887476479759,"RAKA008",133
"134",-3.52992163020968,-4.66162972539343,-3.96566671556797,"RAKA008",134
"135",-3.42103629582109,-4.78773186830673,-4.13384836969242,"RAKA008",135
"136",-3.36712297237157,-4.84259254296321,-4.42371731710995,"RAKA008",136
"137",-3.34126985819417,-4.85846907404039,-4.63259707444628,"RAKA008",137
"138",-3.35987627159133,-4.86853251976783,-4.77384664780072,"RAKA008",138
"139",-3.39136578920169,-4.74276297898216,-4.86213327267391,"RAKA008",139
"140",-3.39399208662158,-4.62907652272993,-4.89777734525785,"RAKA008",140
"141",-3.38429985175278,-4.58092213203326,-4.88941932086775,"RAKA008",141
"142",-3.35991894817839,-4.57581320933295,-5.01654284950802,"RAKA008",142
"143",-3.32752960258363,-4.61767268073992,-5.36183396811509,"RAKA008",143
"144",-3.30197948530731,-5.00293687099052,-5.74425107786204,"RAKA008",144
"145",-3.29756981191666,-5.45843063869397,-5.87325535791305,"RAKA008",145
"146",-3.31837965756714,-5.90476142057941,-5.88112796215676,"RAKA008",146
"147",-3.36190873610191,-6.40564524076498,-5.82592356547834,"RAKA008",147
"148",-3.41590914011958,-7.0948264583908,-5.6005237685548,"RAKA008",148
"149",-3.49863267389673,-7.50585546889359,-5.39261613482736,"RAKA008",149
"150",-3.58797918994213,-8.07478870637758,-5.50983081995367,"RAKA008",150
"151",-3.67359271783092,-8.64667308026062,-5.93589957111199,"RAKA008",151
"152",-3.7265822546062,-9.019782611137,-6.24076493129551,"RAKA008",152
"153",-3.77548851437879,-8.92485470230955,-6.42762761907743,"RAKA008",153
"154",-3.82684493723823,-8.58374102051514,-6.54152336130916,"RAKA008",154
"155",-3.8726735286713,-7.75325920550044,-6.6012861751676,"RAKA008",155
"156",-3.87450470801715,-6.79772873937107,-6.59610950966909,"RAKA008",156
"157",-3.84516649810373,-5.88913448845352,-7.06040829330232,"RAKA008",157
"158",-3.7949208660208,-5.13312309919509,-7.32220957442309,"RAKA008",158
"159",-3.70544909563523,-4.62486337444296,-7.51733269490437,"RAKA008",159
"160",-3.61430745965188,-4.40515150712571,-7.62883420478942,"RAKA008",160
"161",-3.5905710613012,-4.30153566093732,-7.63459434424259,"RAKA008",161
"162",-3.64144048845626,-4.25521912759618,-7.55494094707564,"RAKA008",162
"163",-3.6817376484219,-4.26429192320046,-7.99376462523145,"RAKA008",163
"164",-3.69141920130257,-4.33203126077987,-8.15252417091578,"RAKA008",164
"165",-3.65441218456374,-4.44423822616792,-8.11202203847183,"RAKA008",165
"166",-3.59067556133035,-4.61695957718797,-7.75672768774477,"RAKA008",166
"167",-3.58086453094987,-4.86117368984463,-7.00256914312212,"RAKA008",167
"168",-3.63906247024992,-5.25453054365912,-6.03944080678659,"RAKA008",168
"169",-3.68524399455247,-5.9586384181505,-5.49264107111282,"RAKA008",169
"170",-3.6883441409221,-6.75172431631187,-5.15665515949293,"RAKA008",170
"171",-3.66156406299369,-7.19031359787523,-5.05079507295217,"RAKA008",171
"172",-3.57458721575539,-7.45085688240872,-5.09965414185898,"RAKA008",172
"173",-3.49336815803591,-7.55227704950548,-5.17272971577927,"RAKA008",173
"174",-3.53820805529247,-7.41727887585715,-5.21791539838352,"RAKA008",174
"175",-3.75455158782568,-7.40440098273066,-5.26284754847029,"RAKA008",175
"176",-4.14888645766863,-7.96339704532845,-5.24164295568276,"RAKA008",176
"177",-4.69034970476046,-8.70767409365503,-5.12422294127915,"RAKA008",177
"178",-5.25824387184678,-8.99303574136039,-4.91848153328594,"RAKA008",178
"179",-5.84550542439855,-8.9445778821325,-4.67544203886251,"RAKA008",179
"180",-6.26648712966363,-8.47740422437144,-4.46234730598917,"RAKA008",180
"181",-6.33442645771858,-7.88694562285379,-4.33935620585445,"RAKA008",181
"182",-6.11162636386065,-7.14897041289166,-4.31701960584299,"RAKA008",182
"183",-5.68949122167391,-6.79481049039978,-4.32640392030581,"RAKA008",183
"184",-5.1384539470037,-6.8727551338844,-4.31728265062556,"RAKA008",184
"185",-4.62498962387343,-7.12365219025503,-4.32368246642536,"RAKA008",185
"186",-4.26722726835011,-7.25898134565514,-4.39344319107751,"RAKA008",186
"187",-4.00025117595826,-7.58861250798115,-4.49505426987147,"RAKA008",187
"188",-3.86632523393817,-8.07689939935225,-4.59125623328722,"RAKA008",188
"189",-3.79776962537753,-8.53107095700111,-4.73819486273238,"RAKA008",189
"190",-3.83693889392834,-9.01124937509745,-4.89499659898488,"RAKA008",190
"191",-4.0284049577909,-9.695137093585,-4.98765521191026,"RAKA008",191
"192",-4.21851928272602,-10.3377839446339,-5.01888264483761,"RAKA008",192
"193",-4.26186008923448,-10.9601402391078,-5.00123943789087,"RAKA008",193
"194",-4.19026356609672,-10.8032266517044,-4.91909512512489,"RAKA008",194
"195",-4.03226103359885,-10.6186440199617,-4.80781322596351,"RAKA008",195
"196",-3.76747405171564,-10.0481389512547,-4.68738299503092,"RAKA008",196
"197",-3.55912119743955,-9.52429615108546,-4.55567886921379,"RAKA008",197
"198",-3.51047862146072,-9.16159244909369,-4.56119765273263,"RAKA008",198
"199",-3.52578961839049,-9.43691132461954,-4.7609975818925,"RAKA008",199
"200",-3.5200718033152,-9.33687740482896,-4.95157915624963,"RAKA008",200
"201",-3.47353571575051,-9.55373318720117,-5.07665729847983,"RAKA008",201
"202",-3.40132729039239,-9.52769047391388,-5.24141219491888,"RAKA008",202
"203",-3.30009199126539,-9.07698300060762,-5.37052413372748,"RAKA008",203
"204",-3.23179604413899,-8.70342169253368,-5.40715998545526,"RAKA008",204
"205",-3.24009872925169,-8.91144176052483,-5.52267954300531,"RAKA008",205
"206",-3.31058423328799,-8.82628397854689,-5.64900977234629,"RAKA008",206
"207",-3.35722939699837,-8.85232669183418,-5.67689690529816,"RAKA008",207
"208",-3.37758955920058,-8.77946823681893,-5.66091576873029,"RAKA008",208
"209",-3.41448590491681,-8.27513393086643,-5.57078701145761,"RAKA008",209
"210",-3.45662348457461,-7.39404393389863,-5.49015889866111,"RAKA008",210
"211",-3.49392724201686,-6.56944029153062,-5.45612964750171,"RAKA008",211
"212",-3.64885212664896,-5.70450177511107,-5.39780872213577,"RAKA008",212
"213",-3.97742264520356,-5.13119847313954,-5.32576671366481,"RAKA008",213
"214",-4.40172859376306,-4.89627908459827,-5.28398546465833,"RAKA008",214
"215",-4.83333439650127,-4.87388243905148,-5.18426482475045,"RAKA008",215
"216",-5.17189902468163,-5.0063503990837,-5.05914932918979,"RAKA008",216
"217",-5.41718072647624,-5.28623851934403,-4.94595365320967,"RAKA008",217
"218",-5.50514881056177,-5.72378804465676,-4.86135993463481,"RAKA008",218
"219",-5.44238558906224,-6.46304173915053,-4.76559755585877,"RAKA008",219
"220",-5.24875744435945,-7.11339847074831,-4.65339234781529,"RAKA008",220
"221",-5.04944664240735,-7.5171382806591,-4.54657496929181,"RAKA008",221
"222",-4.80055210377881,-7.68171927344617,-4.48298719079688,"RAKA008",222
"223",-4.53482847429783,-7.61485029027066,-4.40184971738143,"RAKA008",223
"224",-4.28265201053855,-7.19148163169443,-4.31354459115426,"RAKA008",224
"225",-4.08418378745413,-6.83377207830534,-4.22084322240535,"RAKA008",225
"226",-3.89653740744485,-6.65748673294293,-4.13853319541065,"RAKA008",226
"227",-3.72859539036201,-6.67648405428281,-4.08578588803164,"RAKA008",227
"228",-3.57449240626305,-6.93219857288948,-4.083623996398,"RAKA008",228
"229",-3.44897954617879,-7.45839332851533,-4.12496402293552,"RAKA008",229
"230",-3.33415197057849,-8.03970617156639,-4.15121806562745,"RAKA008",230
"231",-3.26236850314239,-8.80737314843228,-4.15186505451753,"RAKA008",231
"232",-3.21090679764501,-9.43190039736305,-4.12774264716716,"RAKA008",232
"233",-3.17231938578963,-9.66934315358068,-4.09316659218969,"RAKA008",233
"234",-3.09030816963958,-9.65589739125872,-4.05886136668401,"RAKA008",234
"235",-3.02791589465016,-9.43683236430328,-4.07063399496115,"RAKA008",235
"236",-3.02439564358253,-8.79901492695419,-4.15991454968178,"RAKA008",236
"237",-3.04533396902216,-8.27006002288023,-4.35992257171017,"RAKA008",237
"238",-3.0953851163058,-7.75299489128052,-4.56560987353418,"RAKA008",238
"239",-3.21156633505392,-6.98608805374374,-4.6600494973178,"RAKA008",239
"240",-3.31781791880544,-6.23481227091316,-4.67067050197449,"RAKA008",240
"241",-3.38580887292437,-5.62409241227728,-4.60074249683867,"RAKA008",241
"242",-3.4434265512555,-4.93782397401157,-4.42912507879677,"RAKA008",242
"243",-3.53026563504422,-4.47958419507007,-4.24028920250254,"RAKA008",243
"244",-3.64237122254274,-4.2831932642,-4.12940908336163,"RAKA008",244
"245",-3.78231992300264,-4.17308233443051,-4.05763649737054,"RAKA008",245
"246",-3.90959800207709,-4.13245086564439,-4.01851486545804,"RAKA008",246
"247",-3.97542648344591,-4.13638726894363,-3.998465965728,"RAKA008",247
"248",-3.95209602452464,-4.13411985991494,-3.99682568678473,"RAKA008",248
"249",-3.84468018849749,-4.15904886103862,-4.03056584177608,"RAKA008",249
"250",-3.69564465599245,-4.31738526094006,-4.10610348501183,"RAKA008",250
"251",-3.53885330671699,-4.60805774076443,-4.22529598854129,"RAKA008",251
"252",-3.44109844789952,-5.18098316333916,-4.39814559371887,"RAKA008",252
"253",-3.37076718049607,-6.28726343810548,-4.64207184186193,"RAKA008",253
"254",-3.32284742363672,-7.04101793062984,-4.94025811495209,"RAKA008",254
"255",-3.33853496323616,-7.56518599329885,-5.26024196107035,"RAKA008",255
"256",-3.44560544939659,-7.94370005249168,-5.57934558188229,"RAKA008",256
"257",-3.52927050971171,-7.97374301251626,-5.8755923239201,"RAKA008",257
"258",-3.5633099367574,-7.52369309570875,-6.30197958113342,"RAKA008",258
"259",-3.57691682512942,-7.04262228274122,-6.67702078114561,"RAKA008",259
"260",-3.54916387800887,-6.53193540213637,-7.02894587417022,"RAKA008",260
"261",-3.47871420575583,-5.98033442479082,-7.60150915010033,"RAKA008",261
"262",-3.46490068587239,-5.47409225573804,-8.14081181394791,"RAKA008",262
"263",-3.51735953592287,-4.91875230725882,-8.6000765152915,"RAKA008",263
"264",-3.5975468370976,-4.77484380969302,-9.11682394675554,"RAKA008",264
"265",-3.69848634186323,-4.841157913879,-9.49220040854885,"RAKA008",265
"266",-3.71396082293843,-5.05102670969061,-9.3946630083171,"RAKA008",266
"267",-3.67693296749265,-5.46271445551617,-9.31483083930941,"RAKA008",267
"268",-3.63868755685045,-5.93511187644154,-9.09204452616084,"RAKA008",268
"269",-3.64630071851227,-6.29454795309995,-8.79611727487502,"RAKA008",269
"270",-3.61300706509092,-6.68283077062797,-9.00303818284174,"RAKA008",270
"271",-3.58551433030961,-7.1096290113622,-9.34486104637712,"RAKA008",271
"272",-3.56591386405066,-7.48115167874312,-9.3057506855376,"RAKA008",272
"273",-3.55498519039371,-7.84672585160293,-9.65989437365064,"RAKA008",273
"274",-3.54579953266301,-8.26124743484065,-9.92129843002898,"RAKA008",274
"275",-3.5192439603761,-8.75292817341589,-9.6391541317941,"RAKA008",275
"276",-3.55930971677308,-9.59872885612405,-9.42815044465843,"RAKA008",276
"277",-3.61086889278488,-10.2308668016823,-9.83801768879615,"RAKA008",277
"278",-3.64931323645682,-10.7334883215947,-10.2469110133573,"RAKA008",278
"279",-3.66322148820081,-10.1544967844721,-10.5266317678384,"RAKA008",279
