"","slidedFather","slidedMother","slidedChild","video","frame_index"
"1",NA,-2.4609000359891,-2.04196981816852,"SEEM035",1
"2",NA,-2.41353298631736,-2.05310130375422,"SEEM035",2
"3",NA,-2.38508119036864,-2.07628668917718,"SEEM035",3
"4",NA,-2.37058879638667,-2.11402744544757,"SEEM035",4
"5",NA,-2.36652936760933,-2.14573925982708,"SEEM035",5
"6",NA,-2.38325933257046,-2.16186598552159,"SEEM035",6
"7",NA,-2.40486272806385,-2.17216858904289,"SEEM035",7
"8",NA,-2.42938709627751,-2.18693948855404,"SEEM035",8
"9",NA,-2.45852550936092,-2.21459238446122,"SEEM035",9
"10",NA,-2.48271120924293,-2.26501179988819,"SEEM035",10
"11",NA,-2.48261407807393,-2.34282035132322,"SEEM035",11
"12",NA,-2.48283041842581,-2.44485413925947,"SEEM035",12
"13",NA,-2.4885194721478,-2.56133080940866,"SEEM035",13
"14",NA,-2.50080450781605,-2.69117253414642,"SEEM035",14
"15",NA,-2.51473191989195,-2.84259825134273,"SEEM035",15
"16",NA,-2.55442972147847,-3.03224114356019,"SEEM035",16
"17",NA,-2.63238241882808,-3.28381820322133,"SEEM035",17
"18",NA,-2.74516578932537,-3.54376141633829,"SEEM035",18
"19",NA,-2.90244321958427,-3.71990737654218,"SEEM035",19
"20",NA,-3.00079368682379,-3.77260304380563,"SEEM035",20
"21",NA,-3.03247412953787,-3.70450774154856,"SEEM035",21
"22",NA,-2.98218209356149,-3.50028259647093,"SEEM035",22
"23",NA,-2.85712522375112,-3.22200778663099,"SEEM035",23
"24",NA,-2.64985220718849,-2.96613446871992,"SEEM035",24
"25",NA,-2.47731360238159,-2.76725866739162,"SEEM035",25
"26",NA,-2.34282548743026,-2.60655955748905,"SEEM035",26
"27",NA,-2.2511876900371,-2.47813474868703,"SEEM035",27
"28",NA,-2.19004857133564,-2.37686753145698,"SEEM035",28
"29",NA,-2.1680456904094,-2.28805158471454,"SEEM035",29
"30",NA,-2.18102102334951,-2.21121602682402,"SEEM035",30
"31",NA,-2.19847217407505,-2.14107989945606,"SEEM035",31
"32",NA,-2.18369828256175,-2.06949612625474,"SEEM035",32
"33",NA,-2.15638251728351,-1.99668911691682,"SEEM035",33
"34",NA,-2.11606102341844,-1.93792190019125,"SEEM035",34
"35",NA,-2.09038609043202,-1.8991269529856,"SEEM035",35
"36",NA,-2.12708830365015,-1.88574165536975,"SEEM035",36
"37",NA,-2.21017269056609,-1.89901818691986,"SEEM035",37
"38",NA,-2.30582674200512,-1.93102550024579,"SEEM035",38
"39",NA,-2.38506846354887,-1.97058662438585,"SEEM035",39
"40",NA,-2.41251750491143,-2.01229671182508,"SEEM035",40
"41",NA,-2.37389617951344,-2.05407377429722,"SEEM035",41
"42",NA,-2.33798493893201,-2.10137777581152,"SEEM035",42
"43",NA,-2.32530633340202,-2.15527684943994,"SEEM035",43
"44",NA,-2.34697668005628,-2.22110505950221,"SEEM035",44
"45",NA,-2.38514248724079,-2.30614363494679,"SEEM035",45
"46",NA,-2.42001938823878,-2.40461898147733,"SEEM035",46
"47",NA,-2.43076559995437,-2.51365844550524,"SEEM035",47
"48",NA,-2.41899823387237,-2.64383382073511,"SEEM035",48
"49",NA,-2.39724832929995,-2.7841150094405,"SEEM035",49
"50",NA,-2.39236727119179,-2.92410262588058,"SEEM035",50
"51",NA,-2.42437219659634,-3.05802559442412,"SEEM035",51
"52",NA,-2.49248229303266,-3.17162957344051,"SEEM035",52
"53",NA,-2.57915396491743,-3.25097573028936,"SEEM035",53
"54",NA,-2.67833293696124,-3.30383121345956,"SEEM035",54
"55",NA,-2.77416208316844,-3.32550646594345,"SEEM035",55
"56",NA,-2.84713904013498,-3.32803841927295,"SEEM035",56
"57",NA,-2.92928698555479,-3.34323049352001,"SEEM035",57
"58",NA,-3.02057607683033,-3.3624901903268,"SEEM035",58
"59",NA,-3.06319861046172,-3.39479271654269,"SEEM035",59
"60",NA,-3.0846387679154,-3.47445382845508,"SEEM035",60
"61",NA,-3.09422522044634,-3.58293678073423,"SEEM035",61
"62",NA,-3.0602307368957,-3.70264240942018,"SEEM035",62
"63",NA,-3.00561664738832,-3.86610133348723,"SEEM035",63
"64",NA,-2.97542376841444,-4.05363558970798,"SEEM035",64
