"","slidedFather","slidedMother","slidedChild","video","frame_index"
"1",NA,-7.40856073644393,-6.67543378850395,"TIUG032",1
"2",NA,-7.25688824996458,-6.61515434694647,"TIUG032",2
"3",NA,-7.22245175088153,-7.18853619813153,"TIUG032",3
"4",NA,-7.51174769849816,-7.85188329909453,"TIUG032",4
"5",NA,-7.6352003713744,-8.15880458266086,"TIUG032",5
"6",NA,-7.97869439230861,-8.50355061457919,"TIUG032",6
"7",NA,-8.24547287779458,-9.07084664058083,"TIUG032",7
"8",NA,-8.2944671429748,-8.78067533533746,"TIUG032",8
"9",NA,-8.31021022772151,-8.81750057715993,"TIUG032",9
"10",NA,-8.41471478559688,-9.02932897196266,"TIUG032",10
"11",NA,-8.34191395943205,-9.2339792505059,"TIUG032",11
"12",NA,-8.65211016135378,-9.22882508338971,"TIUG032",12
"13",NA,-8.93162680921804,-9.6849304298286,"TIUG032",13
"14",NA,-9.01775993527679,-10.0156654922852,"TIUG032",14
"15",NA,-9.00727459045841,-10.1991041775483,"TIUG032",15
"16",NA,-9.37550630246667,-10.4486808035501,"TIUG032",16
"17",NA,-9.37864044939005,-10.5619913694041,"TIUG032",17
"18",NA,-9.32950471689238,-10.8182444899917,"TIUG032",18
"19",NA,-9.40683686262339,-11.0811877048135,"TIUG032",19
"20",NA,-9.37394332775358,-11.0193065252435,"TIUG032",20
"21",NA,-9.32279505364179,-11.0193065252435,"TIUG032",21
"22",NA,-9.66719764841037,-10.6789601327057,"TIUG032",22
"23",NA,-10.8900395811209,-9.88584716529134,"TIUG032",23
"24",NA,-11.9378446719643,-8.98933539548951,"TIUG032",24
"25",NA,-12.6750302790252,-8.6603043358188,"TIUG032",25
"26",NA,-13.6645270251707,-8.08308362805625,"TIUG032",26
"27",NA,-13.6645270251707,-7.93278606353577,"TIUG032",27
"28",NA,-13.1408881183224,-7.96058484879516,"TIUG032",28
"29",NA,-12.4860497263448,-8.02930627083272,"TIUG032",29
"30",NA,-12.4142318111103,-8.14016367765784,"TIUG032",30
"31",NA,-11.890592904262,-8.21328662531383,"TIUG032",31
"32",NA,-11.7375978088603,-8.48603574594419,"TIUG032",32
"33",NA,-11.7903302168815,-8.95400327411821,"TIUG032",33
"34",NA,-11.9215297020108,-9.29172813596151,"TIUG032",34
"35",NA,-11.9215297020108,-9.2402233401229,"TIUG032",35
"36",NA,-11.8798400886849,-9.50239296090885,"TIUG032",36
"37",NA,-11.8882395303449,-9.57419689790126,"TIUG032",37
"38",NA,-11.7043076371944,-9.3079345768316,"TIUG032",38
"39",NA,-11.9419923045588,-9.1952023714771,"TIUG032",39
"40",NA,-11.8475702832117,-9.27698275414397,"TIUG032",40
"41",NA,-11.543449101871,-9.29749054791011,"TIUG032",41
"42",NA,-11.7065513155144,-9.48311007192197,"TIUG032",42
"43",NA,-11.4289562704266,-9.70021936218602,"TIUG032",43
"44",NA,-10.375962290782,-9.71565798429475,"TIUG032",44
"45",NA,-9.4730977346651,-10.1598091708997,"TIUG032",45
"46",NA,-8.45673272156577,-10.2582532893165,"TIUG032",46
"47",NA,-7.0897448570787,-10.4163253200369,"TIUG032",47
"48",NA,-5.90599488186578,-10.2666388641231,"TIUG032",48
"49",NA,-5.09093141926537,-10.0751503436176,"TIUG032",49
"50",NA,-4.3705753834098,-9.67027384936442,"TIUG032",50
"51",NA,-4.04855734361076,-10.5768011391814,"TIUG032",51
"52",NA,-3.94618730038845,-10.5336437434171,"TIUG032",52
"53",NA,-4.01026747162416,-10.7813286505902,"TIUG032",53
"54",NA,-4.1887147319868,-11.5072987784182,"TIUG032",54
"55",NA,-4.42666978568043,-11.8433559496909,"TIUG032",55
"56",NA,-4.77149038242109,-10.6759688039607,"TIUG032",56
"57",NA,-5.09932400396202,-10.1747425571779,"TIUG032",57
"58",NA,-5.2706282893516,-9.6316939980744,"TIUG032",58
"59",NA,-5.38272316951986,-8.68017604962598,"TIUG032",59
"60",NA,-5.57761819015362,-7.95228157787794,"TIUG032",60
"61",NA,-5.73009103626249,-7.65406771590253,"TIUG032",61
"62",NA,-5.82995928577479,-7.38321000944913,"TIUG032",62
"63",NA,-5.98340354104595,-7.36002024478284,"TIUG032",63
"64",NA,-6.17210465149124,-7.40352462461201,"TIUG032",64
"65",NA,-6.33735841136577,-7.24834322731455,"TIUG032",65
"66",NA,-6.43706025272827,-6.7271444692038,"TIUG032",66
"67",NA,-6.48168149318706,-5.99913586828662,"TIUG032",67
"68",NA,-6.4055872218341,-5.16056189272828,"TIUG032",68
"69",NA,-6.12671889036312,-4.33764252582891,"TIUG032",69
"70",NA,-5.65785427621137,-3.71038756839191,"TIUG032",70
"71",NA,-5.15569720864924,-3.46175917307687,"TIUG032",71
"72",NA,-4.71912371086382,-3.38410523891706,"TIUG032",72
"73",NA,-4.39436241873189,-3.37301370184877,"TIUG032",73
"74",NA,-4.23487334680843,-3.32724997067846,"TIUG032",74
"75",NA,-4.20929784889449,-3.24612432972661,"TIUG032",75
"76",NA,-4.25415049932683,-3.21484980580624,"TIUG032",76
"77",NA,-4.34015747445879,-3.307078287597,"TIUG032",77
"78",NA,-4.46590702137768,-3.54286746196134,"TIUG032",78
"79",NA,-4.62608875592847,-3.69251352220911,"TIUG032",79
"80",NA,-4.82166607973429,-3.66822762933336,"TIUG032",80
"81",NA,-5.06016679680547,-3.60195850045612,"TIUG032",81
"82",NA,-5.31598657703141,-3.53663341840636,"TIUG032",82
"83",NA,-5.56790373530949,-3.29114503775788,"TIUG032",83
"84",NA,-5.84578650588124,-3.06885072406357,"TIUG032",84
