"","slidedFather","slidedMother","slidedChild","video","frame_index"
"1",NA,-8.77916822822043,-4.61796017042029,"VINO",1
"2",NA,-9.25598985001796,-4.86311622050999,"VINO",2
"3",NA,-10.1387828083675,-5.1419962171122,"VINO",3
"4",NA,-10.5567993506172,-5.38947920959548,"VINO",4
"5",NA,-10.804397385946,-5.58517035033574,"VINO",5
"6",NA,-11.3616430849722,-5.78549108767792,"VINO",6
"7",NA,-12.4846834169365,-6.04288893732066,"VINO",7
"8",NA,-12.102040516806,-6.27215298965092,"VINO",8
"9",NA,-11.9534429832124,-6.52155892495428,"VINO",9
"10",NA,-11.639343169826,-6.82928994018516,"VINO",10
"11",NA,-11.5871122606416,-7.03412094061868,"VINO",11
"12",NA,-11.2067111737444,-7.13412899458651,"VINO",12
"13",NA,-11.700995182918,-7.16302556191986,"VINO",13
"14",NA,-12.4287527194178,-7.16484410633667,"VINO",14
"15",NA,-12.8999709140561,-7.16030876006265,"VINO",15
"16",NA,-13.4034885666742,-7.22716813777602,"VINO",16
"17",NA,-12.4805415627391,-7.22859286590699,"VINO",17
"18",NA,-11.7693989452467,-7.28455479519479,"VINO",18
"19",NA,-10.9780232128693,-7.32617978538042,"VINO",19
"20",NA,-10.6172449411323,-7.24491476100626,"VINO",20
"21",NA,-9.78643165258575,-7.06011122056072,"VINO",21
"22",NA,-10.0005851789728,-6.92852238594672,"VINO",22
"23",NA,-10.317825636335,-6.75120833119075,"VINO",23
"24",NA,-10.2171962092123,-6.57940130400967,"VINO",24
"25",NA,-10.2870586256924,-6.45065443037464,"VINO",25
"26",NA,-9.99072317607233,-6.31416234702968,"VINO",26
"27",NA,-9.81247010759049,-6.15941926117092,"VINO",27
"28",NA,-9.63455304531042,-6.00730940541546,"VINO",28
"29",NA,-9.62178991913999,-5.8945354892557,"VINO",29
"30",NA,-9.56200425846161,-5.86461082669986,"VINO",30
"31",NA,-9.92085637410317,-5.94809568346225,"VINO",31
"32",NA,-10.1198130759061,-6.09343674530677,"VINO",32
"33",NA,-9.99033539511457,-6.34253750132046,"VINO",33
"34",NA,-9.51160587110133,-6.5447849252099,"VINO",34
"35",NA,-8.86472248606332,-6.64711716380647,"VINO",35
"36",NA,-8.10188428167874,-6.83869349444401,"VINO",36
"37",NA,-7.5891476933846,-7.03996668351198,"VINO",37
"38",NA,-7.22723070623919,-6.9835428004402,"VINO",38
"39",NA,-6.9936450834782,-6.88489115587652,"VINO",39
"40",NA,-6.77966204384558,-6.88296949010016,"VINO",40
"41",NA,-6.61743868518871,-6.84061249701494,"VINO",41
"42",NA,-6.52218400777005,-6.78761014276965,"VINO",42
"43",NA,-6.4593643456031,-6.89676849014299,"VINO",43
"44",NA,-6.33894978305223,-7.19265765463295,"VINO",44
"45",NA,-6.26201216466582,-7.49230305048007,"VINO",45
"46",NA,-6.22155903192629,-7.57435392341914,"VINO",46
"47",NA,-6.19692310177821,-7.52962964470983,"VINO",47
"48",NA,-6.22173498722065,-7.4106999853083,"VINO",48
"49",NA,-6.38571298442002,-7.16778891335316,"VINO",49
"50",NA,-6.65250560689807,-6.92854991286549,"VINO",50
"51",NA,-7.116863042007,-6.85107120327307,"VINO",51
"52",NA,-7.6770815606691,-6.77119787627936,"VINO",52
"53",NA,-8.42470823575968,-6.64011237247546,"VINO",53
"54",NA,-9.99822823355591,-6.44112757553999,"VINO",54
"55",NA,-11.0908268266066,-6.12962116882287,"VINO",55
"56",NA,-11.9798796229065,-5.74262886302085,"VINO",56
"57",NA,-12.5416192283233,-5.42950590456359,"VINO",57
"58",NA,-12.8609480352699,-5.20316445969816,"VINO",58
"59",NA,-12.8609480352699,-5.04024133213949,"VINO",59
"60",NA,-12.9717522590337,-4.96085772090103,"VINO",60
"61",NA,-12.9717522590337,-4.9550426013073,"VINO",61
"62",NA,-13.5509122619398,-5.0038917873011,"VINO",62
"63",NA,-13.8604754017125,-5.13622279036491,"VINO",63
"64",NA,-13.5908785385791,-5.2628632566069,"VINO",64
"65",NA,-13.8604754017125,-5.3556325177516,"VINO",65
"66",NA,-14.2408764886097,-5.50144049596161,"VINO",66
"67",NA,-13.9712796254762,-5.52799293414128,"VINO",67
"68",NA,-13.8604754017125,-5.34939323043955,"VINO",68
"69",NA,-13.8604754017125,-5.11375298938851,"VINO",69
"70",NA,-13.5908785385791,-4.81800844329149,"VINO",70
"71",NA,-13.3212816754456,-4.39366758040456,"VINO",71
"72",NA,-12.5454842981428,-4.02176498807389,"VINO",72
"73",NA,-11.6233815901428,-3.76218731644044,"VINO",73
"74",NA,-10.6147357067413,-3.57331426936188,"VINO",74
"75",NA,-10.1160359473497,-3.45990551810648,"VINO",75
