"","slidedFather","slidedMother","slidedChild","video","frame_index"
"1",NA,0.004717228,0.03993984,"COLO022",1
"2",NA,0.004750198,0.0387747,"COLO022",2
"3",NA,0.00478244,0.03522536,"COLO022",3
"4",NA,0.004548,0.02979654,"COLO022",4
"5",NA,0.005058414,0.02406152,"COLO022",5
"6",NA,0.00526207,0.0197302,"COLO022",6
"7",NA,0.005294312,0.01695626,"COLO022",7
"8",NA,0.00524531,0.0145502,"COLO022",8
"9",NA,0.005101038,0.012261596,"COLO022",9
"10",NA,0.004981358,0.010504574,"COLO022",10
"11",NA,0.0049023,0.009518158,"COLO022",11
"12",NA,0.004642358,0.008805148,"COLO022",12
"13",NA,0.00415016,0.008443868,"COLO022",13
"14",NA,0.003763616,0.008336416,"COLO022",14
"15",NA,0.0030870728,0.007846734,"COLO022",15
"16",NA,0.0022719052,0.007124164,"COLO022",16
"17",NA,0.0014871578,0.006817742,"COLO022",17
"18",NA,0.0008301056,0.007704682,"COLO022",18
"19",NA,0.0003459228,0.009822078,"COLO022",19
"20",NA,0.0001945474,0.012550262,"COLO022",20
"21",NA,0.0002728764,0.015312608,"COLO022",21
"22",NA,0.0002989252,0.01796272,"COLO022",22
"23",NA,0.000331532,0.01963664,"COLO022",23
"24",NA,0.0004707026,0.0204241,"COLO022",24
"25",NA,0.0006699852,0.02088352,"COLO022",25
"26",NA,0.0008508698,0.0214984,"COLO022",26
"27",NA,0.0010845824,0.02181188,"COLO022",27
"28",NA,0.0012530798,0.02171332,"COLO022",28
"29",NA,0.001240875,0.02123888,"COLO022",29
"30",NA,0.0011472454,0.0206208,"COLO022",30
"31",NA,0.000932479,0.01943336,"COLO022",31
"32",NA,0.0006885654,0.01788098,"COLO022",32
"33",NA,0.0006009472,0.0160848,"COLO022",33
"34",NA,0.0006698042,0.01429956,"COLO022",34
"35",NA,0.0007401178,0.0124221,"COLO022",35
"36",NA,0.0009295642,0.010761606,"COLO022",36
"37",NA,0.0012264858,0.00974469,"COLO022",37
"38",NA,0.001532152,0.00949813,"COLO022",38
"39",NA,0.00176969,0.00970847,"COLO022",39
"40",NA,0.002054954,0.01016673,"COLO022",40
"41",NA,0.002344772,0.010599724,"COLO022",41
"42",NA,0.002535676,0.010504564,"COLO022",42
"43",NA,0.00243148,0.009881938,"COLO022",43
"44",NA,0.002199042,0.010212958,"COLO022",44
"45",NA,0.0017988352,0.011974778,"COLO022",45
"46",NA,0.0016418132,0.014877118,"COLO022",46
"47",NA,0.0019097712,0.018849194,"COLO022",47
"48",NA,0.0024959632,0.0227466,"COLO022",48
"49",NA,0.0032934612,0.02510006,"COLO022",49
"50",NA,0.004303906,0.0250511,"COLO022",50
"51",NA,0.00524185,0.02326448,"COLO022",51
"52",NA,0.00545771,0.0204334,"COLO022",52
"53",NA,0.005290304,0.0175413,"COLO022",53
"54",NA,0.004973892,0.01468518,"COLO022",54
"55",NA,0.00654048,0.0149117,"COLO022",55
"56",NA,0.01712255,0.02661124,"COLO022",56
"57",NA,0.040930494,0.05498996,"COLO022",57
"58",NA,0.07342473,0.09392028,"COLO022",58
"59",NA,0.10101526,0.12675026,"COLO022",59
"60",NA,0.11145232,0.13811378,"COLO022",60
"61",NA,0.10345056,0.12842988,"COLO022",61
"62",NA,0.080259776,0.1001363,"COLO022",62
"63",NA,0.049807736,0.06208906,"COLO022",63
"64",NA,0.022760408,0.0299928,"COLO022",64
"65",NA,0.01010754,0.01714156,"COLO022",65
"66",NA,0.00794802,0.01493402,"COLO022",66
"67",NA,0.009117124,0.01636186,"COLO022",67
"68",NA,0.006903698,0.01763602,"COLO022",68
"69",NA,0.006896958,0.02001134,"COLO022",69
"70",NA,0.006814438,0.02113892,"COLO022",70
"71",NA,0.00674121,0.02232066,"COLO022",71
"72",NA,0.004980448,0.02244246,"COLO022",72
"73",NA,0.005292852,0.02274934,"COLO022",73
"74",NA,0.004352722,0.02080884,"COLO022",74
"75",NA,0.004823062,0.02027088,"COLO022",75
"76",NA,0.003616432,0.01984676,"COLO022",76
"77",NA,0.003240454,0.01892636,"COLO022",77
"78",NA,0.002893256,0.01624484,"COLO022",78
"79",NA,0.005426194,0.01484886,"COLO022",79
"80",NA,0.009081602,0.012815702,"COLO022",80
"81",NA,0.01449378,0.009913818,"COLO022",81
"82",NA,0.02004276,0.007345662,"COLO022",82
"83",NA,0.0236672,0.005890278,"COLO022",83
"84",NA,0.02424666,0.004583332,"COLO022",84
"85",NA,0.0225074,0.004173102,"COLO022",85
"86",NA,0.01915272,0.004387322,"COLO022",86
"87",NA,0.01517998,0.00435545,"COLO022",87
"88",NA,0.01341558,0.004666196,"COLO022",88
"89",NA,0.01268348,0.00545524,"COLO022",89
"90",NA,0.01344018,0.006057382,"COLO022",90
"91",NA,0.01565234,0.007303326,"COLO022",91
"92",NA,0.01766284,0.010118934,"COLO022",92
"93",NA,0.01906584,0.012318972,"COLO022",93
"94",NA,0.0196677,0.014466194,"COLO022",94
"95",NA,0.01883722,0.01681854,"COLO022",95
"96",NA,0.01672344,0.01783546,"COLO022",96
"97",NA,0.0152678,0.01747144,"COLO022",97
"98",NA,0.0141415,0.01764308,"COLO022",98
"99",NA,0.01377516,0.01715386,"COLO022",99
"100",NA,0.01385204,0.01644448,"COLO022",100
"101",NA,0.01419722,0.01638348,"COLO022",101
"102",NA,0.01464242,0.01600946,"COLO022",102
"103",NA,0.0150255,0.01526754,"COLO022",103
"104",NA,0.01495246,0.01457888,"COLO022",104
"105",NA,0.01544356,0.01350982,"COLO022",105
"106",NA,0.016309,0.01241116,"COLO022",106
"107",NA,0.01657968,0.0116492,"COLO022",107
"108",NA,0.0163458,0.01098742,"COLO022",108
"109",NA,0.0161405,0.01060406,"COLO022",109
"110",NA,0.0155339,0.010394854,"COLO022",110
"111",NA,0.0144741,0.009799772,"COLO022",111
"112",NA,0.0138564,0.009053752,"COLO022",112
"113",NA,0.01397406,0.008488492,"COLO022",113
"114",NA,0.01452802,0.007936204,"COLO022",114
"115",NA,0.01534738,0.007377772,"COLO022",115
"116",NA,0.01644162,0.00706657,"COLO022",116
"117",NA,0.0177714,0.00663585,"COLO022",117
"118",NA,0.01932578,0.006077874,"COLO022",118
"119",NA,0.02128126,0.005617786,"COLO022",119
"120",NA,0.02353076,0.00517022,"COLO022",120
"121",NA,0.02600122,0.004815766,"COLO022",121
"122",NA,0.0286522,0.004719014,"COLO022",122
"123",NA,0.03117586,0.004562844,"COLO022",123
"124",NA,0.033133,0.004277824,"COLO022",124
"125",NA,0.03415948,0.004233432,"COLO022",125
"126",NA,0.03371992,0.003958198,"COLO022",126
"127",NA,0.0312664,0.003349682,"COLO022",127
"128",NA,0.02697196,0.002986804,"COLO022",128
"129",NA,0.02216858,0.002909174,"COLO022",129
"130",NA,0.017246418,0.002854538,"COLO022",130
"131",NA,0.012514804,0.003127722,"COLO022",131
"132",NA,0.008529854,0.003644038,"COLO022",132
"133",NA,0.0059557458,0.00395501,"COLO022",133
"134",NA,0.0037273676,0.004021712,"COLO022",134
"135",NA,0.0019554924,0.00385803,"COLO022",135
"136",NA,0.0009486914,0.003663842,"COLO022",136
"137",NA,0.0008262794,0.003635842,"COLO022",137
"138",NA,0.0010324856,0.003566864,"COLO022",138
"139",NA,0.0013869698,0.003356514,"COLO022",139
"140",NA,0.001937277,0.0030164,"COLO022",140
"141",NA,0.002632402,0.0025139708,"COLO022",141
"142",NA,0.003320058,0.0020643568,"COLO022",142
"143",NA,0.003778738,0.0020802928,"COLO022",143
"144",NA,0.003822456,0.0025139708,"COLO022",144
"145",NA,0.003595302,0.0033383008,"COLO022",145
"146",NA,0.003055924,0.004251644,"COLO022",146
"147",NA,0.00257575,0.004860386,"COLO022",147
"148",NA,0.00244678,0.00485219,"COLO022",148
"149",NA,0.002642604,0.00445061,"COLO022",149
"150",NA,0.00274006,0.003845964,"COLO022",150
"151",NA,0.00285719,0.00334399,"COLO022",151
"152",NA,0.00313134,0.002945826,"COLO022",152
"153",NA,0.003677274,0.002737068,"COLO022",153
"154",NA,0.004229584,0.002730238,"COLO022",154
"155",NA,0.004896654,0.002731604,"COLO022",155
"156",NA,0.00603625,0.002606394,"COLO022",156
"157",NA,0.007210094,0.002462972,"COLO022",157
"158",NA,0.00770047,0.002271744,"COLO022",158
"159",NA,0.0079442,0.001978756,"COLO022",159
"160",NA,0.008564276,0.00176021,"COLO022",160
"161",NA,0.008745708,0.001698288,"COLO022",161
"162",NA,0.008512906,0.001820082,"COLO022",162
"163",NA,0.008658088,0.002059572,"COLO022",163
"164",NA,0.00939638,0.002256492,"COLO022",164
"165",NA,0.011704722,0.002452274,"COLO022",165
"166",NA,0.013511212,0.002525352,"COLO022",166
"167",NA,0.01509346,0.002380338,"COLO022",167
"168",NA,0.01608332,0.002078016,"COLO022",168
"169",NA,0.01676078,0.0017146814,"COLO022",169
"170",NA,0.0155944,0.0015685274,"COLO022",170
"171",NA,0.01531096,0.0018148474,"COLO022",171
"172",NA,0.01592958,0.0023177334,"COLO022",172
"173",NA,0.0176878,0.0029879434,"COLO022",173
"174",NA,0.02011308,0.003698676,"COLO022",174
"175",NA,0.02302838,0.004090694,"COLO022",175
"176",NA,0.02566388,0.00414055,"COLO022",176
"177",NA,0.02762702,0.004086824,"COLO022",177
"178",NA,0.02825802,0.004042886,"COLO022",178
"179",NA,0.02598394,0.004260976,"COLO022",179
"180",NA,0.021882048,0.004963512,"COLO022",180
"181",NA,0.016190616,0.00588118,"COLO022",181
"182",NA,0.0104700466,0.006884218,"COLO022",182
"183",NA,0.0054036146,0.007718566,"COLO022",183
"184",NA,0.0026524386,0.008227598,"COLO022",184
"185",NA,0.0012543566,0.008291342,"COLO022",185
"186",NA,0.0012978946,0.008029542,"COLO022",186
"187",NA,0.001275671,0.007431042,"COLO022",187
"188",NA,0.0012375998,0.00676197,"COLO022",188
"189",NA,0.0010543456,0.005984308,"COLO022",189
"190",NA,0.0008282846,0.00515383,"COLO022",190
"191",NA,0.0006741758,0.004302408,"COLO022",191
"192",NA,0.0005887426,0.003562764,"COLO022",192
"193",NA,0.0004850932,0.002938768,"COLO022",193
"194",NA,0.0004612302,0.00249439,"COLO022",194
"195",NA,0.0004727064,0.002080062,"COLO022",195
"196",NA,0.0004634162,0.0016304476,"COLO022",196
"197",NA,0.000448479,0.0012969364,"COLO022",197
"198",NA,0.0004379138,0.0010877244,"COLO022",198
"199",NA,0.000459773,0.0009786784,"COLO022",199
"200",NA,0.0006707138,0.0008921708,"COLO022",200
"201",NA,0.0013217548,0.0009324654,"COLO022",201
"202",NA,0.0022394802,0.0009600114,"COLO022",202
"203",NA,0.002792338,0.000902415,"COLO022",203
"204",NA,0.0028675702,0.0007735642,"COLO022",204
"205",NA,0.002584676,0.0006508592,"COLO022",205
"206",NA,0.0018930134,0.000555928,"COLO022",206
"207",NA,0.0010732904,0.0006169392,"COLO022",207
"208",NA,0.0008144404,0.0011207356,"COLO022",208
"209",NA,0.0011793082,0.0021333344,"COLO022",209
"210",NA,0.0018026604,0.003674315,"COLO022",210
"211",NA,0.002315443,0.005865694,"COLO022",211
"212",NA,0.002585404,0.008397184,"COLO022",212
"213",NA,0.002738054,0.010708532,"COLO022",213
"214",NA,0.003130792,0.012738064,"COLO022",214
"215",NA,0.003675452,0.0141741,"COLO022",215
"216",NA,0.004308094,0.01432436,"COLO022",216
"217",NA,0.005231102,0.01374044,"COLO022",217
"218",NA,0.006437004,0.01321776,"COLO022",218
"219",NA,0.00761194,0.01276564,"COLO022",219
"220",NA,0.00866374,0.01251318,"COLO022",220
"221",NA,0.00977655,0.01276814,"COLO022",221
"222",NA,0.011057322,0.01296096,"COLO022",222
"223",NA,0.0123769,0.0126427,"COLO022",223
"224",NA,0.01324216,0.0121867,"COLO022",224
"225",NA,0.01336966,0.01177078,"COLO022",225
"226",NA,0.012676548,0.01158958,"COLO022",226
"227",NA,0.011156234,0.01138606,"COLO022",227
"228",NA,0.00956979,0.011170018,"COLO022",228
"229",NA,0.008301772,0.010801454,"COLO022",229
"230",NA,0.00773344,0.01029355,"COLO022",230
"231",NA,0.007985732,0.009709162,"COLO022",231
"232",NA,0.0087468,0.010064982,"COLO022",232
"233",NA,0.0092257,0.011678584,"COLO022",233
"234",NA,0.009246466,0.013283088,"COLO022",234
"235",NA,0.009005102,0.014618052,"COLO022",235
"236",NA,0.008693062,0.01531398,"COLO022",236
"237",NA,0.008280104,0.0149709,"COLO022",237
"238",NA,0.007726154,0.01396626,"COLO022",238
"239",NA,0.007294798,0.01369672,"COLO022",239
"240",NA,0.006938492,0.01521926,"COLO022",240
"241",NA,0.006668348,0.01941786,"COLO022",241
"242",NA,0.006523894,0.02558772,"COLO022",242
"243",NA,0.006478172,0.03181972,"COLO022",243
"244",NA,0.00646779,0.03662068,"COLO022",244
"245",NA,0.006489104,0.03852226,"COLO022",245
"246",NA,0.006250108,0.0357795,"COLO022",246
"247",NA,0.005686322,0.03208878,"COLO022",247
"248",NA,0.004797562,0.02940202,"COLO022",248
"249",NA,0.003705144,0.02831042,"COLO022",249
"250",NA,0.0026644604,0.02989078,"COLO022",250
"251",NA,0.0018729744,0.03412786,"COLO022",251
"252",NA,0.0014026364,0.0353927,"COLO022",252
"253",NA,0.0013665684,0.033197,"COLO022",253
"254",NA,0.0015518264,0.02911792,"COLO022",254
"255",NA,0.0015514622,0.02318916,"COLO022",255
"256",NA,0.0013596468,0.016805092,"COLO022",256
"257",NA,0.0011446968,0.012476508,"COLO022",257
"258",NA,0.000837574,0.009843926,"COLO022",258
"259",NA,0.0005406524,0.007994934,"COLO022",259
"260",NA,0.000474528,0.006679786,"COLO022",260
"261",NA,0.000485822,0.005712262,"COLO022",261
"262",NA,0.0004557654,0.004941202,"COLO022",262
"263",NA,0.0004033032,0.004363192,"COLO022",263
"264",NA,0.0003388184,0.004024218,"COLO022",264
"265",NA,0.0003267958,0.003803396,"COLO022",265
"266",NA,0.0004605012,0.003518604,"COLO022",266
"267",NA,0.0006574158,0.003203988,"COLO022",267
"268",NA,0.0008250028,0.003043264,"COLO022",268
"269",NA,0.0009419498,0.0029069,"COLO022",269
"270",NA,0.0009805678,0.00262939,"COLO022",270
"271",NA,0.0009419502,0.002313634,"COLO022",271
"272",NA,0.0008528746,0.0019871796,"COLO022",272
"273",NA,0.0008155324,0.0015175328,"COLO022",273
"274",NA,0.000780011,0.00101669604,"COLO022",274
"275",NA,0.0006816444,0.00067339624,"COLO022",275
"276",NA,0.0005417452,0.00047237944,"COLO022",276
"277",NA,0.0004530332,0.00040818144,"COLO022",277
"278",NA,0.0003821726,0.00045963084,"COLO022",278
"279",NA,0.0003754328,0.00046486686,"COLO022",279
"280",NA,0.0004162368,0.00035377226,"COLO022",280
"281",NA,0.0004747102,0.00028137886,"COLO022",281
"282",NA,0.0004832716,0.00027136206,"COLO022",282
"283",NA,0.0004543082,0.00092153746,"COLO022",283
"284",NA,0.000442832,0.0027413942,"COLO022",284
"285",NA,0.0004366386,0.0049200286,"COLO022",285
"286",NA,0.000454126,0.0068236608,"COLO022",286
"287",NA,0.0005038558,0.008211432,"COLO022",287
"288",NA,0.0005772664,0.008888244,"COLO022",288
"289",NA,0.0006463052,0.008949482,"COLO022",289
"290",NA,0.000773636,0.008278364,"COLO022",290
"291",NA,0.001000426,0.007604968,"COLO022",291
"292",NA,0.0012069964,0.00748158,"COLO022",292
"293",NA,0.001326494,0.007510948,"COLO022",293
"294",NA,0.001406462,0.006577344,"COLO022",294
"295",NA,0.001392434,0.00528974,"COLO022",295
"296",NA,0.001243974,0.004454026,"COLO022",296
"297",NA,0.0011007956,0.003742156,"COLO022",297
"298",NA,0.0010361284,0.002976104,"COLO022",298
"299",NA,0.0010226484,0.002412892,"COLO022",299
"300",NA,0.0010472404,0.00250919,"COLO022",300
"301",NA,0.0010177294,0.002321148,"COLO022",301
"302",NA,0.0009383074,0.0018503622,"COLO022",302
"303",NA,0.000810795,0.0012680266,"COLO022",303
"304",NA,0.0006575986,0.0010057698,"COLO022",304
"305",NA,0.0005133282,0.0008573394,"COLO022",305
"306",NA,0.0004656022,0.0008058914,"COLO022",306
"307",NA,0.000499484,0.0009424832,"COLO022",307
"308",NA,0.000592568,0.0012379768,"COLO022",308
"309",NA,0.0007410284,0.0014640356,"COLO022",309
"310",NA,0.0010177308,0.00157513,"COLO022",310
"311",NA,0.0013111918,0.0014715472,"COLO022",311
"312",NA,0.0015137544,0.0013124178,"COLO022",312
"313",NA,0.00165001,0.0011983638,"COLO022",313
"314",NA,0.00170229,0.0011781038,"COLO022",314
"315",NA,0.0014503614,0.0012306918,"COLO022",315
"316",NA,0.0011334018,0.0013941466,"COLO022",316
"317",NA,0.0008599788,0.0013980166,"COLO022",317
"318",NA,0.0006381078,0.0011771932,"COLO022",318
"319",NA,0.0005938438,0.0008951306,"COLO022",319
"320",NA,0.0009649044,0.000698894,"COLO022",320
"321",NA,0.001292064,0.0006173942,"COLO022",321
"322",NA,0.001575871,0.0006786336,"COLO022",322
"323",NA,0.00186332,0.000866447,"COLO022",323
"324",NA,0.002073896,0.0009745822,"COLO022",324
"325",NA,0.002163702,0.0008532432,"COLO022",325
"326",NA,0.002444048,0.0007815326,"COLO022",326
"327",NA,0.002906734,0.0007432862,"COLO022",327
"328",NA,0.003514058,0.0007337242,"COLO022",328
"329",NA,0.004265836,0.0007935976,"COLO022",329
"330",NA,0.005009778,0.0009463526,"COLO022",330
"331",NA,0.005753538,0.0009295064,"COLO022",331
"332",NA,0.00641551,0.0007781174,"COLO022",332
"333",NA,0.006813348,0.0008573414,"COLO022",333
"334",NA,0.00692228,0.0012611974,"COLO022",334
"335",NA,0.006679096,0.002189566,"COLO022",335
"336",NA,0.005849356,0.0037626466,"COLO022",336
"337",NA,0.004811042,0.006265012,"COLO022",337
"338",NA,0.004014272,0.009535706,"COLO022",338
"339",NA,0.003127696,0.013754794,"COLO022",339
"340",NA,0.002327284,0.018476078,"COLO022",340
"341",NA,0.002023622,0.02269858,"COLO022",341
"342",NA,0.001851844,0.02564008,"COLO022",342
"343",NA,0.001482786,0.02728168,"COLO022",343
"344",NA,0.0012244826,0.02680976,"COLO022",344
"345",NA,0.0011060776,0.02417902,"COLO022",345
"346",NA,0.0010113536,0.02029664,"COLO022",346
"347",NA,0.0009962336,0.016227114,"COLO022",347
"348",NA,0.0010727416,0.01220699,"COLO022",348
"349",NA,0.001309369,0.009053084,"COLO022",349
"350",NA,0.001545632,0.006958442,"COLO022",350
"351",NA,0.001747466,0.005564288,"COLO022",351
"352",NA,0.002037466,0.004506614,"COLO022",352
"353",NA,0.002312346,0.003646542,"COLO022",353
"354",NA,0.002330926,0.002779412,"COLO022",354
"355",NA,0.0022648,0.002025198,"COLO022",355
"356",NA,0.002190844,0.001720826,"COLO022",356
"357",NA,0.001962962,0.001644562,"COLO022",357
"358",NA,0.001647642,0.001595618,"COLO022",358
"359",NA,0.001456372,0.001455612,"COLO022",359
"360",NA,0.001410104,0.001339964,"COLO022",360
"361",NA,0.001347804,0.001390276,"COLO022",361
"362",NA,0.0013121,0.001532558,"COLO022",362
"363",NA,0.00132212,0.001955764,"COLO022",363
"364",NA,0.0012259402,0.002324562,"COLO022",364
"365",NA,0.0009811166,0.00244886,"COLO022",365
"366",NA,0.000832292,0.0022448822,"COLO022",366
"367",NA,0.000835388,0.0019726104,"COLO022",367
"368",NA,0.000802234,0.0014845224,"COLO022",368
"369",NA,0.0007448534,0.0012088344,"COLO022",369
"370",NA,0.0007339238,0.0014724564,"COLO022",370
"371",NA,0.0006208022,0.0021779522,"COLO022",371
"372",NA,0.0004359098,0.002584996,"COLO022",372
"373",NA,0.0003335358,0.002647146,"COLO022",373
"374",NA,0.0003318964,0.002913956,"COLO022",374
"375",NA,0.0004058536,0.003814096,"COLO022",375
"376",NA,0.0005519464,0.006052372,"COLO022",376
"377",NA,0.0006765448,0.009579842,"COLO022",377
"378",NA,0.0007315572,0.014108994,"COLO022",378
"379",NA,0.001030301,0.018834376,"COLO022",379
"380",NA,0.001343617,0.02323194,"COLO022",380
"381",NA,0.0014516384,0.02673462,"COLO022",381
"382",NA,0.0015510964,0.02900728,"COLO022",382
"383",NA,0.001839274,0.02960236,"COLO022",383
"384",NA,0.001977352,0.02804932,"COLO022",384
"385",NA,0.002045298,0.023916972,"COLO022",385
"386",NA,0.002268444,0.017980234,"COLO022",386
"387",NA,0.002236932,0.012183518,"COLO022",387
