"","slidedFather","slidedMother","slidedChild","video","frame_index"
"1",NA,0.002488714,0.02136204,"JEEO040",1
"2",NA,0.004159384,0.01906416,"JEEO040",2
"3",NA,0.006509584,0.02049692,"JEEO040",3
"4",NA,0.011713234,0.02344108,"JEEO040",4
"5",NA,0.019547106,0.02825434,"JEEO040",5
"6",NA,0.027927424,0.03133012,"JEEO040",6
"7",NA,0.035519,0.03243942,"JEEO040",7
"8",NA,0.04205206,0.02968018,"JEEO040",8
"9",NA,0.04527078,0.02642078,"JEEO040",9
"10",NA,0.04483172,0.02258288,"JEEO040",10
"11",NA,0.0420079,0.02029784,"JEEO040",11
"12",NA,0.03778216,0.01644413,"JEEO040",12
"13",NA,0.03256908,0.01374875,"JEEO040",13
"14",NA,0.02736476,0.012195874,"JEEO040",14
"15",NA,0.0219304,0.012509474,"JEEO040",15
"16",NA,0.017101086,0.011267254,"JEEO040",16
"17",NA,0.01339102,0.010496908,"JEEO040",17
"18",NA,0.010639666,0.011600268,"JEEO040",18
"19",NA,0.008495014,0.011291274,"JEEO040",19
"20",NA,0.007658768,0.009660754,"JEEO040",20
"21",NA,0.007037004,0.00878642,"JEEO040",21
"22",NA,0.006771386,0.010669016,"JEEO040",22
"23",NA,0.006699066,0.012794456,"JEEO040",23
"24",NA,0.006642302,0.017031186,"JEEO040",24
"25",NA,0.006489218,0.020973726,"JEEO040",25
"26",NA,0.00643841,0.02561522,"JEEO040",26
"27",NA,0.006219792,0.02844782,"JEEO040",27
"28",NA,0.006388266,0.02985294,"JEEO040",28
"29",NA,0.006885744,0.03025112,"JEEO040",29
"30",NA,0.007375278,0.0301422,"JEEO040",30
"31",NA,0.008323064,0.03076216,"JEEO040",31
"32",NA,0.009448426,0.03130184,"JEEO040",32
"33",NA,0.009521906,0.03050682,"JEEO040",33
"34",NA,0.009385206,0.0286318,"JEEO040",34
"35",NA,0.009254962,0.02581006,"JEEO040",35
"36",NA,0.008566176,0.0218596,"JEEO040",36
"37",NA,0.007332248,0.01920336,"JEEO040",37
"38",NA,0.006526288,0.01805754,"JEEO040",38
"39",NA,0.005600346,0.01887922,"JEEO040",39
"40",NA,0.004714122,0.02141928,"JEEO040",40
"41",NA,0.004144488,0.0245145,"JEEO040",41
"42",NA,0.00452794,0.02647278,"JEEO040",42
"43",NA,0.00600812,0.0292488,"JEEO040",43
"44",NA,0.00741284,0.02759162,"JEEO040",44
"45",NA,0.008633204,0.02445956,"JEEO040",45
"46",NA,0.009166264,0.02134264,"JEEO040",46
"47",NA,0.00863453,0.0184304,"JEEO040",47
"48",NA,0.007500068,0.01426046,"JEEO040",48
"49",NA,0.006536226,0.01308536,"JEEO040",49
"50",NA,0.005519254,0.01466094,"JEEO040",50
"51",NA,0.00505322,0.01706148,"JEEO040",51
"52",NA,0.005001584,0.02036532,"JEEO040",52
"53",NA,0.004578744,0.0246705,"JEEO040",53
"54",NA,0.004061572,0.0291096,"JEEO040",54
"55",NA,0.004116352,0.03194088,"JEEO040",55
"56",NA,0.004821692,0.034323,"JEEO040",56
"57",NA,0.0058845,0.03666234,"JEEO040",57
