"","slidedFather","slidedMother","slidedChild","video","frame_index"
"1",6.454914e-05,NA,0.00010242722,"LACL",1
"2",7.773448e-05,NA,0.00014500486,"LACL",2
"3",7.18305962e-05,NA,0.000135364632,"LACL",3
"4",5.96292242e-05,NA,0.000121305986,"LACL",4
"5",4.27047642e-05,NA,0.000110259906,"LACL",5
"6",2.53867042e-05,NA,8.0736826e-05,"LACL",6
"7",5.9038842e-06,NA,9.7808026e-05,"LACL",7
"8",1.3972528e-05,NA,0.000366930674,"LACL",8
"9",1.3775732e-05,NA,0.00072020416,"LACL",9
"10",1.121738e-05,NA,0.00087344352,"LACL",10
"11",1.0626992e-05,NA,0.0009539796,"LACL",11
"12",9.8398082e-06,NA,0.0009929422,"LACL",12
"13",1.5743682e-06,NA,0.0008370922,"LACL",13
"14",1.3775724e-06,NA,0.0007230162,"LACL",14
"15",9.839806e-07,NA,0.000910799,"LACL",15
"16",9.839806e-07,NA,0.0012835546,"LACL",16
"17",9.839806e-07,NA,0.00166133,"LACL",17
"18",1.3775726e-06,NA,0.001979256,"LACL",18
"19",1.7711644e-06,NA,0.002119642,"LACL",19
"20",1.9679602e-06,NA,0.002005566,"LACL",20
"21",2.3615522e-06,NA,0.0016934634,"LACL",21
"22",2.755144e-06,NA,0.0013221148,"LACL",22
"23",3.148736e-06,NA,0.0010429504,"LACL",23
"24",2.558348e-06,NA,0.000816807,"LACL",24
"25",2.755144e-06,NA,0.0007364726,"LACL",25
"26",2.558348e-06,NA,0.0007280374,"LACL",26
"27",2.558348e-06,NA,0.0007163888,"LACL",27
"28",1.9679602e-06,NA,0.0006537274,"LACL",28
"29",2.7551442e-06,NA,0.0005958862,"LACL",29
"30",2.5583482e-06,NA,0.000527802,"LACL",30
"31",2.5583482e-06,NA,0.0004761866,"LACL",31
"32",2.9519402e-06,NA,0.0005398522,"LACL",32
"33",4.132718e-06,NA,0.0005402538,"LACL",33
"34",5.1167e-06,NA,0.0005428646,"LACL",34
"35",5.707088e-06,NA,0.000552304,"LACL",35
"36",6.297476e-06,NA,0.0005290068,"LACL",36
"37",1.9089236e-05,NA,0.0004484708,"LACL",37
"38",8.7180662e-05,NA,0.000483015,"LACL",38
"39",0.000278663296,NA,0.000494262,"LACL",39
"40",0.000593931316,NA,0.0005149484,"LACL",40
"41",0.00104695654,NA,0.000558932,"LACL",41
"42",0.0016247508,NA,0.0005669656,"LACL",42
"43",0.0023298718,NA,0.0006938956,"LACL",43
"44",0.00314382,NA,0.0015601104,"LACL",44
"45",0.00398414,NA,0.0032632152,"LACL",45
"46",0.004751054,NA,0.005127392,"LACL",46
"47",0.00548707,NA,0.007782278,"LACL",47
"48",0.006036524,NA,0.010564286,"LACL",48
"49",0.006217774,NA,0.012627092,"LACL",49
"50",0.005959774,NA,0.014269542,"LACL",50
"51",0.005469948,NA,0.01606362,"LACL",51
"52",0.004748298,NA,0.01722968,"LACL",52
"53",0.003880624,NA,0.0181463,"LACL",53
"54",0.003017672,NA,0.0177378,"LACL",54
"55",0.00232121,NA,0.01615279,"LACL",55
"56",0.0017180302,NA,0.01453043,"LACL",56
"57",0.0011984878,NA,0.01448905,"LACL",57
"58",0.000799779,NA,0.01524541,"LACL",58
"59",0.00048529958,NA,0.01610037,"LACL",59
"60",0.00028614152,NA,0.0162516,"LACL",60
"61",0.00016137286,NA,0.01657736,"LACL",61
"62",7.77344e-05,NA,0.01491924,"LACL",62
"63",2.263156e-05,NA,0.012099674,"LACL",63
"64",1.2988554e-05,NA,0.010469474,"LACL",64
"65",2.0466814e-05,NA,0.010163598,"LACL",65
"66",2.6764294e-05,NA,0.008377142,"LACL",66
"67",2.6961094e-05,NA,0.006540484,"LACL",67
"68",2.8338654e-05,NA,0.004979974,"LACL",68
"69",2.912584e-05,NA,0.00496953,"LACL",69
"70",2.263156e-05,NA,0.007914006,"LACL",70
"71",2.164758e-05,NA,0.014985102,"LACL",71
"72",2.223798e-05,NA,0.02397018,"LACL",72
"73",2.282838e-05,NA,0.032982576,"LACL",73
"74",2.2041194e-05,NA,0.0381395,"LACL",74
"75",1.8892458e-05,NA,0.038355,"LACL",75
"76",1.04302142e-05,NA,0.03452242,"LACL",76
"77",8.0686502e-06,NA,0.02946212,"LACL",77
"78",3.9359222e-06,NA,0.02464222,"LACL",78
"79",2.9519402e-06,NA,0.02213556,"LACL",79
"80",0.0001401189562,NA,0.02084358,"LACL",80
"81",0.00122702416,NA,0.02030774,"LACL",81
"82",0.003921563384,NA,0.01983536,"LACL",82
"83",0.008564569792,NA,0.01967548,"LACL",83
"84",0.0127885962,NA,0.01940996,"LACL",84
"85",0.015987322,NA,0.01993856,"LACL",85
"86",0.01789368,NA,0.02036274,"LACL",86
"87",0.01782774,NA,0.01982772,"LACL",87
"88",0.01607684,NA,0.01841464,"LACL",88
"89",0.01561654,NA,0.015666982,"LACL",89
"90",0.01625436,NA,0.011988036,"LACL",90
"91",0.01747746,NA,0.008984496,"LACL",91
"92",0.0190048,NA,0.006628058,"LACL",92
