"","slidedFather","slidedMother","slidedChild","video","frame_index"
"1",NA,0.01325514,0.02971422,"MAEL048",1
"2",NA,0.01308758,0.0311421,"MAEL048",2
"3",NA,0.0134949,0.03118074,"MAEL048",3
"4",NA,0.01331574,0.03035538,"MAEL048",4
"5",NA,0.01313392,0.03066564,"MAEL048",5
"6",NA,0.011990158,0.0303263,"MAEL048",6
"7",NA,0.010102386,0.02769226,"MAEL048",7
"8",NA,0.008124826,0.02510472,"MAEL048",8
"9",NA,0.006623218,0.02338344,"MAEL048",9
"10",NA,0.005126958,0.02151698,"MAEL048",10
"11",NA,0.004173048,0.0204425,"MAEL048",11
"12",NA,0.003318964,0.0191538,"MAEL048",12
"13",NA,0.002671214,0.016700026,"MAEL048",13
"14",NA,0.00222356,0.01425244,"MAEL048",14
"15",NA,0.001976672,0.01225354,"MAEL048",15
"16",NA,0.002158274,0.010379392,"MAEL048",16
"17",NA,0.002465102,0.00873615,"MAEL048",17
"18",NA,0.002569384,0.007761276,"MAEL048",18
"19",NA,0.002412294,0.00680441,"MAEL048",19
"20",NA,0.002320936,0.005600502,"MAEL048",20
"21",NA,0.001923418,0.004580984,"MAEL048",21
"22",NA,0.0015270138,0.00404018,"MAEL048",22
"23",NA,0.0012914892,0.003818268,"MAEL048",23
"24",NA,0.0012395706,0.003383636,"MAEL048",24
"25",NA,0.0012975046,0.002874534,"MAEL048",25
"26",NA,0.0025444286,0.00307825,"MAEL048",26
"27",NA,0.0047408008,0.003966834,"MAEL048",27
"28",NA,0.0085847334,0.005671414,"MAEL048",28
"29",NA,0.013392164,0.008424778,"MAEL048",29
"30",NA,0.018497956,0.011906328,"MAEL048",30
"31",NA,0.02329312,0.015720278,"MAEL048",31
"32",NA,0.02852638,0.01988482,"MAEL048",32
"33",NA,0.03307802,0.02204972,"MAEL048",33
"34",NA,0.03680898,0.02417222,"MAEL048",34
"35",NA,0.04009274,0.02515948,"MAEL048",35
"36",NA,0.0425866,0.02358396,"MAEL048",36
"37",NA,0.04348568,0.02075014,"MAEL048",37
"38",NA,0.04237134,0.01970848,"MAEL048",38
"39",NA,0.03985944,0.01814066,"MAEL048",39
"40",NA,0.03721118,0.01679418,"MAEL048",40
"41",NA,0.0344584,0.01595288,"MAEL048",41
"42",NA,0.03172212,0.014461962,"MAEL048",42
"43",NA,0.02944218,0.01222747,"MAEL048",43
"44",NA,0.02753258,0.01128543,"MAEL048",44
"45",NA,0.0248754,0.01050509,"MAEL048",45
"46",NA,0.02167654,0.01128787,"MAEL048",46
"47",NA,0.017687104,0.012187148,"MAEL048",47
"48",NA,0.013363642,0.012229354,"MAEL048",48
"49",NA,0.010548936,0.011448434,"MAEL048",49
"50",NA,0.009570516,0.011047934,"MAEL048",50
"51",NA,0.010228736,0.009036662,"MAEL048",51
"52",NA,0.013126112,0.007786226,"MAEL048",52
"53",NA,0.017871594,0.007432256,"MAEL048",53
"54",NA,0.0227813,0.005982046,"MAEL048",54
"55",NA,0.02770014,0.004347256,"MAEL048",55
"56",NA,0.03255192,0.004000414,"MAEL048",56
"57",NA,0.0368023,0.00389593,"MAEL048",57
"58",NA,0.04093814,0.004134912,"MAEL048",58
"59",NA,0.04493872,0.004381208,"MAEL048",59
"60",NA,0.04837824,0.004700288,"MAEL048",60
"61",NA,0.0515878,0.004982976,"MAEL048",61
"62",NA,0.05455202,0.005494704,"MAEL048",62
"63",NA,0.05690282,0.005778142,"MAEL048",63
"64",NA,0.05909854,0.006939286,"MAEL048",64
"65",NA,0.0610088,0.008515556,"MAEL048",65
"66",NA,0.06167972,0.010407342,"MAEL048",66
"67",NA,0.06124946,0.012376974,"MAEL048",67
"68",NA,0.0598577,0.01432709,"MAEL048",68
"69",NA,0.05715506,0.01494068,"MAEL048",69
"70",NA,0.05362888,0.01442951,"MAEL048",70
"71",NA,0.04992844,0.01361107,"MAEL048",71
"72",NA,0.04575582,0.01220587,"MAEL048",72
"73",NA,0.04070172,0.01143829,"MAEL048",73
"74",NA,0.03548274,0.009964816,"MAEL048",74
"75",NA,0.0296864,0.00828444,"MAEL048",75
"76",NA,0.02380228,0.00649415,"MAEL048",76
"77",NA,0.01936608,0.00582017,"MAEL048",77
"78",NA,0.0179331,0.005156866,"MAEL048",78
"79",NA,0.0189251,0.005236778,"MAEL048",79
"80",NA,0.02214446,0.005550418,"MAEL048",80
"81",NA,0.02636944,0.005824664,"MAEL048",81
"82",NA,0.02986688,0.005853364,"MAEL048",82
"83",NA,0.03202002,0.005685478,"MAEL048",83
"84",NA,0.03261006,0.005914518,"MAEL048",84
"85",NA,0.03205256,0.007092358,"MAEL048",85
"86",NA,0.03126844,0.009492862,"MAEL048",86
"87",NA,0.031063,0.012865622,"MAEL048",87
"88",NA,0.03112562,0.017480552,"MAEL048",88
"89",NA,0.0319494,0.024433354,"MAEL048",89
"90",NA,0.03344746,0.03222128,"MAEL048",90
"91",NA,0.03485816,0.03874096,"MAEL048",91
"92",NA,0.03558212,0.04188318,"MAEL048",92
"93",NA,0.03505246,0.04356956,"MAEL048",93
"94",NA,0.03320346,0.04433376,"MAEL048",94
"95",NA,0.03069266,0.0426862,"MAEL048",95
"96",NA,0.0277839,0.03979908,"MAEL048",96
"97",NA,0.02522232,0.03760828,"MAEL048",97
"98",NA,0.02350926,0.03473694,"MAEL048",98
"99",NA,0.02221422,0.03075042,"MAEL048",99
"100",NA,0.02122556,0.02834334,"MAEL048",100
"101",NA,0.02085924,0.0273274,"MAEL048",101
"102",NA,0.02058404,0.027261,"MAEL048",102
"103",NA,0.02019298,0.02823682,"MAEL048",103
"104",NA,0.0197119,0.02960056,"MAEL048",104
"105",NA,0.01844358,0.03003352,"MAEL048",105
"106",NA,0.01689942,0.03027194,"MAEL048",106
"107",NA,0.01534634,0.02981724,"MAEL048",107
"108",NA,0.01388996,0.02736514,"MAEL048",108
"109",NA,0.01273796,0.02316626,"MAEL048",109
"110",NA,0.01223728,0.01958922,"MAEL048",110
"111",NA,0.011358234,0.01747196,"MAEL048",111
"112",NA,0.010362882,0.0179985,"MAEL048",112
"113",NA,0.00899831,0.02135888,"MAEL048",113
"114",NA,0.00712302,0.02625726,"MAEL048",114
"115",NA,0.0048511028,0.03119708,"MAEL048",115
"116",NA,0.003053804,0.03440664,"MAEL048",116
"117",NA,0.001598763,0.0347291,"MAEL048",117
"118",NA,0.0007228406,0.03284124,"MAEL048",118
"119",NA,0.0005806806,0.0291871,"MAEL048",119
"120",NA,0.0021154938,0.023682648,"MAEL048",120
"121",NA,0.0054199786,0.017386202,"MAEL048",121
"122",NA,0.0092962316,0.0114261002,"MAEL048",122
"123",NA,0.013607646,0.0064894642,"MAEL048",123
"124",NA,0.018142556,0.0035897922,"MAEL048",124
"125",NA,0.02168368,0.0025003042,"MAEL048",125
"126",NA,0.0232459,0.0023579282,"MAEL048",126
"127",NA,0.02383638,0.002652248,"MAEL048",127
"128",NA,0.0252219,0.002813758,"MAEL048",128
"129",NA,0.0270417,0.002456036,"MAEL048",129
"130",NA,0.02780932,0.0018722754,"MAEL048",130
"131",NA,0.02865182,0.0012922666,"MAEL048",131
"132",NA,0.02914226,0.0008703898,"MAEL048",132
"133",NA,0.02776366,0.0004843424,"MAEL048",133
"134",NA,0.02764,0.0002545512,"MAEL048",134
"135",NA,0.02883968,9.679314e-05,"MAEL048",135
"136",NA,0.03018954,6.6029442e-05,"MAEL048",136
"137",NA,0.03114478,5.7775762e-05,"MAEL048",137
"138",NA,0.0336774,3.2827082e-05,"MAEL048",138
"139",NA,0.03496488,1.256812e-05,"MAEL048",139
"140",NA,0.03496846,1.38812e-05,"MAEL048",140
"141",NA,0.03504712,1.38812e-05,"MAEL048",141
"142",NA,0.0367945,6.546668e-05,"MAEL048",142
"143",NA,0.0370748,0.00037498076,"MAEL048",143
"144",NA,0.03583366,0.000385297862,"MAEL048",144
"145",NA,0.03505712,0.000383797202,"MAEL048",145
"146",NA,0.03413106,0.0003862358,"MAEL048",146
"147",NA,0.03235294,0.00033052347,"MAEL048",147
"148",NA,0.03032502,2.269765e-05,"MAEL048",148
"149",NA,0.02798182,1.350605e-05,"MAEL048",149
"150",NA,0.02505546,1.2380544e-05,"MAEL048",150
"151",NA,0.020687888,1.1442624e-05,"MAEL048",151
"152",NA,0.016142936,1.3693634e-05,"MAEL048",152
"153",NA,0.013161776,1.5194294e-05,"MAEL048",153
"154",NA,0.012581316,2.1196974e-05,"MAEL048",154
"155",NA,0.014461956,3.789194e-05,"MAEL048",155
"156",NA,0.019012908,4.314428e-05,"MAEL048",156
"157",NA,0.0251838,4.464494e-05,"MAEL048",157
"158",NA,0.03226694,4.27691e-05,"MAEL048",158
"159",NA,0.03870008,3.376508e-05,"MAEL048",159
"160",NA,0.04318486,1.95087e-05,"MAEL048",160
"161",NA,0.04713954,0.00012511838,"MAEL048",161
"162",NA,0.05044714,0.00103452404,"MAEL048",162
"163",NA,0.05170208,0.00359917304,"MAEL048",163
"164",NA,0.05102738,0.00722273304,"MAEL048",164
"165",NA,0.04882098,0.0102548462,"MAEL048",165
"166",NA,0.04457842,0.014694398,"MAEL048",166
"167",NA,0.03867448,0.0217665,"MAEL048",167
"168",NA,0.03264396,0.0289926,"MAEL048",168
"169",NA,0.02715936,0.0358062,"MAEL048",169
"170",NA,0.02219238,0.04305856,"MAEL048",170
"171",NA,0.017209586,0.0476431,"MAEL048",171
"172",NA,0.012497072,0.04644162,"MAEL048",172
"173",NA,0.008356118,0.04277924,"MAEL048",173
"174",NA,0.005200712,0.03874826,"MAEL048",174
"175",NA,0.003657882,0.03458914,"MAEL048",175
"176",NA,0.004027324,0.03077012,"MAEL048",176
"177",NA,0.005809258,0.0289907,"MAEL048",177
"178",NA,0.008108812,0.02767498,"MAEL048",178
"179",NA,0.011112918,0.02490606,"MAEL048",179
"180",NA,0.014296188,0.02128608,"MAEL048",180
"181",NA,0.01744782,0.017402724,"MAEL048",181
"182",NA,0.01981264,0.012941232,"MAEL048",182
"183",NA,0.02062394,0.008601294,"MAEL048",183
"184",NA,0.01957356,0.005517594,"MAEL048",184
"185",NA,0.01693242,0.003688648,"MAEL048",185
"186",NA,0.01342516,0.002984084,"MAEL048",186
"187",NA,0.010038014,0.00324689,"MAEL048",187
"188",NA,0.007895554,0.003434286,"MAEL048",188
"189",NA,0.007408454,0.00406663,"MAEL048",189
"190",NA,0.008687914,0.004247086,"MAEL048",190
"191",NA,0.011177074,0.00403868,"MAEL048",191
"192",NA,0.01418386,0.003650944,"MAEL048",192
"193",NA,0.0169725,0.003322486,"MAEL048",193
"194",NA,0.0189318,0.002453598,"MAEL048",194
"195",NA,0.01962478,0.00208856,"MAEL048",195
"196",NA,0.01815526,0.002468042,"MAEL048",196
"197",NA,0.015635566,0.003472366,"MAEL048",197
"198",NA,0.013288116,0.00501393,"MAEL048",198
"199",NA,0.011504856,0.007072654,"MAEL048",199
"200",NA,0.010585036,0.009907042,"MAEL048",200
"201",NA,0.010822116,0.013220906,"MAEL048",201
"202",NA,0.01157371,0.016911624,"MAEL048",202
"203",NA,0.01209512,0.02098464,"MAEL048",203
"204",NA,0.01183886,0.02463972,"MAEL048",204
"205",NA,0.011049618,0.02748856,"MAEL048",205
"206",NA,0.009919462,0.02980614,"MAEL048",206
"207",NA,0.008358348,0.03058968,"MAEL048",207
"208",NA,0.006480832,0.02962062,"MAEL048",208
"209",NA,0.004566332,0.02694998,"MAEL048",209
"210",NA,0.0027093168,0.02315984,"MAEL048",210
"211",NA,0.0014984914,0.01892384,"MAEL048",211
"212",NA,0.0009258344,0.01503934,"MAEL048",212
"213",NA,0.0005960542,0.011557964,"MAEL048",213
"214",NA,0.0004351756,0.010050738,"MAEL048",214
"215",NA,0.0003652088,0.010059558,"MAEL048",215
"216",NA,0.00028811164,0.010712158,"MAEL048",216
"217",NA,0.00025758464,0.012022998,"MAEL048",217
"218",NA,0.00037077884,0.013745394,"MAEL048",218
"219",NA,0.00053165744,0.01462572,"MAEL048",219
"220",NA,0.00086544744,0.01468088,"MAEL048",220
"221",NA,0.001399556,0.013478088,"MAEL048",221
"222",NA,0.001929432,0.011021304,"MAEL048",222
"223",NA,0.002334526,0.008274326,"MAEL048",223
"224",NA,0.002645588,0.006098546,"MAEL048",224
"225",NA,0.002738952,0.00454272,"MAEL048",225
"226",NA,0.002565818,0.003772876,"MAEL048",226
"227",NA,0.00234433,0.00373292,"MAEL048",227
"228",NA,0.002041512,0.004041308,"MAEL048",228
"229",NA,0.001780808,0.004738556,"MAEL048",229
"230",NA,0.001540604,0.005126478,"MAEL048",230
"231",NA,0.0012897046,0.005194572,"MAEL048",231
"232",NA,0.0009579202,0.00517525,"MAEL048",232
"233",NA,0.0006782766,0.00506495,"MAEL048",233
"234",NA,0.00041445346,0.004160608,"MAEL048",234
"235",NA,0.00021324278,0.0030082814,"MAEL048",235
"236",NA,0.00011408598,0.0020990616,"MAEL048",236
"237",NA,9.915658e-05,0.001386619,"MAEL048",237
"238",NA,0.00014528118,0.0008848324,"MAEL048",238
"239",NA,0.00018182432,0.0009334164,"MAEL048",239
"240",NA,0.00017380266,0.002355677,"MAEL048",240
"241",NA,0.000158205,0.0067032988,"MAEL048",241
"242",NA,0.0001615474,0.0146529234,"MAEL048",242
"243",NA,0.0001256728,0.02586444,"MAEL048",243
"244",NA,8.957532e-05,0.03856217,"MAEL048",244
"245",NA,0.0001004937,0.04996426,"MAEL048",245
"246",NA,0.0001024991,0.0571553,"MAEL048",246
"247",NA,8.266782e-05,0.05930032,"MAEL048",247
"248",NA,6.395052e-05,0.05804106,"MAEL048",248
"249",NA,5.748862e-05,0.05524362,"MAEL048",249
"250",NA,5.08039e-05,0.05114248,"MAEL048",250
"251",NA,8.400476e-05,0.04573444,"MAEL048",251
"252",NA,0.00019786784,0.0405378,"MAEL048",252
"253",NA,0.00019118312,0.0362969,"MAEL048",253
"254",NA,0.00018583534,0.03242894,"MAEL048",254
"255",NA,0.00018405274,0.02941428,"MAEL048",255
"256",NA,0.0001546399,0.02713288,"MAEL048",256
"257",NA,5.83799e-05,0.02490832,"MAEL048",257
"258",NA,6.707004e-05,0.02237464,"MAEL048",258
"259",NA,9.33632e-05,0.01923278,"MAEL048",259
"260",NA,0.00011208048,0.01596056,"MAEL048",260
"261",NA,0.00012188472,0.013596814,"MAEL048",261
"262",NA,0.00011965652,0.012397216,"MAEL048",262
"263",NA,0.0001361456,0.009991634,"MAEL048",263
"264",NA,0.0001414934,0.007123488,"MAEL048",264
"265",NA,0.0001377054,0.004983914,"MAEL048",265
"266",NA,0.00013235764,0.00375299,"MAEL048",266
"267",NA,0.00011542298,0.00273197,"MAEL048",267
"268",NA,9.358612e-05,0.002422082,"MAEL048",268
"269",NA,0.00046993632,0.002571586,"MAEL048",269
"270",NA,0.00223091432,0.002671944,"MAEL048",270
"271",NA,0.00432768228,0.002965888,"MAEL048",271
"272",NA,0.00669607474,0.003593356,"MAEL048",272
"273",NA,0.009722474,0.005471626,"MAEL048",273
"274",NA,0.011520432,0.010634688,"MAEL048",274
"275",NA,0.011387184,0.019838684,"MAEL048",275
"276",NA,0.011184866,0.03139667,"MAEL048",276
"277",NA,0.010048914,0.0448318,"MAEL048",277
"278",NA,0.008206824,0.05754774,"MAEL048",278
"279",NA,0.00720925,0.06475826,"MAEL048",279
"280",NA,0.006602946,0.06442642,"MAEL048",280
"281",NA,0.005480136,0.05910598,"MAEL048",281
"282",NA,0.004892326,0.04829028,"MAEL048",282
"283",NA,0.00416347,0.03627478,"MAEL048",283
"284",NA,0.00322538,0.0270888,"MAEL048",284
"285",NA,0.002466664,0.02122812,"MAEL048",285
"286",NA,0.002139336,0.0171718,"MAEL048",286
"287",NA,0.002060234,0.01609506,"MAEL048",287
"288",NA,0.001961076,0.01647474,"MAEL048",288
"289",NA,0.0018195832,0.01833108,"MAEL048",289
"290",NA,0.00154684606,0.02076292,"MAEL048",290
"291",NA,0.00111389806,0.02338496,"MAEL048",291
