"","slidedFather","slidedMother","slidedChild","video","frame_index"
"1",NA,0.01241468,0.015804392,"RAEM049",1
"2",NA,0.0126015,0.011852916,"RAEM049",2
"3",NA,0.01295088,0.009219342,"RAEM049",3
"4",NA,0.01344774,0.007368468,"RAEM049",4
"5",NA,0.01281468,0.006945388,"RAEM049",5
"6",NA,0.01218478,0.006505512,"RAEM049",6
"7",NA,0.01264064,0.00587052,"RAEM049",7
"8",NA,0.01297474,0.005287394,"RAEM049",8
"9",NA,0.01269608,0.00442345,"RAEM049",9
"10",NA,0.012318266,0.003833656,"RAEM049",10
"11",NA,0.012077466,0.003377974,"RAEM049",11
"12",NA,0.011455706,0.002864746,"RAEM049",12
"13",NA,0.010872866,0.002611096,"RAEM049",13
"14",NA,0.010311572,0.003184342,"RAEM049",14
"15",NA,0.009188992,0.003619524,"RAEM049",15
"16",NA,0.007391742,0.004324412,"RAEM049",16
"17",NA,0.005367086,0.005319996,"RAEM049",17
"18",NA,0.003540746,0.006069834,"RAEM049",18
"19",NA,0.002685946,0.006003642,"RAEM049",19
"20",NA,0.00296816,0.005628476,"RAEM049",20
"21",NA,0.003320038,0.005069554,"RAEM049",21
"22",NA,0.003388028,0.004636102,"RAEM049",22
"23",NA,0.0029292478,0.004638324,"RAEM049",23
"24",NA,0.0020878364,0.004863818,"RAEM049",24
"25",NA,0.0014922384,0.005682812,"RAEM049",25
"26",NA,0.0013286424,0.006591706,"RAEM049",26
"27",NA,0.0014562564,0.007078014,"RAEM049",27
"28",NA,0.0020165006,0.007105676,"RAEM049",28
"29",NA,0.00272444,0.006892778,"RAEM049",29
"30",NA,0.003247864,0.006230618,"RAEM049",30
"31",NA,0.0033146,0.005956468,"RAEM049",31
"32",NA,0.00316502,0.005959924,"RAEM049",32
"33",NA,0.002935734,0.006364728,"RAEM049",33
"34",NA,0.002565238,0.00713309,"RAEM049",34
"35",NA,0.002321308,0.00702343,"RAEM049",35
"36",NA,0.002442646,0.006384488,"RAEM049",36
"37",NA,0.00281419,0.005600074,"RAEM049",37
"38",NA,0.003339078,0.004711186,"RAEM049",38
"39",NA,0.00389953,0.004544472,"RAEM049",39
"40",NA,0.004352452,0.005300484,"RAEM049",40
"41",NA,0.004634038,0.00620024,"RAEM049",41
"42",NA,0.004794914,0.006952548,"RAEM049",42
"43",NA,0.004859766,0.007172856,"RAEM049",43
"44",NA,0.005004534,0.006270384,"RAEM049",44
"45",NA,0.005120224,0.005218734,"RAEM049",45
