"","slidedFather","slidedMother","slidedChild"
"1",0.002663964,0.012601316,0.012553106
"2",0.002292234,0.0156383,0.011424106
"3",0.00203931,0.01827932,0.010459686
"4",0.001542954,0.01981164,0.009662046
"5",0.001334736,0.0214444,0.00907419
"6",0.001563776,0.02322864,0.008646464
"7",0.00175301,0.02393606,0.007575294
"8",0.002116166,0.02371282,0.00608937
"9",0.002953938,0.02281086,0.004819532
"10",0.00425377,0.02060194,0.00405118
"11",0.00554717,0.01764946,0.0038173
"12",0.006549066,0.0143478,0.003584534
"13",0.007298652,0.011332612,0.003526342
"14",0.007194848,0.010005462,0.003343984
"15",0.006342378,0.009917782,0.0026909024
"16",0.00536406,0.009068456,0.0017913412
"17",0.00435757,0.008230808,0.0014418192
"18",0.003490402,0.00775671,0.0018584272
"19",0.002975676,0.006802136,0.0029585092
"20",0.002765622,0.005581806,0.0045849108
"21",0.0025917,0.005276194,0.005953342
"22",0.002519742,0.005215602,0.006521916
"23",0.002239568,0.004775522,0.006137926
"24",0.0017505622,0.004350324,0.005224278
"25",0.0013335136,0.004048432,0.004234278
"26",0.0010447634,0.003627484,0.003675342
"27",0.0010447634,0.00340638,0.003654216
"28",0.0015181514,0.003416478,0.00388513
"29",0.0020221612,0.003483978,0.003894026
"30",0.0024030778,0.004307802,0.003557478
"31",0.00275858,0.005721588,0.003207956
"32",0.002713262,0.007484032,0.00366904
"33",0.002366642,0.00975992,0.005783584
"34",0.002089834,0.012295162,0.00906419
"35",0.001831398,0.01378336,0.012606846
"36",0.001501617,0.01374562,0.015322214
"37",0.001668499,0.012268592,0.01660094
"38",0.002593231,0.010561408,0.01609204
"39",0.003454579,0.008568826,0.01385666
"40",0.004034833,0.006610782,0.010966714
"41",0.004664692,0.005566924,0.008557872
"42",0.005109298,0.00570405,0.006518578
"43",0.004913328,0.005899642,0.004678314
"44",0.004950686,0.006342382,0.003704624
"45",0.005350282,0.007524446,0.003491874
"46",0.0057658,0.009432004,0.004071568
"47",0.005954114,0.010892026,0.005455942
"48",0.005851842,0.010850568,0.007642386
"49",0.005580852,0.009849222,0.010503036
"50",0.005422238,0.00868204,0.013111292
"51",0.00549297,0.00673515,0.0146569
"52",0.006072306,0.004692074,0.01586112
"53",0.007080326,0.003647678,0.01687076
"54",0.007912892,0.003605158,0.01701496
"55",0.008368522,0.003675848,0.01666692
"56",0.008395162,0.003527028,0.0159019
"57",0.007666706,0.003596654,0.014275878
"58",0.006401782,0.004172268,0.01227958
"59",0.005216776,0.004790934,0.01092968
"60",0.004163438,0.005291074,0.01005198
"61",0.00324483,0.00634929,0.01003196
"62",0.002815228,0.00799002,0.010678742
"63",0.00266274,0.009595152,0.0110809
"64",0.0024435,0.010750094,0.01094968
"65",0.00235409,0.01116307,0.010716912
"66",0.00224998,0.010476372,0.010410758
"67",0.002091672,0.008690544,0.00978399
"68",0.001913462,0.00640031,0.008967818
"69",0.001887128,0.0041393178,0.0077091
"70",0.00168136,0.0023157432,0.006408126
"71",0.00169269,0.0011554806,0.004999294
"72",0.001618284,0.00050917658,0.003545986
"73",0.00153714,0.00023864306,0.0023124708
"74",0.001540202,0.00016370176,0.0015548674
"75",0.001685342,9.992186e-05,0.0009907426
"76",0.001683198,4.730344e-05,0.0006008206
"77",0.001795268,3.933094e-05,0.0004492252
"78",0.002082486,3.507896e-05,0.0004696108
"79",0.002474426,3.348446e-05,0.0007316582
"80",0.002804512,5.421296e-05,0.001391781
"81",0.002927912,0.00023120218,0.002782821
"82",0.002773586,0.0005543547,0.0052513324
"83",0.002352863,0.0010257942,0.007699834
"84",0.0017089184,0.0015567622,0.009058628
"85",0.0012554324,0.0019660162,0.010061602
"86",0.0012692124,0.002163734,0.010372946
"87",0.0014951884,0.0020175708,0.009329204
"88",0.0021323954,0.0016354232,0.00813794
"89",0.003132454,0.0011491012,0.00838812
"90",0.00410281,0.0007371896,0.01035033
"91",0.0048576,0.0003943726,0.014303654
"92",0.00511083,0.0002939192,0.020147656
"93",0.005097052,0.0002397062,0.02635008
"94",0.004898326,0.0002535252,0.0309654
"95",0.004446984,0.0003114586,0.03219892
"96",0.003746084,0.0003199626,0.03008326
"97",0.003345266,0.00025246218,0.02614994
"98",0.002960368,0.00023970618,0.02182002
"99",0.002286416,0.00018655616,0.0187959
"100",0.001771382,0.00010576836,0.01790968
"101",0.001785162,8.397676e-05,0.0188148
"102",0.002376438,7.175228e-05,0.02018546
"103",0.00359084,4.836638e-05,0.02183226
"104",0.005795504,4.19884e-05,0.02323554
"105",0.009314992,5.155538e-05,0.02402798
"106",0.013006582,4.411438e-05,0.0243323
"107",0.01589315,8.557128e-05,0.02480302
"108",0.01860304,0.00012809118,0.02573148
"109",0.01979662,0.00053149818,0.02683192
"110",0.01967476,0.0017661712,0.02841162
"111",0.01937866,0.0033239948,0.0299068
"112",0.01935264,0.0048366414,0.03057508
"113",0.01805312,0.006224918,0.03036678
"114",0.016338684,0.006967424,0.02941682
"115",0.014290798,0.006800534,0.02742644
"116",0.013026178,0.00673516,0.02486934
"117",0.012739878,0.00722361,0.02296274
"118",0.013707778,0.008272256,0.02261692
"119",0.016191994,0.009652034,0.02371366
"120",0.01966586,0.010262726,0.0259646
"121",0.02230164,0.010442904,0.02905766
"122",0.02315012,0.010237744,0.03209178
"123",0.02390706,0.009404354,0.03391352
"124",0.02462022,0.008395562,0.03413888
"125",0.02454306,0.008059654,0.03302584
"126",0.02418664,0.007882666,0.03097504
"127",0.02448396,0.007987902,0.02749798
"128",0.024126,0.008923332,0.02321774
"129",0.02311062,0.010311084,0.02031296
"130",0.0222606,0.011720624,0.01905534
"131",0.0225708,0.012718776,0.01882406
"132",0.02374234,0.01272728,0.0193022
"133",0.02630434,0.011637716,0.01996974
"134",0.03003512,0.009916714,0.01922622
"135",0.0330209,0.008624104,0.016771424
"136",0.03464408,0.008020856,0.01328845
"137",0.0354497,0.007871506,0.010669086
"138",0.03483088,0.00779816,0.00889813
"139",0.03368598,0.008837242,0.00789146
"140",0.0335932,0.009963492,0.007587528
"141",0.0339343,0.01048382,0.007633118
"142",0.03479564,0.010530592,0.006964098
"143",0.03591144,0.010262184,0.00554563
"144",0.03682638,0.008360478,0.003999658
"145",0.03698286,0.00602932,0.003259104
"146",0.03627032,0.003858686,0.00321611
"147",0.0348024,0.0021557614,0.003455548
"148",0.03303652,0.0010396128,0.004096028
"149",0.03045218,0.0007568558,0.004586024
"150",0.0278669,0.00050598728,0.00422353
"151",0.02560408,0.00025990326,0.0032798602
"152",0.0241989,0.00013181186,0.0025033542
"153",0.02296306,0.00015413486,0.0019281082
"154",0.0218206,0.00034122186,0.0015989742
"155",0.02088056,0.00131067638,0.0014814802
"156",0.02084196,0.0030731284,0.001484816
"157",0.0215738,0.0052544024,0.001289855
"158",0.02284792,0.007783806,0.0010181706
"159",0.02504952,0.010457782,0.000750933
"160",0.02715682,0.012427514,0.0006067504
"161",0.02768564,0.01363402,0.000603044
"162",0.02648104,0.01420856,0.000613422
"163",0.02543444,0.01409376,0.00052409584
"164",0.025146,0.01325984,0.00043551104
"165",0.0263163,0.011991156,0.00047887764
"166",0.02808982,0.010265374,0.00110156604
"167",0.02829894,0.008305746,0.00244145704
"168",0.02711516,0.006178152,0.0038132236
"169",0.02591608,0.0041706744,0.004865492
"170",0.02580952,0.0025166484,0.005898116
"171",0.02674068,0.0013989062,0.0064211
"172",0.0291205,0.0008020322,0.00612384
"173",0.03087626,0.0006643742,0.00570056
"174",0.02994908,0.0007233706,0.005472982
"175",0.02544024,0.0007254966,0.005217606
