"","slidedFather","slidedMother","slidedChild","video","frame_index"
"1",NA,0.00025272544,0.0001475287,"RAMA054",1
"2",NA,0.00029391304,0.0001707547,"RAMA054",2
"3",NA,0.00032191344,0.00013806608,"RAMA054",3
"4",NA,0.00029608096,0.00011440984,"RAMA054",4
"5",NA,0.00033257172,0.0001092485,"RAMA054",5
"6",NA,0.00034593972,9.376446e-05,"RAMA054",6
"7",NA,0.00023357704,2.731212e-05,"RAMA054",7
"8",NA,0.00019076364,8.193634e-05,"RAMA054",8
"9",NA,0.00019636372,8.860308e-05,"RAMA054",9
"10",NA,0.00015878906,8.043094e-05,"RAMA054",10
"11",NA,0.00012916282,7.8065328e-05,"RAMA054",11
"12",NA,0.000122117572,7.7420168e-05,"RAMA054",12
"13",NA,5.0400592e-05,1.3548536e-05,"RAMA054",13
"14",NA,3.0890672e-05,5.376404e-06,"RAMA054",14
"15",NA,1.5355016e-05,6.236628e-06,"RAMA054",15
"16",NA,1.282595e-05,1.182808e-05,"RAMA054",16
"17",NA,2.6013198e-05,1.290336e-05,"RAMA054",17
"18",NA,3.7393978e-05,1.397864e-05,"RAMA054",18
"19",NA,4.8413458e-05,1.4408752e-05,"RAMA054",19
"20",NA,0.000100801174,1.4408752e-05,"RAMA054",20
"21",NA,0.00017396328,8.387188e-06,"RAMA054",21
"22",NA,0.00035695896,5.161344e-06,"RAMA054",22
"23",NA,0.00075980136,3.871008e-06,"RAMA054",23
"24",NA,0.0013951384,1.0322688e-05,"RAMA054",24
"25",NA,0.0023112008,1.9785164e-05,"RAMA054",25
"26",NA,0.0036543134,2.3656168e-05,"RAMA054",26
"27",NA,0.005559964,2.408628e-05,"RAMA054",27
"28",NA,0.007828164,2.408628e-05,"RAMA054",28
"29",NA,0.01017225,1.655932e-05,"RAMA054",29
"30",NA,0.011982336,6.451676e-06,"RAMA054",30
"31",NA,0.01384572,7.096856e-06,"RAMA054",31
"32",NA,0.01611464,6.021576e-06,"RAMA054",32
"33",NA,0.01789096,5.591464e-06,"RAMA054",33
"34",NA,0.01891866,6.021576e-06,"RAMA054",34
"35",NA,0.02001122,6.451688e-06,"RAMA054",35
"36",NA,0.02147102,2.795728e-06,"RAMA054",36
"37",NA,0.022961,0.00015570056,"RAMA054",37
"38",NA,0.02570412,0.00062473856,"RAMA054",38
"39",NA,0.02940684,0.00062581384,"RAMA054",39
"40",NA,0.03383884,0.000649254872,"RAMA054",40
"41",NA,0.0371987,0.000701298392,"RAMA054",41
"42",NA,0.03913236,0.000589469192,"RAMA054",42
"43",NA,0.03936846,0.000150754192,"RAMA054",43
"44",NA,0.03868218,0.00016086182,"RAMA054",44
"45",NA,0.03652814,0.00014387248,"RAMA054",45
"46",NA,0.03269608,9.2259072e-05,"RAMA054",46
"47",NA,0.02738016,5.1398496e-05,"RAMA054",47
"48",NA,0.02216976,2.3226056e-05,"RAMA054",48
"49",NA,0.01826182,1.7419556e-05,"RAMA054",49
"50",NA,0.01570512,0.000101291496,"RAMA054",50
"51",NA,0.01507302,0.000221077704,"RAMA054",51
"52",NA,0.01667284,0.00032021848,"RAMA054",52
"53",NA,0.01866862,0.00038366012,"RAMA054",53
"54",NA,0.0191327,0.0004574244,"RAMA054",54
"55",NA,0.01838264,0.0004694674,"RAMA054",55
"56",NA,0.01792362,0.0004271014,"RAMA054",56
"57",NA,0.0176597,0.0003535522,"RAMA054",57
"58",NA,0.01818412,0.000356993,"RAMA054",58
"59",NA,0.0200558,0.0004716178,"RAMA054",59
"60",NA,0.0230858,0.000784954,"RAMA054",60
"61",NA,0.0263407,0.0014451764,"RAMA054",61
"62",NA,0.02917216,0.0025006726,"RAMA054",62
"63",NA,0.03109896,0.0040374636,"RAMA054",63
"64",NA,0.03238282,0.006230388,"RAMA054",64
"65",NA,0.0333034,0.00954934,"RAMA054",65
"66",NA,0.0336246,0.013294752,"RAMA054",66
"67",NA,0.03409266,0.016191764,"RAMA054",67
"68",NA,0.0352936,0.01780856,"RAMA054",68
"69",NA,0.037534,0.017091996,"RAMA054",69
"70",NA,0.04087814,0.014047672,"RAMA054",70
"71",NA,0.04559466,0.0105885,"RAMA054",71
"72",NA,0.04979814,0.007921598,"RAMA054",72
"73",NA,0.05217528,0.006041142,"RAMA054",73
"74",NA,0.05214222,0.005547802,"RAMA054",74
"75",NA,0.04840896,0.005874902,"RAMA054",75
"76",NA,0.04114766,0.006009526,"RAMA054",76
"77",NA,0.03269644,0.006325872,"RAMA054",77
"78",NA,0.02578414,0.007316428,"RAMA054",78
"79",NA,0.02136514,0.008724392,"RAMA054",79
"80",NA,0.02044746,0.011375816,"RAMA054",80
"81",NA,0.02316114,0.015053924,"RAMA054",81
"82",NA,0.02869328,0.01855288,"RAMA054",82
"83",NA,0.03427168,0.02240022,"RAMA054",83
"84",NA,0.0390704,0.02908374,"RAMA054",84
"85",NA,0.04244272,0.03757222,"RAMA054",85
"86",NA,0.04349318,0.04635274,"RAMA054",86
"87",NA,0.0429731,0.05457026,"RAMA054",87
"88",NA,0.0412779,0.06061162,"RAMA054",88
"89",NA,0.03882254,0.06347402,"RAMA054",89
"90",NA,0.03673462,0.06284412,"RAMA054",90
"91",NA,0.03458294,0.06054904,"RAMA054",91
"92",NA,0.0327201,0.0586318,"RAMA054",92
"93",NA,0.03192634,0.05673458,"RAMA054",93
"94",NA,0.03162232,0.05381692,"RAMA054",94
