"","slidedFather","slidedMother","slidedChild","video","frame_index"
"1",NA,0.02280518,0.010234811,"GROP039",1
"2",NA,0.02470116,0.010743016,"GROP039",2
"3",NA,0.02623886,0.011610146,"GROP039",3
"4",NA,0.0249649,0.0071931574,"GROP039",4
"5",NA,0.023855,0.0070784834,"GROP039",5
"6",NA,0.02295152,0.0041709614,"GROP039",6
"7",NA,0.02314454,0.0038946314,"GROP039",7
"8",NA,0.02475544,0.0038175934,"GROP039",8
"9",NA,0.0278478,0.004230824,"GROP039",9
"10",NA,0.03144602,0.003014368,"GROP039",10
"11",NA,0.0337619,0.0024538784,"GROP039",11
"12",NA,0.03434902,0.0023354144,"GROP039",12
"13",NA,0.03264406,0.0015748764,"GROP039",13
"14",NA,0.02996656,0.0012677322,"GROP039",14
"15",NA,0.02694952,0.0010262592,"GROP039",15
"16",NA,0.0250808,0.0011123912,"GROP039",16
"17",NA,0.0244641,0.0009757424,"GROP039",17
"18",NA,0.02454642,0.0006549568,"GROP039",18
"19",NA,0.02481992,0.00047435746,"GROP039",19
"20",NA,0.02626738,0.00031876414,"GROP039",20
"21",NA,0.02925896,0.00027077274,"GROP039",21
"22",NA,0.03295476,0.00025283894,"GROP039",22
"23",NA,0.03563212,0.00024829238,"GROP039",23
"24",NA,0.03754536,0.00030108292,"GROP039",24
"25",NA,0.03846424,0.00036498724,"GROP039",25
"26",NA,0.03770332,0.00029123204,"GROP039",26
"27",NA,0.03558062,0.00015306734,"GROP039",27
"28",NA,0.03359848,0.000146500086,"GROP039",28
"29",NA,0.03351538,0.000100276786,"GROP039",29
"30",NA,0.0347529,2.9047446e-05,"GROP039",30
"31",NA,0.03633818,2.3995726e-05,"GROP039",31
"32",NA,0.03832366,2.2480198e-05,"GROP039",32
"33",NA,0.04070708,2.5511232e-05,"GROP039",33
"34",NA,0.04157962,3.4099172e-05,"GROP039",34
"35",NA,0.03917394,4.8496512e-05,"GROP039",35
"36",NA,0.03458428,6.3904232e-05,"GROP039",36
"37",NA,0.02965768,8.032236e-05,"GROP039",37
"38",NA,0.02609088,7.8301672e-05,"GROP039",38
"39",NA,0.02408098,6.0620618e-05,"GROP039",39
"40",NA,0.024061,5.2537938e-05,"GROP039",40
"41",NA,0.02475058,5.8600138e-05,"GROP039",41
"42",NA,0.02436378,4.9507018e-05,"GROP039",42
"43",NA,0.02301618,4.9507018e-05,"GROP039",43
"44",NA,0.02054816,4.9507018e-05,"GROP039",44
"45",NA,0.01754912,3.6877698e-05,"GROP039",45
"46",NA,0.01579048,1.1618978e-05,"GROP039",46
"47",NA,0.01513536,3.788798e-06,"GROP039",47
"48",NA,0.01460646,3.031038e-06,"GROP039",48
"49",NA,0.01455218,2.778452e-06,"GROP039",49
"50",NA,0.0147606,2.778452e-06,"GROP039",50
"51",NA,0.01384324,7.57758e-07,"GROP039",51
"52",NA,0.01261289,1.515518e-06,"GROP039",52
"53",NA,0.011237248,3.283626e-06,"GROP039",53
"54",NA,0.009695874,7.072426e-06,"GROP039",54
"55",NA,0.008313814,6.1126026e-05,"GROP039",55
"56",NA,0.007102826,0.00043520744,"GROP039",56
"57",NA,0.00581789,0.00090451368,"GROP039",57
"58",NA,0.00453707,0.0015102164,"GROP039",58
"59",NA,0.003544096,0.0020904076,"GROP039",59
"60",NA,0.002708916,0.00246853,"GROP039",60
"61",NA,0.002333558,0.002348298,"GROP039",61
"62",NA,0.002465588,0.0020477196,"GROP039",62
"63",NA,0.003353212,0.0015675524,"GROP039",63
"64",NA,0.004410068,0.0010651578,"GROP039",64
"65",NA,0.00522314,0.0006827414,"GROP039",65
"66",NA,0.005719248,0.0004400058,"GROP039",66
"67",NA,0.005766664,0.0003071452,"GROP039",67
"68",NA,0.00522543,0.000179841572,"GROP039",68
"69",NA,0.004793356,9.8508758e-05,"GROP039",69
"70",NA,0.004600188,4.8749158e-05,"GROP039",70
"71",NA,0.004786494,3.7382758e-05,"GROP039",71
"72",NA,0.005594686,1.010344e-06,"GROP039",72
"73",NA,0.007022478,5.05172e-07,"GROP039",73
"74",NA,0.009412604,2.52586e-07,"GROP039",74
"75",NA,0.01356394,2.52586e-07,"GROP039",75
"76",NA,0.021194432,2.52586e-07,"GROP039",76
"77",NA,0.02985632,0,"GROP039",77
"78",NA,0.03779112,0,"GROP039",78
"79",NA,0.04521564,0,"GROP039",79
"80",NA,0.05032826,0,"GROP039",80
"81",NA,0.05105412,0,"GROP039",81
"82",NA,0.04983856,0,"GROP039",82
"83",NA,0.04770656,2.52586e-07,"GROP039",83
"84",NA,0.04402524,2.52586e-07,"GROP039",84
"85",NA,0.04121722,7.57758e-07,"GROP039",85
"86",NA,0.03848834,1.010344e-06,"GROP039",86
"87",NA,0.03575532,1.010344e-06,"GROP039",87
"88",NA,0.03311318,7.57758e-07,"GROP039",88
"89",NA,0.03037012,7.57758e-07,"GROP039",89
"90",NA,0.0267196,2.52586e-07,"GROP039",90
"91",NA,0.023154,0,"GROP039",91
"92",NA,0.01953292,0,"GROP039",92
"93",NA,0.01668984,2.52586e-07,"GROP039",93
"94",NA,0.01488242,2.52586e-07,"GROP039",94
"95",NA,0.01385652,2.52586e-07,"GROP039",95
"96",NA,0.0138364,2.52586e-07,"GROP039",96
"97",NA,0.0146635,5.05172e-07,"GROP039",97
"98",NA,0.0155496,2.52586e-07,"GROP039",98
"99",NA,0.01584096,2.52586e-07,"GROP039",99
"100",NA,0.01556364,2.52586e-07,"GROP039",100
"101",NA,0.0145388,2.52586e-07,"GROP039",101
