"","slidedFather","slidedMother","slidedChild","video","frame_index"
"1",NA,0.017175454,0.028376552,"SOGA061",1
"2",NA,0.02199429,0.03886214,"SOGA061",2
"3",NA,0.02386346,0.04209464,"SOGA061",3
"4",NA,0.02355182,0.04225546,"SOGA061",4
"5",NA,0.01775326,0.03358786,"SOGA061",5
"6",NA,0.01644882,0.03251222,"SOGA061",6
"7",NA,0.011699624,0.023157208,"SOGA061",7
"8",NA,0.009644386,0.021916508,"SOGA061",8
"9",NA,0.007188084,0.016568856,"SOGA061",9
"10",NA,0.004868002,0.012516408,"SOGA061",10
"11",NA,0.002591238,0.00924669,"SOGA061",11
"12",NA,0.001984288,0.010935482,"SOGA061",12
"13",NA,0.0013871306,0.011741302,"SOGA061",13
"14",NA,0.0014041046,0.013977114,"SOGA061",14
"15",NA,0.0009729934,0.016052782,"SOGA061",15
"16",NA,0.00089007896,0.01750812,"SOGA061",16
"17",NA,0.00061696136,0.01671306,"SOGA061",17
"18",NA,0.00052468916,0.01580048,"SOGA061",18
"19",NA,0.00015516536,0.0143456,"SOGA061",19
"20",NA,0.00011272882,0.012307162,"SOGA061",20
"21",NA,0.00015103046,0.010580002,"SOGA061",21
"22",NA,0.00015451246,0.009603064,"SOGA061",22
"23",NA,0.0001371026,0.010121364,"SOGA061",23
"24",NA,0.00010750588,0.011218964,"SOGA061",24
"25",NA,9.4883736e-05,0.013060042,"SOGA061",25
"26",NA,5.0488652e-05,0.015768402,"SOGA061",26
"27",NA,1.4145498e-05,0.01862636,"SOGA061",27
"28",NA,6.09345e-06,0.02131118,"SOGA061",28
"29",NA,0.00016060577,0.02578348,"SOGA061",29
"30",NA,0.000350808454,0.03019456,"SOGA061",30
"31",NA,0.000351678946,0.0331476,"SOGA061",31
"32",NA,0.000351461324,0.0325129,"SOGA061",32
"33",NA,0.000351461324,0.02948516,"SOGA061",33
"34",NA,0.000196296132,0.02674114,"SOGA061",34
"35",NA,5.658202e-06,0.02501936,"SOGA061",35
"36",NA,4.570086e-06,0.02293628,"SOGA061",36
"37",NA,4.352462e-06,0.02312466,"SOGA061",37
"38",NA,3.699594e-06,0.02468362,"SOGA061",38
"39",NA,1.95861e-06,0.02299572,"SOGA061",39
"40",NA,1.740986e-06,0.01973698,"SOGA061",40
"41",NA,1.088118e-06,0.01749356,"SOGA061",41
"42",NA,1.305742e-06,0.01776202,"SOGA061",42
"43",NA,1.088118e-06,0.01818926,"SOGA061",43
"44",NA,1.523364e-06,0.01698288,"SOGA061",44
"45",NA,1.305742e-06,0.019299,"SOGA061",45
"46",NA,1.305742e-06,0.02473118,"SOGA061",46
"47",NA,1.523364e-06,0.02990142,"SOGA061",47
"48",NA,1.95861e-06,0.03395476,"SOGA061",48
"49",NA,1.95861e-06,0.03802582,"SOGA061",49
"50",NA,2.393856e-06,0.03749696,"SOGA061",50
"51",NA,3.264348e-06,0.03523648,"SOGA061",51
"52",NA,3.481972e-06,0.03302624,"SOGA061",52
"53",NA,4.352464e-06,0.03129528,"SOGA061",53
"54",NA,3.699594e-06,0.0314406,"SOGA061",54
"55",NA,4.13484e-06,0.03081982,"SOGA061",55
"56",NA,5.005332e-06,0.02820724,"SOGA061",56
"57",NA,4.570086e-06,0.02550494,"SOGA061",57
"58",NA,5.440588e-06,0.02432322,"SOGA061",58
"59",NA,6.96395e-06,0.0228928,"SOGA061",59
"60",NA,6.528704e-06,0.02328818,"SOGA061",60
"61",NA,6.093458e-06,0.0229872,"SOGA061",61
"62",NA,0.000757545834,0.0205982,"SOGA061",62
"63",NA,0.003126589594,0.01868512,"SOGA061",63
"64",NA,0.006606606232,0.01905832,"SOGA061",64
"65",NA,0.010400653362,0.02699794,"SOGA061",65
"66",NA,0.01432243,0.06000912,"SOGA061",66
"67",NA,0.01754064,0.11283006,"SOGA061",67
"68",NA,0.01917434,0.16422638,"SOGA061",68
"69",NA,0.01967792,0.20552884,"SOGA061",69
"70",NA,0.01989988,0.2348092,"SOGA061",70
"71",NA,0.01993862,0.2423246,"SOGA061",71
"72",NA,0.01965462,0.2295762,"SOGA061",72
"73",NA,0.01893972,0.2042976,"SOGA061",73
"74",NA,0.01772146,0.1745947,"SOGA061",74
"75",NA,0.01584904,0.14131122,"SOGA061",75
"76",NA,0.01356161,0.10559066,"SOGA061",76
"77",NA,0.011068304,0.07210468,"SOGA061",77
"78",NA,0.008402644,0.05044828,"SOGA061",78
"79",NA,0.006229896,0.04367582,"SOGA061",79
"80",NA,0.006322176,0.0530259,"SOGA061",80
"81",NA,0.007295166,0.05882388,"SOGA061",81
"82",NA,0.008189812,0.0614858,"SOGA061",82
"83",NA,0.009830032,0.06468062,"SOGA061",83
"84",NA,0.01204608,0.06928972,"SOGA061",84
"85",NA,0.01309414,0.06730286,"SOGA061",85
"86",NA,0.01427104,0.06816768,"SOGA061",86
"87",NA,0.0168118,0.0725671,"SOGA061",87
"88",NA,0.0201497,0.07954746,"SOGA061",88
"89",NA,0.02446408,0.08299772,"SOGA061",89
"90",NA,0.0281097,0.08273016,"SOGA061",90
"91",NA,0.03113728,0.08366112,"SOGA061",91
"92",NA,0.03160516,0.08634324,"SOGA061",92
