frame,father,mother,child,therapist,file
1,NA,0.00096215,0.0324769,NA,1106.MTS.avi
2,NA,0.000656753,0.035529,NA,1106.MTS.avi
3,NA,0.000910262,0.0379331,NA,1106.MTS.avi
4,NA,0.000563354,0.0356586,NA,1106.MTS.avi
5,NA,0.000695298,0.0353094,NA,1106.MTS.avi
6,NA,0.000776836,0.0312034,NA,1106.MTS.avi
7,NA,0.000542599,0.027785,NA,1106.MTS.avi
8,NA,0.000367663,0.0257511,NA,1106.MTS.avi
9,NA,0.000576697,0.0294962,NA,1106.MTS.avi
10,NA,0.000398796,0.0256176,NA,1106.MTS.avi
11,NA,0.000379523,0.0263158,NA,1106.MTS.avi
12,NA,0.00114598,0.0285731,NA,1106.MTS.avi
13,NA,0.000759046,0.027334,NA,1106.MTS.avi
14,NA,0.00144545,0.0207974,NA,1106.MTS.avi
15,NA,0.00160853,0.0160711,NA,1106.MTS.avi
16,NA,0.00134019,0.0197514,NA,1106.MTS.avi
17,NA,0.00180866,0.0274253,NA,1106.MTS.avi
18,NA,0.00200732,0.0217879,NA,1106.MTS.avi
19,NA,0.00196285,0.024479,NA,1106.MTS.avi
20,NA,0.00193468,0.0281182,NA,1106.MTS.avi
21,NA,0.00171971,0.0192952,NA,1106.MTS.avi
22,NA,0.00150771,0.0139923,NA,1106.MTS.avi
23,NA,0.00123197,0.0150159,NA,1106.MTS.avi
24,NA,0.00105555,0.0297673,NA,1106.MTS.avi
25,NA,0.00059004,0.030927,NA,1106.MTS.avi
26,NA,0.000484781,0.0237556,NA,1106.MTS.avi
27,NA,0.00028316,0.0308662,NA,1106.MTS.avi
28,NA,9.78458e-05,0.0259098,NA,1106.MTS.avi
29,NA,4.59579e-05,0.0181156,NA,1106.MTS.avi
30,NA,5.93005e-06,0.00950674,NA,1106.MTS.avi
31,NA,8.89507e-06,0.0192092,NA,1106.MTS.avi
32,NA,7.41256e-06,0.030242,NA,1106.MTS.avi
33,NA,1.03776e-05,0.0232465,NA,1106.MTS.avi
34,NA,4.44753e-06,0.0217019,NA,1106.MTS.avi
35,NA,2.96502e-06,0.0249815,NA,1106.MTS.avi
36,NA,1.18601e-05,0.0231711,NA,1106.MTS.avi
37,NA,8.45032e-05,0.0169757,NA,1106.MTS.avi
38,NA,0.00030095,0.0188244,NA,1106.MTS.avi
39,NA,0.000111188,0.0324173,NA,1106.MTS.avi
40,NA,1.33426e-05,0.0285718,NA,1106.MTS.avi
41,NA,5.93005e-06,0.0226646,NA,1106.MTS.avi
42,NA,5.48529e-05,0.026083,NA,1106.MTS.avi
43,NA,0.000106741,0.02064,NA,1106.MTS.avi
44,NA,3.85453e-05,0.0139275,NA,1106.MTS.avi
45,NA,1.18601e-05,0.0243375,NA,1106.MTS.avi
46,NA,1.48251e-06,0.0340307,NA,1106.MTS.avi
47,NA,2.96502e-06,0.0279133,NA,1106.MTS.avi
48,NA,4.29928e-05,0.0210143,NA,1106.MTS.avi
49,NA,2.07552e-05,0.0285771,NA,1106.MTS.avi
50,NA,0.000594487,0.0217932,NA,1106.MTS.avi
51,NA,0.00170044,0.0167694,NA,1106.MTS.avi
52,NA,0.000788696,0.0133047,NA,1106.MTS.avi
53,NA,0.000864304,0.0303597,NA,1106.MTS.avi
54,NA,0.00140839,0.0282042,NA,1106.MTS.avi
55,NA,0.0018902,0.0187702,NA,1106.MTS.avi
56,NA,0.00163818,0.023306,NA,1106.MTS.avi
57,NA,0.00181904,0.0242264,NA,1106.MTS.avi
58,NA,0.00219115,0.0181248,NA,1106.MTS.avi
59,NA,0.00309845,0.0132081,NA,1106.MTS.avi
60,NA,0.00293982,0.0214189,NA,1106.MTS.avi
61,NA,0.00231568,0.0282518,NA,1106.MTS.avi
62,NA,0.00237647,0.0230587,NA,1106.MTS.avi
63,NA,0.00394793,0.0218474,NA,1106.MTS.avi
64,NA,0.00409173,0.0251732,NA,1106.MTS.avi
65,NA,0.00453204,0.0223565,NA,1106.MTS.avi
66,NA,0.00483447,0.0162021,NA,1106.MTS.avi
67,NA,0.00497531,0.0159971,NA,1106.MTS.avi
68,NA,0.00557424,0.0312893,NA,1106.MTS.avi
69,NA,0.00381005,0.0310196,NA,1106.MTS.avi
70,NA,0.00307028,0.024315,NA,1106.MTS.avi
71,NA,0.0022549,0.0210553,NA,1106.MTS.avi
72,NA,0.00421923,0.0279675,NA,1106.MTS.avi
73,NA,0.0023987,0.0279106,NA,1106.MTS.avi
74,NA,0.00243132,0.0210963,NA,1106.MTS.avi
75,NA,0.0058574,0.0181407,NA,1106.MTS.avi
76,NA,0.00359361,0.0241074,NA,1106.MTS.avi
77,NA,0.00152847,0.0241867,NA,1106.MTS.avi
78,NA,0.00351059,0.0183893,NA,1106.MTS.avi
79,NA,0.00298281,0.0146139,NA,1106.MTS.avi
80,NA,0.00583072,0.02847,NA,1106.MTS.avi
81,NA,0.012035,0.0262483,NA,1106.MTS.avi
82,NA,0.00929386,0.0185573,NA,1106.MTS.avi
83,NA,0.0104013,0.0110368,NA,1106.MTS.avi
84,NA,0.00887135,0.0233986,NA,1106.MTS.avi
85,NA,0.00617763,0.0269651,NA,1106.MTS.avi
86,NA,0.00472328,0.0233417,NA,1106.MTS.avi
87,NA,0.0019584,0.0138508,NA,1106.MTS.avi
88,NA,0.0014499,0.0236075,NA,1106.MTS.avi
89,NA,0.000993283,0.0290783,NA,1106.MTS.avi
90,NA,0.00178198,0.0244406,NA,1106.MTS.avi
91,NA,0.00209924,0.0155501,NA,1106.MTS.avi
92,NA,0.00193023,0.0158477,NA,1106.MTS.avi
93,NA,0.00271151,0.0202248,NA,1106.MTS.avi
94,NA,0.00466991,0.0210421,NA,1106.MTS.avi
95,NA,0.00327932,0.0112642,NA,1106.MTS.avi
96,NA,0.00283753,0.0199947,NA,1106.MTS.avi
97,NA,0.0020518,0.0267297,NA,1106.MTS.avi
98,NA,0.00249507,0.0244935,NA,1106.MTS.avi
99,NA,0.00828872,0.0151851,NA,1106.MTS.avi
100,NA,0.0114376,0.010127,NA,1106.MTS.avi
101,NA,0.00548529,0.0142105,NA,1106.MTS.avi
102,NA,0.00378337,0.0176567,NA,1106.MTS.avi
103,NA,0.00514283,0.0167297,NA,1106.MTS.avi
104,NA,0.00566616,0.00838006,NA,1106.MTS.avi
105,NA,0.00392273,0.0183007,NA,1106.MTS.avi
106,NA,0.00371369,0.0184779,NA,1106.MTS.avi
107,NA,0.00341719,0.0143811,NA,1106.MTS.avi
108,NA,0.00478851,0.00925946,NA,1106.MTS.avi
109,NA,0.00596266,0.00871859,NA,1106.MTS.avi
110,NA,0.00593746,0.0095689,NA,1106.MTS.avi
111,NA,0.00966746,0.015365,NA,1106.MTS.avi
112,NA,0.00991948,0.0174359,NA,1106.MTS.avi
113,NA,0.00598342,0.0126382,NA,1106.MTS.avi
114,NA,0.00397165,0.0128696,NA,1106.MTS.avi
115,NA,0.00503609,0.0131949,NA,1106.MTS.avi
116,NA,0.00894696,0.0142277,NA,1106.MTS.avi
117,NA,0.0100322,0.0107882,NA,1106.MTS.avi
118,NA,0.00618652,0.00698889,NA,1106.MTS.avi
119,NA,0.00257809,0.00804152,NA,1106.MTS.avi
120,NA,0.00261367,0.0131262,NA,1106.MTS.avi
121,NA,0.00186945,0.0149709,NA,1106.MTS.avi
122,NA,0.00124531,0.0105686,NA,1106.MTS.avi
123,NA,0.00135057,0.0132253,NA,1106.MTS.avi
124,NA,0.0010852,0.0146972,NA,1106.MTS.avi
125,NA,0.00186055,0.0116543,NA,1106.MTS.avi
126,NA,0.00331786,0.00640175,NA,1106.MTS.avi
127,NA,0.00390938,0.00336683,NA,1106.MTS.avi
128,NA,0.00292648,0.00790796,NA,1106.MTS.avi
129,NA,0.00187389,0.0108014,NA,1106.MTS.avi
130,NA,0.00148548,0.0128524,NA,1106.MTS.avi
131,NA,0.00389011,0.00893018,NA,1106.MTS.avi
132,NA,0.00694557,0.0156321,NA,1106.MTS.avi
133,NA,0.00732509,0.0224253,NA,1106.MTS.avi
134,NA,0.00571063,0.025968,NA,1106.MTS.avi
135,NA,0.0034498,0.0257366,NA,1106.MTS.avi
136,NA,0.00211703,0.0262602,NA,1106.MTS.avi
137,NA,0.00190206,0.0297752,NA,1106.MTS.avi
138,NA,0.00307176,0.0389421,NA,1106.MTS.avi
139,NA,0.00309548,0.049159,NA,1106.MTS.avi
140,NA,0.00281825,0.0545967,NA,1106.MTS.avi
141,NA,0.00358323,0.0581447,NA,1106.MTS.avi
142,NA,0.0047811,0.060931,NA,1106.MTS.avi
143,NA,0.00114598,0.0548863,NA,1106.MTS.avi
144,NA,0.00178494,0.0496165,NA,1106.MTS.avi
145,NA,0.00130461,0.0445649,NA,1106.MTS.avi
146,NA,0.00172861,0.0401415,NA,1106.MTS.avi
147,NA,0.00255288,0.0397871,NA,1106.MTS.avi
148,NA,0.00260329,0.0422851,NA,1106.MTS.avi
149,NA,0.0030347,0.0437887,NA,1106.MTS.avi
150,NA,0.00304656,0.0431394,NA,1106.MTS.avi
151,NA,0.00227862,0.0405104,NA,1106.MTS.avi
152,NA,0.00154922,0.0373102,NA,1106.MTS.avi
153,NA,0.00235275,0.033429,NA,1106.MTS.avi
154,NA,0.00434969,0.0333391,NA,1106.MTS.avi
155,NA,0.00908187,0.0369598,NA,1106.MTS.avi
156,NA,0.0149882,0.0407921,NA,1106.MTS.avi
157,NA,0.013227,0.0425126,NA,1106.MTS.avi
158,NA,0.00762307,0.0404946,NA,1106.MTS.avi
159,NA,0.00430077,0.041895,NA,1106.MTS.avi
160,NA,0.00386343,0.0462722,NA,1106.MTS.avi
161,NA,0.00334899,0.0455792,NA,1106.MTS.avi
162,NA,0.00344239,0.0403451,NA,1106.MTS.avi
163,NA,0.00393014,0.0405832,NA,1106.MTS.avi
164,NA,0.00293834,0.047465,NA,1106.MTS.avi
165,NA,0.00207255,0.0525469,NA,1106.MTS.avi
166,NA,0.00341274,0.0574187,NA,1106.MTS.avi
167,NA,0.00556535,0.0585745,NA,1106.MTS.avi
168,NA,0.00661348,0.0585797,NA,1106.MTS.avi
169,NA,0.00876609,0.051973,NA,1106.MTS.avi
170,NA,0.011147,0.0432505,NA,1106.MTS.avi
171,NA,0.0116377,0.0340439,NA,1106.MTS.avi
172,NA,0.0102086,0.0270127,NA,1106.MTS.avi
173,NA,0.00904184,0.0223221,NA,1106.MTS.avi
174,NA,0.00889359,0.0211293,NA,1106.MTS.avi
175,NA,0.0124516,0.0203782,NA,1106.MTS.avi
176,NA,0.0151305,0.0194327,NA,1106.MTS.avi
177,NA,0.0181934,0.0199828,NA,1106.MTS.avi
178,NA,0.0213289,0.0245729,NA,1106.MTS.avi
179,NA,0.0178924,0.0261558,NA,1106.MTS.avi
180,NA,0.0130342,0.0282372,NA,1106.MTS.avi
181,NA,0.0115176,0.0284224,NA,1106.MTS.avi
182,NA,0.0121655,0.0276197,NA,1106.MTS.avi
183,NA,0.00795219,0.0247765,NA,1106.MTS.avi
184,NA,0.00904777,0.0218011,NA,1106.MTS.avi
185,NA,0.0117845,0.0177956,NA,1106.MTS.avi
186,NA,0.0116184,0.0130032,NA,1106.MTS.avi
187,NA,0.0120306,0.0101389,NA,1106.MTS.avi
188,NA,0.0127081,0.0104285,NA,1106.MTS.avi
189,NA,0.0172194,0.0126488,NA,1106.MTS.avi
190,NA,0.0197989,0.00790003,NA,1106.MTS.avi
191,NA,0.0213022,0.00731156,NA,1106.MTS.avi
192,NA,0.0244926,0.00899762,NA,1106.MTS.avi
193,NA,0.0275806,0.0075324,NA,1106.MTS.avi
194,NA,0.0291743,0.00774927,NA,1106.MTS.avi
195,NA,0.0309237,0.00882439,NA,1106.MTS.avi
196,NA,0.0349591,0.0064229,NA,1106.MTS.avi
197,NA,0.0377492,0.00639381,NA,1106.MTS.avi
198,NA,0.0422857,0.00932029,NA,1106.MTS.avi
199,NA,0.0433798,0.0100503,NA,1106.MTS.avi
200,NA,0.0451973,0.00849114,NA,1106.MTS.avi
201,NA,0.0492683,0.00711055,NA,1106.MTS.avi
202,NA,0.0542154,0.0114229,NA,1106.MTS.avi
203,NA,0.0539946,0.0186723,NA,1106.MTS.avi
204,NA,0.0524779,0.0226752,NA,1106.MTS.avi
205,NA,0.0528575,0.0194644,NA,1106.MTS.avi
206,NA,0.0551939,0.0179159,NA,1106.MTS.avi
207,NA,0.0410122,0.0141351,NA,1106.MTS.avi
208,NA,0.0273953,0.0143481,NA,1106.MTS.avi
209,NA,0.0117534,0.0149021,NA,1106.MTS.avi
210,NA,0.00819829,0.0161359,NA,1106.MTS.avi
211,NA,0.00804114,0.0174888,NA,1106.MTS.avi
212,NA,0.00837323,0.0180389,NA,1106.MTS.avi
213,NA,0.0065779,0.0174557,NA,1106.MTS.avi
214,NA,0.00452907,0.0135625,NA,1106.MTS.avi
215,NA,0.00163669,0.0126593,NA,1106.MTS.avi
216,NA,0.000480334,0.0117416,NA,1106.MTS.avi
217,NA,0.00029502,0.0122375,NA,1106.MTS.avi
218,NA,0.000680473,0.010812,NA,1106.MTS.avi
219,NA,0.00103924,0.00682491,NA,1106.MTS.avi
220,NA,0.000772389,0.00478974,NA,1106.MTS.avi
221,NA,0.000573732,0.00336287,NA,1106.MTS.avi
222,NA,0.000788696,0.00487437,NA,1106.MTS.avi
223,NA,0.00122307,0.00905845,NA,1106.MTS.avi
224,NA,0.00150623,0.013786,NA,1106.MTS.avi
225,NA,0.00285235,0.0136921,NA,1106.MTS.avi
226,NA,0.00387084,0.0134369,NA,1106.MTS.avi
227,NA,0.00337123,0.0174821,NA,1106.MTS.avi
228,NA,0.00513987,0.0168249,NA,1106.MTS.avi
229,NA,0.0102397,0.0160632,NA,1106.MTS.avi
230,NA,0.0126399,0.0138998,NA,1106.MTS.avi
231,NA,0.010849,0.0124002,NA,1106.MTS.avi
232,NA,0.00947621,0.0210315,NA,1106.MTS.avi
233,NA,0.00769868,0.0249061,NA,1106.MTS.avi
234,NA,0.00574621,0.0271899,NA,1106.MTS.avi
235,NA,0.00538745,0.032301,NA,1106.MTS.avi
236,NA,0.00434376,0.0353385,NA,1106.MTS.avi
237,NA,0.00274413,0.0364956,NA,1106.MTS.avi
238,NA,0.00262553,0.0328379,NA,1106.MTS.avi
239,NA,0.00448163,0.0274954,NA,1106.MTS.avi
240,NA,0.00761566,0.0234488,NA,1106.MTS.avi
241,NA,0.0108979,0.0215313,NA,1106.MTS.avi
242,NA,0.0120558,0.014635,NA,1106.MTS.avi
243,NA,0.0137429,0.0108979,NA,1106.MTS.avi
244,NA,0.0152017,0.0111174,NA,1106.MTS.avi
245,NA,0.0136865,0.0132835,NA,1106.MTS.avi
246,NA,0.0109899,0.0173195,NA,1106.MTS.avi
