frame,father,mother,child,therapist,file
1,NA,0.00120244,0.0013908,NA,BALE050.MTS.avi
2,NA,0.000635252,0.000585449,NA,BALE050.MTS.avi
3,NA,0.000601761,0.000233408,NA,BALE050.MTS.avi
4,NA,0.000883735,0.000365544,NA,BALE050.MTS.avi
5,NA,0.000977726,0.000341432,NA,BALE050.MTS.avi
6,NA,0.00126078,0.000577733,NA,BALE050.MTS.avi
7,NA,0.00501827,0.00295136,NA,BALE050.MTS.avi
8,NA,0.00300016,0.00100597,NA,BALE050.MTS.avi
9,NA,0.00497722,0.000270059,NA,BALE050.MTS.avi
10,NA,0.00820534,0.000728194,NA,BALE050.MTS.avi
11,NA,0.00862236,0.000357828,NA,BALE050.MTS.avi
12,NA,0.00457209,0.000827538,NA,BALE050.MTS.avi
13,NA,0.00176531,0.000859366,NA,BALE050.MTS.avi
14,NA,0.00299044,0.000978963,NA,BALE050.MTS.avi
15,NA,0.00281866,0.000923023,NA,BALE050.MTS.avi
16,NA,0.000265769,0.00109181,NA,BALE050.MTS.avi
17,NA,0.000211751,0.00132811,NA,BALE050.MTS.avi
18,NA,0.000284135,0.000951957,NA,BALE050.MTS.avi
19,NA,0.00101878,0.000706976,NA,BALE050.MTS.avi
20,NA,0.00377586,0.000404124,NA,BALE050.MTS.avi
21,NA,0.00776995,0.000207367,NA,BALE050.MTS.avi
22,NA,0.0155907,4.72603e-05,NA,BALE050.MTS.avi
23,NA,0.0262474,5.59408e-05,NA,BALE050.MTS.avi
24,NA,0.0357005,4.43668e-05,NA,BALE050.MTS.avi
25,NA,0.0425586,0.000979928,NA,BALE050.MTS.avi
26,NA,0.0420844,0.000317319,NA,BALE050.MTS.avi
27,NA,0.0386175,7.42662e-05,NA,BALE050.MTS.avi
28,NA,0.0324421,7.23372e-05,NA,BALE050.MTS.avi
29,NA,0.0259168,0.000125384,NA,BALE050.MTS.avi
30,NA,0.0223202,4.72603e-05,NA,BALE050.MTS.avi
31,NA,0.0219789,6.07632e-05,NA,BALE050.MTS.avi
32,NA,0.0244518,0.000419556,NA,BALE050.MTS.avi
33,NA,0.0248861,1.73609e-05,NA,BALE050.MTS.avi
34,NA,0.0226714,9.64496e-07,NA,BALE050.MTS.avi
35,NA,0.0228993,4.82248e-06,NA,BALE050.MTS.avi
36,NA,0.0264613,0.000148532,NA,BALE050.MTS.avi
37,NA,0.0197479,0.00035397,NA,BALE050.MTS.avi
38,NA,0.0197566,9.45206e-05,NA,BALE050.MTS.avi
39,NA,0.0179545,3.27929e-05,NA,BALE050.MTS.avi
40,NA,0.015245,3.08639e-05,NA,BALE050.MTS.avi
41,NA,0.00920359,6.94437e-05,NA,BALE050.MTS.avi
42,NA,0.0107906,9.45206e-05,NA,BALE050.MTS.avi
43,NA,0.0140177,2.31479e-05,NA,BALE050.MTS.avi
44,NA,0.0213566,3.08639e-05,NA,BALE050.MTS.avi
45,NA,0.022747,0.000178432,NA,BALE050.MTS.avi
46,NA,0.0229587,0.000416662,NA,BALE050.MTS.avi
47,NA,0.0209763,0.000368437,NA,BALE050.MTS.avi
48,NA,0.0131793,0.000121526,NA,BALE050.MTS.avi
49,NA,0.00315033,6.65502e-05,NA,BALE050.MTS.avi
50,NA,0.00220826,6.26922e-05,NA,BALE050.MTS.avi
51,NA,0.00386661,0.000167822,NA,BALE050.MTS.avi
52,NA,0.00448782,0.000234373,NA,BALE050.MTS.avi
53,NA,0.00516952,0.000354935,NA,BALE050.MTS.avi
54,NA,0.0049783,0.000107059,NA,BALE050.MTS.avi
55,NA,0.00392603,1.06095e-05,NA,BALE050.MTS.avi
56,NA,0.00524407,1.25384e-05,NA,BALE050.MTS.avi
57,NA,0.00776563,2.89349e-06,NA,BALE050.MTS.avi
58,NA,0.00893134,2.31479e-05,NA,BALE050.MTS.avi
59,NA,0.0158943,0.00532691,NA,BALE050.MTS.avi
60,NA,0.0145287,0.0016136,NA,BALE050.MTS.avi
61,NA,0.0147772,5.97987e-05,NA,BALE050.MTS.avi
62,NA,0.0133554,1.35029e-05,NA,BALE050.MTS.avi
63,NA,0.0101738,0.000463923,NA,BALE050.MTS.avi
64,NA,0.00607163,0.000232444,NA,BALE050.MTS.avi
65,NA,0.0041864,1.54319e-05,NA,BALE050.MTS.avi
66,NA,0.00325297,2.89349e-05,NA,BALE050.MTS.avi
67,NA,0.00298936,5.11183e-05,NA,BALE050.MTS.avi
68,NA,0.00388282,9.16271e-05,NA,BALE050.MTS.avi
69,NA,0.00551524,9.06626e-05,NA,BALE050.MTS.avi
70,NA,0.00545474,0.000102237,NA,BALE050.MTS.avi
71,NA,0.00483245,0.000123455,NA,BALE050.MTS.avi
72,NA,0.00379747,0.00038194,NA,BALE050.MTS.avi
73,NA,0.00375749,0.000342396,NA,BALE050.MTS.avi
74,NA,0.00412914,9.45206e-05,NA,BALE050.MTS.avi
75,NA,0.00348308,0.000119597,NA,BALE050.MTS.avi
76,NA,0.00182905,6.17277e-05,NA,BALE050.MTS.avi
77,NA,0.00156436,4.82248e-05,NA,BALE050.MTS.avi
78,NA,0.00194249,4.82248e-05,NA,BALE050.MTS.avi
79,NA,0.00229361,3.66508e-05,NA,BALE050.MTS.avi
80,NA,0.00214776,0.000302852,NA,BALE050.MTS.avi
81,NA,0.00137314,0.0001331,NA,BALE050.MTS.avi
82,NA,0.000501287,1.54319e-05,NA,BALE050.MTS.avi
83,NA,0.000111277,0.000213154,NA,BALE050.MTS.avi
84,NA,0.000577993,0.000144674,NA,BALE050.MTS.avi
85,NA,0.000346796,0.000120562,NA,BALE050.MTS.avi
86,NA,0.000460234,4.24378e-05,NA,BALE050.MTS.avi
87,NA,0.000415939,2.31479e-05,NA,BALE050.MTS.avi
88,NA,0.000832958,0.000269094,NA,BALE050.MTS.avi
89,NA,0.000738967,0.000118633,NA,BALE050.MTS.avi
90,NA,0.00148874,0.00012442,NA,BALE050.MTS.avi
91,NA,0.00197922,3.66508e-05,NA,BALE050.MTS.avi
92,NA,0.00182041,0.000310568,NA,BALE050.MTS.avi
93,NA,0.00437006,0.00486202,NA,BALE050.MTS.avi
94,NA,0.000880494,5.11183e-05,NA,BALE050.MTS.avi
95,NA,0.000669823,2.12189e-05,NA,BALE050.MTS.avi
96,NA,0.000594198,1.25384e-05,NA,BALE050.MTS.avi
97,NA,0.000302501,2.50769e-05,NA,BALE050.MTS.avi
98,NA,0.000286296,5.40118e-05,NA,BALE050.MTS.avi
99,NA,0.000488323,5.88343e-05,NA,BALE050.MTS.avi
100,NA,0.000227956,2.79704e-05,NA,BALE050.MTS.avi
101,NA,0.000319787,0.000102237,NA,BALE050.MTS.avi
102,NA,7.13038e-05,5.11183e-05,NA,BALE050.MTS.avi
103,NA,3.56519e-05,4.05088e-05,NA,BALE050.MTS.avi
104,NA,9.93932e-05,8.10177e-05,NA,BALE050.MTS.avi
105,NA,0.000320867,0.000302852,NA,BALE050.MTS.avi
106,NA,2.91697e-05,0.000206402,NA,BALE050.MTS.avi
107,NA,9.72324e-06,3.27929e-05,NA,BALE050.MTS.avi
