frame,father,mother,child,therapist,file
1,NA,0.0195342,0.000250623,NA,BALU062.MTS.avi
2,NA,0.0172197,0.000309064,NA,BALU062.MTS.avi
3,NA,0.0165754,0.000215783,NA,BALU062.MTS.avi
4,NA,0.0163363,0.000193306,NA,BALU062.MTS.avi
5,NA,0.0151168,7.30516e-05,NA,BALU062.MTS.avi
6,NA,0.0144389,0.000100025,NA,BALU062.MTS.avi
7,NA,0.0140653,3.70877e-05,NA,BALU062.MTS.avi
8,NA,0.0146178,3.37161e-05,NA,BALU062.MTS.avi
9,NA,0.0146435,1.01148e-05,NA,BALU062.MTS.avi
10,NA,0.00999881,2.24774e-06,NA,BALU062.MTS.avi
11,NA,0.0086993,5.61935e-06,NA,BALU062.MTS.avi
12,NA,0.00705886,0.000427071,NA,BALU062.MTS.avi
13,NA,0.003943,0.00421789,NA,BALU062.MTS.avi
14,NA,0.00235592,0.00795701,NA,BALU062.MTS.avi
15,NA,0.00304273,0.00847848,NA,BALU062.MTS.avi
16,NA,0.00270476,0.00468991,NA,BALU062.MTS.avi
17,NA,0.00114436,0.00197576,NA,BALU062.MTS.avi
18,NA,0.000640367,0.00384364,NA,BALU062.MTS.avi
19,NA,0.000748083,0.00374361,NA,BALU062.MTS.avi
20,NA,0.00152779,0.00173526,NA,BALU062.MTS.avi
21,NA,0.00328188,0.000548449,NA,BALU062.MTS.avi
22,NA,0.00603111,0.000496751,NA,BALU062.MTS.avi
23,NA,0.00920132,0.000860885,NA,BALU062.MTS.avi
24,NA,0.012412,0.000519228,NA,BALU062.MTS.avi
25,NA,0.0126156,0.000231517,NA,BALU062.MTS.avi
26,NA,0.011328,0.000222526,NA,BALU062.MTS.avi
27,NA,0.00937228,0.000338285,NA,BALU062.MTS.avi
28,NA,0.00713792,0.000515857,NA,BALU062.MTS.avi
29,NA,0.00609238,0.000620377,NA,BALU062.MTS.avi
30,NA,0.00593031,0.000620377,NA,BALU062.MTS.avi
31,NA,0.00562297,0.000475397,NA,BALU062.MTS.avi
32,NA,0.00482746,0.000724897,NA,BALU062.MTS.avi
33,NA,0.00518717,0.000760861,NA,BALU062.MTS.avi
34,NA,0.00494407,0.000414708,NA,BALU062.MTS.avi
35,NA,0.00454977,0.000312436,NA,BALU062.MTS.avi
36,NA,0.00394695,0.000973272,NA,BALU062.MTS.avi
37,NA,0.00283125,0.00252197,NA,BALU062.MTS.avi
38,NA,0.00221361,0.00468654,NA,BALU062.MTS.avi
39,NA,0.00185588,0.00596326,NA,BALU062.MTS.avi
40,NA,0.00151,0.00534625,NA,BALU062.MTS.avi
41,NA,0.00165823,0.00500797,NA,BALU062.MTS.avi
42,NA,0.00133904,0.00416956,NA,BALU062.MTS.avi
43,NA,0.00159598,0.0030648,NA,BALU062.MTS.avi
44,NA,0.00217112,0.0033379,NA,BALU062.MTS.avi
45,NA,0.00306151,0.00661286,NA,BALU062.MTS.avi
46,NA,0.00377401,0.0111949,NA,BALU062.MTS.avi
47,NA,0.00398253,0.0132853,NA,BALU062.MTS.avi
48,NA,0.00297158,0.0128391,NA,BALU062.MTS.avi
49,NA,0.00169085,0.0162062,NA,BALU062.MTS.avi
50,NA,0.00273441,0.0330733,NA,BALU062.MTS.avi
51,NA,0.00342122,0.0605755,NA,BALU062.MTS.avi
