frame,father,mother,child,therapist,file
1,NA,0.00509321,0.0312283,NA,COLO022.MTS.avi
2,NA,0.00603316,0.0400646,NA,COLO022.MTS.avi
3,NA,0.0064585,0.0469101,NA,COLO022.MTS.avi
4,NA,0.00239814,0.045938,NA,COLO022.MTS.avi
5,NA,0.00360313,0.0355582,NA,COLO022.MTS.avi
6,NA,0.00525806,0.0254026,NA,COLO022.MTS.avi
7,NA,0.00619437,0.0223179,NA,COLO022.MTS.avi
8,NA,0.0052863,0.019766,NA,COLO022.MTS.avi
9,NA,0.00495021,0.0172629,NA,COLO022.MTS.avi
10,NA,0.00462141,0.0139016,NA,COLO022.MTS.avi
11,NA,0.00541927,0.0115329,NA,COLO022.MTS.avi
12,NA,0.00594936,0.0102876,NA,COLO022.MTS.avi
13,NA,0.00456494,0.00832298,NA,COLO022.MTS.avi
14,NA,0.00435181,0.00847779,NA,COLO022.MTS.avi
15,NA,0.00422612,0.00896952,NA,COLO022.MTS.avi
16,NA,0.00411956,0.00796785,NA,COLO022.MTS.avi
17,NA,0.00348837,0.0084812,NA,COLO022.MTS.avi
18,NA,0.00263222,0.00778572,NA,COLO022.MTS.avi
19,NA,0.000969094,0.00602938,NA,COLO022.MTS.avi
20,NA,0.000150282,0.00535667,NA,COLO022.MTS.avi
21,NA,0.000195823,0.00643574,NA,COLO022.MTS.avi
22,NA,0.000203109,0.0129159,NA,COLO022.MTS.avi
23,NA,0.000211306,0.0183727,NA,COLO022.MTS.avi
24,NA,0.000212217,0.0196703,NA,COLO022.MTS.avi
25,NA,0.000541927,0.0191684,NA,COLO022.MTS.avi
26,NA,0.000326067,0.0196863,NA,COLO022.MTS.avi
27,NA,0.000366143,0.0212855,NA,COLO022.MTS.avi
28,NA,0.000907159,0.02231,NA,COLO022.MTS.avi
29,NA,0.00120863,0.0219674,NA,COLO022.MTS.avi
30,NA,0.00144635,0.0222428,NA,COLO022.MTS.avi
31,NA,0.00149463,0.0212537,NA,COLO022.MTS.avi
32,NA,0.00120863,0.0207927,NA,COLO022.MTS.avi
33,NA,0.000846135,0.0199378,NA,COLO022.MTS.avi
34,NA,0.000740482,0.018877,NA,COLO022.MTS.avi
35,NA,0.000372518,0.0163056,NA,COLO022.MTS.avi
36,NA,0.000275062,0.0134918,NA,COLO022.MTS.avi
37,NA,0.000770539,0.0118118,NA,COLO022.MTS.avi
38,NA,0.00119042,0.0110116,NA,COLO022.MTS.avi
39,NA,0.00109205,0.0094897,NA,COLO022.MTS.avi
40,NA,0.00131975,0.00800313,NA,COLO022.MTS.avi
41,NA,0.00175967,0.00840722,NA,COLO022.MTS.avi
42,NA,0.00229887,0.010579,NA,COLO022.MTS.avi
43,NA,0.00237811,0.0120633,NA,COLO022.MTS.avi
44,NA,0.00251837,0.011781,NA,COLO022.MTS.avi
45,NA,0.00276884,0.0101681,NA,COLO022.MTS.avi
46,NA,0.00271419,0.00793142,NA,COLO022.MTS.avi
47,NA,0.00177789,0.00746587,NA,COLO022.MTS.avi
48,NA,0.00121592,0.0137184,NA,COLO022.MTS.avi
49,NA,0.000517336,0.0205901,NA,COLO022.MTS.avi
50,NA,0.00198373,0.0246798,NA,COLO022.MTS.avi
51,NA,0.00405398,0.0277918,NA,COLO022.MTS.avi
52,NA,0.00470885,0.0269529,NA,COLO022.MTS.avi
53,NA,0.00520341,0.0254857,NA,COLO022.MTS.avi
54,NA,0.00556956,0.0203453,NA,COLO022.MTS.avi
55,NA,0.00667345,0.0157467,NA,COLO022.MTS.avi
56,NA,0.00513328,0.0136364,NA,COLO022.MTS.avi
57,NA,0.00387182,0.0124924,NA,COLO022.MTS.avi
58,NA,0.00362135,0.0112051,NA,COLO022.MTS.avi
59,NA,0.0134025,0.0214779,NA,COLO022.MTS.avi
60,NA,0.0595838,0.0742444,NA,COLO022.MTS.avi
61,NA,0.124173,0.15553,NA,COLO022.MTS.avi
62,NA,0.166343,0.207144,NA,COLO022.MTS.avi
63,NA,0.141574,0.175355,NA,COLO022.MTS.avi
64,NA,0.0655878,0.0782955,NA,COLO022.MTS.avi
65,NA,0.019575,0.0258249,NA,COLO022.MTS.avi
66,NA,0.00821908,0.0140621,NA,COLO022.MTS.avi
67,NA,0.0140828,0.0169078,NA,COLO022.MTS.avi
68,NA,0.00633736,0.0148737,NA,COLO022.MTS.avi
69,NA,0.00232346,0.0140393,NA,COLO022.MTS.avi
70,NA,0.0087774,0.0147872,NA,COLO022.MTS.avi
71,NA,0.0140646,0.0212013,NA,COLO022.MTS.avi
72,NA,0.00301567,0.0232786,NA,COLO022.MTS.avi
73,NA,0.00630366,0.0267503,NA,COLO022.MTS.avi
74,NA,0.00191086,0.0196772,NA,COLO022.MTS.avi
75,NA,0.00841126,0.0206959,NA,COLO022.MTS.avi
76,NA,0.00526079,0.0218103,NA,COLO022.MTS.avi
77,NA,0.00457769,0.024813,NA,COLO022.MTS.avi
78,NA,0.00160301,0.0170478,NA,COLO022.MTS.avi
79,NA,0.00426256,0.0169874,NA,COLO022.MTS.avi
80,NA,0.00237811,0.0185753,NA,COLO022.MTS.avi
81,NA,0.0033809,0.0172083,NA,COLO022.MTS.avi
82,NA,0.0028417,0.0114054,NA,COLO022.MTS.avi
83,NA,0.0142677,0.0100679,NA,COLO022.MTS.avi
84,NA,0.0225396,0.00682161,NA,COLO022.MTS.avi
85,NA,0.029439,0.00406588,NA,COLO022.MTS.avi
86,NA,0.0311258,0.00436752,NA,COLO022.MTS.avi
87,NA,0.0209639,0.00412848,NA,COLO022.MTS.avi
88,NA,0.017165,0.00353317,NA,COLO022.MTS.avi
89,NA,0.0138433,0.00477046,NA,COLO022.MTS.avi
90,NA,0.0126656,0.00513698,NA,COLO022.MTS.avi
91,NA,0.0112621,0.00420816,NA,COLO022.MTS.avi
92,NA,0.0121419,0.00568221,NA,COLO022.MTS.avi
93,NA,0.0135045,0.00747839,NA,COLO022.MTS.avi
94,NA,0.0176268,0.00778117,NA,COLO022.MTS.avi
95,NA,0.0237264,0.0113667,NA,COLO022.MTS.avi
96,NA,0.0213146,0.0182862,NA,COLO022.MTS.avi
97,NA,0.0191569,0.0166824,NA,COLO022.MTS.avi
98,NA,0.0165138,0.0182145,NA,COLO022.MTS.avi
99,NA,0.0134744,0.0195429,NA,COLO022.MTS.avi
100,NA,0.0131575,0.0164513,NA,COLO022.MTS.avi
101,NA,0.0140364,0.0164661,NA,COLO022.MTS.avi
102,NA,0.0135254,0.0175406,NA,COLO022.MTS.avi
103,NA,0.0146821,0.0157684,NA,COLO022.MTS.avi
104,NA,0.0138588,0.015996,NA,COLO022.MTS.avi
105,NA,0.0148834,0.0161463,NA,COLO022.MTS.avi
106,NA,0.0162624,0.014596,NA,COLO022.MTS.avi
107,NA,0.0154408,0.013831,NA,COLO022.MTS.avi
108,NA,0.0143169,0.0123251,NA,COLO022.MTS.avi
109,NA,0.0163143,0.0106507,NA,COLO022.MTS.avi
110,NA,0.0192106,0.010653,NA,COLO022.MTS.avi
111,NA,0.0176158,0.0107862,NA,COLO022.MTS.avi
112,NA,0.0142714,0.0105221,NA,COLO022.MTS.avi
113,NA,0.0132904,0.0104083,NA,COLO022.MTS.avi
114,NA,0.0132813,0.00960467,NA,COLO022.MTS.avi
115,NA,0.0139116,0.00767759,NA,COLO022.MTS.avi
116,NA,0.0145273,0.0070561,NA,COLO022.MTS.avi
117,NA,0.0148597,0.0076958,NA,COLO022.MTS.avi
118,NA,0.0160602,0.00764686,NA,COLO022.MTS.avi
119,NA,0.0173781,0.00681251,NA,COLO022.MTS.avi
120,NA,0.0193828,0.00612158,NA,COLO022.MTS.avi
121,NA,0.0211762,0.0049025,NA,COLO022.MTS.avi
122,NA,0.0226316,0.00490592,NA,COLO022.MTS.avi
123,NA,0.0258376,0.00534642,NA,COLO022.MTS.avi
124,NA,0.0286256,0.00457468,NA,COLO022.MTS.avi
125,NA,0.0317351,0.00434931,NA,COLO022.MTS.avi
126,NA,0.0344311,0.00441874,NA,COLO022.MTS.avi
127,NA,0.0352499,0.00412507,NA,COLO022.MTS.avi
128,NA,0.0356233,0.00392132,NA,COLO022.MTS.avi
129,NA,0.033758,0.00435272,NA,COLO022.MTS.avi
130,NA,0.0295373,0.00297314,NA,COLO022.MTS.avi
131,NA,0.0221635,0.00137616,NA,COLO022.MTS.avi
132,NA,0.0137777,0.00231068,NA,COLO022.MTS.avi
133,NA,0.0116064,0.00353317,NA,COLO022.MTS.avi
134,NA,0.00914719,0.00407954,NA,COLO022.MTS.avi
135,NA,0.00587923,0.00433906,NA,COLO022.MTS.avi
136,NA,0.00223875,0.00395774,NA,COLO022.MTS.avi
137,NA,0.000907159,0.00386554,NA,COLO022.MTS.avi
138,NA,0.000464509,0.00386668,NA,COLO022.MTS.avi
139,NA,0.000287814,0.00326113,NA,COLO022.MTS.avi
140,NA,0.000845225,0.00336812,NA,COLO022.MTS.avi
141,NA,0.00162669,0.00381774,NA,COLO022.MTS.avi
142,NA,0.00193819,0.00352065,NA,COLO022.MTS.avi
143,NA,0.00223693,0.00281493,NA,COLO022.MTS.avi
144,NA,0.00303935,0.00156056,NA,COLO022.MTS.avi
145,NA,0.00432085,0.000855974,NA,COLO022.MTS.avi
146,NA,0.00506497,0.00156967,NA,COLO022.MTS.avi
147,NA,0.00423159,0.00360033,NA,COLO022.MTS.avi
148,NA,0.00245552,0.00498332,NA,COLO022.MTS.avi
149,NA,0.00190358,0.00568221,NA,COLO022.MTS.avi
150,NA,0.00162396,0.00542269,NA,COLO022.MTS.avi
151,NA,0.0026641,0.00461338,NA,COLO022.MTS.avi
152,NA,0.00358674,0.00355935,NA,COLO022.MTS.avi
153,NA,0.00343464,0.00297542,NA,COLO022.MTS.avi
154,NA,0.00239086,0.00265898,NA,COLO022.MTS.avi
155,NA,0.00220961,0.00291282,NA,COLO022.MTS.avi
156,NA,0.00403485,0.00262256,NA,COLO022.MTS.avi
157,NA,0.00631641,0.00251556,NA,COLO022.MTS.avi
158,NA,0.00619619,0.00294127,NA,COLO022.MTS.avi
159,NA,0.00572621,0.00266581,NA,COLO022.MTS.avi
160,NA,0.00790759,0.00228677,NA,COLO022.MTS.avi
161,NA,0.00990407,0.00190545,NA,COLO022.MTS.avi
162,NA,0.00876829,0.00155942,NA,COLO022.MTS.avi
163,NA,0.00741484,0.00147633,NA,COLO022.MTS.avi
164,NA,0.00882659,0.00157308,NA,COLO022.MTS.avi
165,NA,0.00881475,0.00197716,NA,COLO022.MTS.avi
166,NA,0.00874006,0.00251442,NA,COLO022.MTS.avi
167,NA,0.0094942,0.00275687,NA,COLO022.MTS.avi
168,NA,0.0111063,0.00246093,NA,COLO022.MTS.avi
169,NA,0.0203683,0.00255199,NA,COLO022.MTS.avi
170,NA,0.0178472,0.00234255,NA,COLO022.MTS.avi
171,NA,0.0166513,0.00178935,NA,COLO022.MTS.avi
172,NA,0.0144435,0.00124526,NA,COLO022.MTS.avi
173,NA,0.0144936,0.000644257,NA,COLO022.MTS.avi
174,NA,0.0145364,0.00182122,NA,COLO022.MTS.avi
175,NA,0.01643,0.00357415,NA,COLO022.MTS.avi
176,NA,0.0197444,0.00430378,NA,COLO022.MTS.avi
177,NA,0.0232346,0.00459631,NA,COLO022.MTS.avi
178,NA,0.02662,0.00419792,NA,COLO022.MTS.avi
179,NA,0.0291129,0.00378131,NA,COLO022.MTS.avi
180,NA,0.0296075,0.00382343,NA,COLO022.MTS.avi
181,NA,0.0295601,0.00403515,NA,COLO022.MTS.avi
182,NA,0.0263896,0.00437662,NA,COLO022.MTS.avi
183,NA,0.0152496,0.00528837,NA,COLO022.MTS.avi
184,NA,0.00860344,0.00729399,NA,COLO022.MTS.avi
185,NA,0.00115034,0.00841177,NA,COLO022.MTS.avi
186,NA,0.000957253,0.00905034,NA,COLO022.MTS.avi
187,NA,0.00105744,0.00854836,NA,COLO022.MTS.avi
188,NA,0.00149372,0.00783353,NA,COLO022.MTS.avi
189,NA,0.00161303,0.00761271,NA,COLO022.MTS.avi
190,NA,0.00136803,0.00710277,NA,COLO022.MTS.avi
191,NA,0.000846135,0.00605784,NA,COLO022.MTS.avi
192,NA,0.000867084,0.005203,NA,COLO022.MTS.avi
193,NA,0.000577449,0.00394522,NA,COLO022.MTS.avi
194,NA,0.000482725,0.00346032,NA,COLO022.MTS.avi
195,NA,0.000597486,0.00284566,NA,COLO022.MTS.avi
196,NA,0.000418969,0.00235962,NA,COLO022.MTS.avi
197,NA,0.000348837,0.00208302,NA,COLO022.MTS.avi
198,NA,0.000458134,0.00172333,NA,COLO022.MTS.avi
199,NA,0.000540106,0.00138868,NA,COLO022.MTS.avi
200,NA,0.000551035,0.000597588,NA,COLO022.MTS.avi
201,NA,0.000344283,0.000692064,NA,COLO022.MTS.avi
