frame,father,mother,child,therapist,file
1,NA,0.00136947,0.0340288,NA,JEEO040.MTS.avi
2,NA,0.002307,0.0259453,NA,JEEO040.MTS.avi
3,NA,0.00149525,0.019104,NA,JEEO040.MTS.avi
4,NA,0.00179314,0.0139014,NA,JEEO040.MTS.avi
5,NA,0.00547871,0.0138307,NA,JEEO040.MTS.avi
6,NA,0.00972282,0.0225394,NA,JEEO040.MTS.avi
7,NA,0.014058,0.0331091,NA,JEEO040.MTS.avi
8,NA,0.0275135,0.0338248,NA,JEEO040.MTS.avi
9,NA,0.0409625,0.0379677,NA,JEEO040.MTS.avi
10,NA,0.0473803,0.0292096,NA,JEEO040.MTS.avi
11,NA,0.0476807,0.0280859,NA,JEEO040.MTS.avi
12,NA,0.0467233,0.0193129,NA,JEEO040.MTS.avi
13,NA,0.0436071,0.0175278,NA,JEEO040.MTS.avi
14,NA,0.0387672,0.0187782,NA,JEEO040.MTS.avi
15,NA,0.0332612,0.0177844,NA,JEEO040.MTS.avi
16,NA,0.026552,0.00881735,NA,JEEO040.MTS.avi
17,NA,0.0206579,0.005836,NA,JEEO040.MTS.avi
18,NA,0.0175855,0.00976342,NA,JEEO040.MTS.avi
19,NA,0.0115954,0.0203462,NA,JEEO040.MTS.avi
20,NA,0.00911463,0.0115733,NA,JEEO040.MTS.avi
21,NA,0.00800167,0.00496562,NA,JEEO040.MTS.avi
22,NA,0.00690113,0.0113528,NA,JEEO040.MTS.avi
23,NA,0.00686224,0.00821845,NA,JEEO040.MTS.avi
24,NA,0.00741417,0.0121936,NA,JEEO040.MTS.avi
25,NA,0.00600581,0.00720163,NA,JEEO040.MTS.avi
26,NA,0.00667358,0.0143786,NA,JEEO040.MTS.avi
27,NA,0.00653953,0.02198,NA,JEEO040.MTS.avi
28,NA,0.00657842,0.0294021,NA,JEEO040.MTS.avi
29,NA,0.00664875,0.0319063,NA,JEEO040.MTS.avi
30,NA,0.00575177,0.0304091,NA,JEEO040.MTS.avi
31,NA,0.00558049,0.0285416,NA,JEEO040.MTS.avi
32,NA,0.0073819,0.0290056,NA,JEEO040.MTS.avi
33,NA,0.00906581,0.031393,NA,JEEO040.MTS.avi
34,NA,0.00909642,0.0313617,NA,JEEO040.MTS.avi
35,NA,0.0104907,0.0335089,NA,JEEO040.MTS.avi
36,NA,0.0112073,0.03124,NA,JEEO040.MTS.avi
37,NA,0.0077493,0.0250305,NA,JEEO040.MTS.avi
38,NA,0.00838231,0.0220179,NA,JEEO040.MTS.avi
39,NA,0.0084452,0.017253,NA,JEEO040.MTS.avi
40,NA,0.00704677,0.0137566,NA,JEEO040.MTS.avi
