frame,father,mother,child,therapist,file
1,NA,0.00125658,0.00528571,NA,JOCE014.MTS.avi
2,NA,0.000492442,0.0021171,NA,JOCE014.MTS.avi
3,NA,0.0025591,0.00465071,NA,JOCE014.MTS.avi
4,NA,0.000457481,0.002563,NA,JOCE014.MTS.avi
5,NA,0.00044949,0.00117162,NA,JOCE014.MTS.avi
6,NA,0.00174702,0.00202255,NA,JOCE014.MTS.avi
7,NA,0.00117667,0.00082154,NA,JOCE014.MTS.avi
8,NA,0.000668242,0.000847094,NA,JOCE014.MTS.avi
9,NA,0.000828061,0.000173763,NA,JOCE014.MTS.avi
10,NA,0.000472464,0.000479125,NA,JOCE014.MTS.avi
11,NA,0.000267696,0.000260644,NA,JOCE014.MTS.avi
12,NA,0.00108077,0.000615836,NA,JOCE014.MTS.avi
13,NA,0.00160019,0.000430574,NA,JOCE014.MTS.avi
14,NA,0.00325731,7.66601e-05,NA,JOCE014.MTS.avi
15,NA,0.00321336,0.000330916,NA,JOCE014.MTS.avi
16,NA,0.0027379,0.000627335,NA,JOCE014.MTS.avi
17,NA,0.00345708,0.00183729,NA,JOCE014.MTS.avi
18,NA,0.00304754,0.000868814,NA,JOCE014.MTS.avi
19,NA,0.00179397,9.71028e-05,NA,JOCE014.MTS.avi
20,NA,0.000648265,5.74951e-05,NA,JOCE014.MTS.avi
21,NA,0.000984883,0.000144376,NA,JOCE014.MTS.avi
22,NA,0.000535393,2.42757e-05,NA,JOCE014.MTS.avi
23,NA,0.000215755,6.38834e-05,NA,JOCE014.MTS.avi
24,NA,0.000117866,0.000143099,NA,JOCE014.MTS.avi
25,NA,8.59026e-05,5.87727e-05,NA,JOCE014.MTS.avi
26,NA,0.000191783,0.000154598,NA,JOCE014.MTS.avi
27,NA,0.000200772,4.08854e-05,NA,JOCE014.MTS.avi
28,NA,0.000213758,2.6831e-05,NA,JOCE014.MTS.avi
29,NA,0.00067923,5.62174e-05,NA,JOCE014.MTS.avi
30,NA,0.00170407,0.000145654,NA,JOCE014.MTS.avi
31,NA,0.00430612,0.000549397,NA,JOCE014.MTS.avi
32,NA,0.00590131,0.000867537,NA,JOCE014.MTS.avi
33,NA,0.00551175,0.00114224,NA,JOCE014.MTS.avi
34,NA,0.00598322,0.00135816,NA,JOCE014.MTS.avi
35,NA,0.0067054,0.000913533,NA,JOCE014.MTS.avi
36,NA,0.00712292,0.000535343,NA,JOCE014.MTS.avi
37,NA,0.00669041,0.000189095,NA,JOCE014.MTS.avi
38,NA,0.00577545,0.000109879,NA,JOCE014.MTS.avi
39,NA,0.00447792,0.000692496,NA,JOCE014.MTS.avi
40,NA,0.00321735,0.000560896,NA,JOCE014.MTS.avi
41,NA,0.00241426,0.000688663,NA,JOCE014.MTS.avi
42,NA,0.00201771,0.000443351,NA,JOCE014.MTS.avi
43,NA,0.00171106,0.000426741,NA,JOCE014.MTS.avi
44,NA,0.00168609,0.00115884,NA,JOCE014.MTS.avi
45,NA,0.0016761,0.00358386,NA,JOCE014.MTS.avi
46,NA,0.00151928,0.00366435,NA,JOCE014.MTS.avi
47,NA,0.0012346,0.00313923,NA,JOCE014.MTS.avi
48,NA,0.00118066,0.00176574,NA,JOCE014.MTS.avi
49,NA,0.0010588,0.000311751,NA,JOCE014.MTS.avi
50,NA,0.00102184,0.000327083,NA,JOCE014.MTS.avi
51,NA,0.000976892,0.000497013,NA,JOCE014.MTS.avi
52,NA,0.000920956,0.00037819,NA,JOCE014.MTS.avi
53,NA,0.000668242,0.000158431,NA,JOCE014.MTS.avi
54,NA,0.000586335,7.92154e-05,NA,JOCE014.MTS.avi
55,NA,0.000357594,5.49397e-05,NA,JOCE014.MTS.avi
56,NA,0.000204768,7.53824e-05,NA,JOCE014.MTS.avi
57,NA,0.000995871,2.04427e-05,NA,JOCE014.MTS.avi
58,NA,0.00307351,6.38834e-06,NA,JOCE014.MTS.avi
59,NA,0.00460678,2.6831e-05,NA,JOCE014.MTS.avi
60,NA,0.0055537,0.000703995,NA,JOCE014.MTS.avi
61,NA,0.00557268,0.00112563,NA,JOCE014.MTS.avi
62,NA,0.00268795,0.00260133,NA,JOCE014.MTS.avi
63,NA,0.00175601,0.00454339,NA,JOCE014.MTS.avi
64,NA,0.00387161,0.00593477,NA,JOCE014.MTS.avi
65,NA,0.00501831,0.00668093,NA,JOCE014.MTS.avi
66,NA,0.00687021,0.0053036,NA,JOCE014.MTS.avi
67,NA,0.0116088,0.003175,NA,JOCE014.MTS.avi
68,NA,0.0151968,0.00139266,NA,JOCE014.MTS.avi
69,NA,0.0155703,0.000606892,NA,JOCE014.MTS.avi
70,NA,0.0144536,0.000715494,NA,JOCE014.MTS.avi
71,NA,0.0148402,0.000880313,NA,JOCE014.MTS.avi
72,NA,0.015916,0.0034957,NA,JOCE014.MTS.avi
73,NA,0.0157681,0.0085361,NA,JOCE014.MTS.avi
74,NA,0.0162705,0.015378,NA,JOCE014.MTS.avi
75,NA,0.0146494,0.0185926,NA,JOCE014.MTS.avi
76,NA,0.0137424,0.0154419,NA,JOCE014.MTS.avi
77,NA,0.0137534,0.0141412,NA,JOCE014.MTS.avi
78,NA,0.0126117,0.0112409,NA,JOCE014.MTS.avi
79,NA,0.0109766,0.00635129,NA,JOCE014.MTS.avi
80,NA,0.00829759,0.0031584,NA,JOCE014.MTS.avi
81,NA,0.00845641,0.00322356,NA,JOCE014.MTS.avi
82,NA,0.0104392,0.00397738,NA,JOCE014.MTS.avi
83,NA,0.0113991,0.00498802,NA,JOCE014.MTS.avi
84,NA,0.012312,0.00748458,NA,JOCE014.MTS.avi
85,NA,0.00958213,0.0113904,NA,JOCE014.MTS.avi
86,NA,0.00695312,0.0135944,NA,JOCE014.MTS.avi
87,NA,0.00561463,0.0148951,NA,JOCE014.MTS.avi
88,NA,0.00579043,0.0145411,NA,JOCE014.MTS.avi
89,NA,0.00592628,0.0126387,NA,JOCE014.MTS.avi
90,NA,0.00754944,0.0118133,NA,JOCE014.MTS.avi
91,NA,0.00968002,0.0115233,NA,JOCE014.MTS.avi
92,NA,0.0102734,0.0139815,NA,JOCE014.MTS.avi
93,NA,0.00919058,0.0144964,NA,JOCE014.MTS.avi
94,NA,0.00700206,0.0129044,NA,JOCE014.MTS.avi
95,NA,0.00799094,0.0115501,NA,JOCE014.MTS.avi
96,NA,0.00735866,0.0136864,NA,JOCE014.MTS.avi
97,NA,0.00581041,0.0130003,NA,JOCE014.MTS.avi
98,NA,0.00391156,0.0146037,NA,JOCE014.MTS.avi
99,NA,0.00418825,0.0160756,NA,JOCE014.MTS.avi
100,NA,0.00549777,0.0135701,NA,JOCE014.MTS.avi
101,NA,0.00773323,0.0117047,NA,JOCE014.MTS.avi
102,NA,0.00888692,0.011499,NA,JOCE014.MTS.avi
103,NA,0.00989378,0.0106276,NA,JOCE014.MTS.avi
104,NA,0.0126137,0.00469543,NA,JOCE014.MTS.avi
105,NA,0.013231,0.00208643,NA,JOCE014.MTS.avi
106,NA,0.0137184,0.00642411,NA,JOCE014.MTS.avi
107,NA,0.0152337,0.00780272,NA,JOCE014.MTS.avi
108,NA,0.014135,0.00729676,NA,JOCE014.MTS.avi
109,NA,0.0102374,0.00714727,NA,JOCE014.MTS.avi
110,NA,0.00736065,0.00790238,NA,JOCE014.MTS.avi
111,NA,0.0076723,0.014384,NA,JOCE014.MTS.avi
112,NA,0.0113571,0.021208,NA,JOCE014.MTS.avi
113,NA,0.0145345,0.0241109,NA,JOCE014.MTS.avi
114,NA,0.0183382,0.0205066,NA,JOCE014.MTS.avi
115,NA,0.0176829,0.0148031,NA,JOCE014.MTS.avi
116,NA,0.0130472,0.0147507,NA,JOCE014.MTS.avi
117,NA,0.0139682,0.0144198,NA,JOCE014.MTS.avi
118,NA,0.0196577,0.0149257,NA,JOCE014.MTS.avi
119,NA,0.0209313,0.0145756,NA,JOCE014.MTS.avi
120,NA,0.0196707,0.0134577,NA,JOCE014.MTS.avi
121,NA,0.025539,0.0123193,NA,JOCE014.MTS.avi
122,NA,0.0265199,0.0108653,NA,JOCE014.MTS.avi
123,NA,0.0240148,0.00932186,NA,JOCE014.MTS.avi
124,NA,0.0222038,0.00841983,NA,JOCE014.MTS.avi
125,NA,0.0278025,0.00548886,NA,JOCE014.MTS.avi
126,NA,0.0297073,0.0028837,NA,JOCE014.MTS.avi
127,NA,0.0286765,0.00138755,NA,JOCE014.MTS.avi
128,NA,0.0347686,0.00111285,NA,JOCE014.MTS.avi
129,NA,0.0403952,0.00136838,NA,JOCE014.MTS.avi
130,NA,0.0435266,0.000411409,NA,JOCE014.MTS.avi
131,NA,0.049399,0.00030664,NA,JOCE014.MTS.avi
132,NA,0.0485719,0.000235091,NA,JOCE014.MTS.avi
133,NA,0.0418186,0.000171207,NA,JOCE014.MTS.avi
134,NA,0.0286205,0.000787043,NA,JOCE014.MTS.avi
135,NA,0.0129084,0.00161625,NA,JOCE014.MTS.avi
136,NA,0.00682126,0.00181429,NA,JOCE014.MTS.avi
137,NA,0.00650562,0.0022142,NA,JOCE014.MTS.avi
138,NA,0.00870513,0.00340371,NA,JOCE014.MTS.avi
139,NA,0.00962509,0.00198294,NA,JOCE014.MTS.avi
140,NA,0.0102234,0.00217715,NA,JOCE014.MTS.avi
141,NA,0.0156313,0.00261539,NA,JOCE014.MTS.avi
142,NA,0.0186229,0.000942919,NA,JOCE014.MTS.avi
143,NA,0.0208484,0.000922476,NA,JOCE014.MTS.avi
144,NA,0.0206456,0.000577506,NA,JOCE014.MTS.avi
145,NA,0.0178538,0.000182707,NA,JOCE014.MTS.avi
146,NA,0.0138463,0.0001316,NA,JOCE014.MTS.avi
147,NA,0.00770227,4.5996e-05,NA,JOCE014.MTS.avi
148,NA,0.00842345,0.000157153,NA,JOCE014.MTS.avi
149,NA,0.0097849,0.000113712,NA,JOCE014.MTS.avi
150,NA,0.0100136,6.13281e-05,NA,JOCE014.MTS.avi
151,NA,0.00756542,0.000167374,NA,JOCE014.MTS.avi
152,NA,0.00330226,0.00089309,NA,JOCE014.MTS.avi
153,NA,0.00390257,0.00242629,NA,JOCE014.MTS.avi
154,NA,0.00415529,0.00255406,NA,JOCE014.MTS.avi
155,NA,0.00303656,0.00585938,NA,JOCE014.MTS.avi
156,NA,0.00251315,0.00744625,NA,JOCE014.MTS.avi
157,NA,0.00319238,0.00902289,NA,JOCE014.MTS.avi
158,NA,0.00313844,0.00744497,NA,JOCE014.MTS.avi
159,NA,0.00235733,0.00591816,NA,JOCE014.MTS.avi
160,NA,0.000337617,0.00427635,NA,JOCE014.MTS.avi
161,NA,0.000680229,0.00286581,NA,JOCE014.MTS.avi
162,NA,0.00155324,0.00223081,NA,JOCE014.MTS.avi
163,NA,0.000756143,0.00140927,NA,JOCE014.MTS.avi
164,NA,0.000355597,0.00118312,NA,JOCE014.MTS.avi
165,NA,7.89105e-05,0.00220014,NA,JOCE014.MTS.avi
166,NA,8.98981e-06,0.00203149,NA,JOCE014.MTS.avi
167,NA,5.09422e-05,0.00231513,NA,JOCE014.MTS.avi
168,NA,0.000115869,0.00393266,NA,JOCE014.MTS.avi
169,NA,0.000113871,0.00290797,NA,JOCE014.MTS.avi
170,NA,7.99094e-05,0.00163414,NA,JOCE014.MTS.avi
171,NA,6.69241e-05,0.000930142,NA,JOCE014.MTS.avi
172,NA,0.000227742,0.000585172,NA,JOCE014.MTS.avi
173,NA,0.000348605,0.000426741,NA,JOCE014.MTS.avi
174,NA,0.000372577,0.00054812,NA,JOCE014.MTS.avi
175,NA,0.000436505,0.000436962,NA,JOCE014.MTS.avi
176,NA,0.000371579,0.000270866,NA,JOCE014.MTS.avi
177,NA,0.000552374,0.000143099,NA,JOCE014.MTS.avi
178,NA,0.00051142,7.02717e-05,NA,JOCE014.MTS.avi
179,NA,0.000649264,0.000168652,NA,JOCE014.MTS.avi
180,NA,0.000704201,0.000238924,NA,JOCE014.MTS.avi
181,NA,0.000293667,0.000640112,NA,JOCE014.MTS.avi
182,NA,0.000278684,0.001247,NA,JOCE014.MTS.avi
183,NA,0.000232736,0.00172357,NA,JOCE014.MTS.avi
184,NA,0.000321635,0.00070144,NA,JOCE014.MTS.avi
185,NA,0.000544383,7.41047e-05,NA,JOCE014.MTS.avi
186,NA,0.00133049,5.36621e-05,NA,JOCE014.MTS.avi
187,NA,0.0015882,0.000206982,NA,JOCE014.MTS.avi
188,NA,0.00104781,0.000180151,NA,JOCE014.MTS.avi
189,NA,0.00030865,0.00015332,NA,JOCE014.MTS.avi
190,NA,0.000643271,0.000490624,NA,JOCE014.MTS.avi
191,NA,0.00345508,0.000546842,NA,JOCE014.MTS.avi
192,NA,0.00976393,0.000360302,NA,JOCE014.MTS.avi
193,NA,0.0115399,0.000475292,NA,JOCE014.MTS.avi
194,NA,0.0107488,0.000282365,NA,JOCE014.MTS.avi
195,NA,0.00770826,8.94368e-05,NA,JOCE014.MTS.avi
196,NA,0.0060821,3.4497e-05,NA,JOCE014.MTS.avi
197,NA,0.00796697,5.23844e-05,NA,JOCE014.MTS.avi
198,NA,0.00586035,0.00049318,NA,JOCE014.MTS.avi
199,NA,0.00548878,0.000545564,NA,JOCE014.MTS.avi
200,NA,0.00784111,0.000822818,NA,JOCE014.MTS.avi
201,NA,0.00365985,0.00702079,NA,JOCE014.MTS.avi
202,NA,0.00433608,0.0136838,NA,JOCE014.MTS.avi
203,NA,0.00601718,0.0162111,NA,JOCE014.MTS.avi
204,NA,0.00326929,0.0150778,NA,JOCE014.MTS.avi
205,NA,0.00668342,0.0151698,NA,JOCE014.MTS.avi
206,NA,0.00560365,0.0173903,NA,JOCE014.MTS.avi
207,NA,0.00357694,0.0166225,NA,JOCE014.MTS.avi
208,NA,0.00569754,0.0155313,NA,JOCE014.MTS.avi
209,NA,0.00534794,0.0149193,NA,JOCE014.MTS.avi
210,NA,0.007936,0.0149768,NA,JOCE014.MTS.avi
211,NA,0.00572051,0.0166442,NA,JOCE014.MTS.avi
212,NA,0.00751648,0.0184329,NA,JOCE014.MTS.avi
213,NA,0.0127865,0.0173367,NA,JOCE014.MTS.avi
214,NA,0.00726476,0.0138525,NA,JOCE014.MTS.avi
215,NA,0.00956316,0.0125237,NA,JOCE014.MTS.avi
216,NA,0.0108467,0.0137158,NA,JOCE014.MTS.avi
217,NA,0.00719384,0.0120216,NA,JOCE014.MTS.avi
218,NA,0.0117217,0.0095084,NA,JOCE014.MTS.avi
219,NA,0.0124818,0.00623885,NA,JOCE014.MTS.avi
220,NA,0.00657954,0.00916982,NA,JOCE014.MTS.avi
221,NA,0.00926549,0.00908933,NA,JOCE014.MTS.avi
222,NA,0.00887693,0.00785255,NA,JOCE014.MTS.avi
223,NA,0.00527302,0.00634107,NA,JOCE014.MTS.avi
224,NA,0.00933641,0.00884657,NA,JOCE014.MTS.avi
225,NA,0.00813078,0.00680869,NA,JOCE014.MTS.avi
226,NA,0.0080249,0.00767751,NA,JOCE014.MTS.avi
227,NA,0.00971698,0.00885935,NA,JOCE014.MTS.avi
228,NA,0.00677532,0.0129057,NA,JOCE014.MTS.avi
229,NA,0.00982486,0.0119155,NA,JOCE014.MTS.avi
230,NA,0.0113411,0.0106532,NA,JOCE014.MTS.avi
231,NA,0.00603016,0.0113764,NA,JOCE014.MTS.avi
232,NA,0.00803489,0.0159606,NA,JOCE014.MTS.avi
233,NA,0.00852433,0.0180662,NA,JOCE014.MTS.avi
234,NA,0.00357395,0.0130578,NA,JOCE014.MTS.avi
235,NA,0.00566358,0.00802759,NA,JOCE014.MTS.avi
236,NA,0.00544383,0.00704889,NA,JOCE014.MTS.avi
237,NA,0.00416028,0.00999775,NA,JOCE014.MTS.avi
238,NA,0.0059103,0.0233328,NA,JOCE014.MTS.avi
239,NA,0.00429113,0.0234222,NA,JOCE014.MTS.avi
240,NA,0.00782812,0.0172472,NA,JOCE014.MTS.avi
241,NA,0.00615003,0.0242041,NA,JOCE014.MTS.avi
242,NA,0.00474462,0.0258459,NA,JOCE014.MTS.avi
243,NA,0.0073197,0.0250998,NA,JOCE014.MTS.avi
244,NA,0.00491543,0.0216258,NA,JOCE014.MTS.avi
245,NA,0.00569754,0.0216335,NA,JOCE014.MTS.avi
246,NA,0.00865419,0.0230594,NA,JOCE014.MTS.avi
247,NA,0.00408237,0.0225278,NA,JOCE014.MTS.avi
248,NA,0.00242125,0.0244993,NA,JOCE014.MTS.avi
249,NA,0.00509722,0.0257105,NA,JOCE014.MTS.avi
250,NA,0.00498734,0.0236535,NA,JOCE014.MTS.avi
251,NA,0.00560265,0.0236496,NA,JOCE014.MTS.avi
252,NA,0.00845941,0.0232318,NA,JOCE014.MTS.avi
253,NA,0.0113981,0.0215453,NA,JOCE014.MTS.avi
254,NA,0.014124,0.0226454,NA,JOCE014.MTS.avi
255,NA,0.0166072,0.0234874,NA,JOCE014.MTS.avi
256,NA,0.017667,0.0205526,NA,JOCE014.MTS.avi
257,NA,0.0191783,0.0148912,NA,JOCE014.MTS.avi
258,NA,0.0205907,0.00929887,NA,JOCE014.MTS.avi
259,NA,0.0212719,0.0139176,NA,JOCE014.MTS.avi
260,NA,0.0197636,0.0157958,NA,JOCE014.MTS.avi
261,NA,0.0155653,0.0140633,NA,JOCE014.MTS.avi
262,NA,0.0180146,0.00977033,NA,JOCE014.MTS.avi
263,NA,0.0187597,0.00566773,NA,JOCE014.MTS.avi
264,NA,0.0180355,0.00271249,NA,JOCE014.MTS.avi
265,NA,0.0205747,0.00816558,NA,JOCE014.MTS.avi
266,NA,0.0214627,0.0142319,NA,JOCE014.MTS.avi
267,NA,0.0190744,0.0189465,NA,JOCE014.MTS.avi
268,NA,0.0196547,0.0191471,NA,JOCE014.MTS.avi
269,NA,0.0269155,0.0166851,NA,JOCE014.MTS.avi
270,NA,0.031785,0.00961956,NA,JOCE014.MTS.avi
271,NA,0.0275178,0.00333855,NA,JOCE014.MTS.avi
272,NA,0.029945,0.00282492,NA,JOCE014.MTS.avi
273,NA,0.0272151,0.00334366,NA,JOCE014.MTS.avi
274,NA,0.0262732,0.00139394,NA,JOCE014.MTS.avi
275,NA,0.0262053,0.000820263,NA,JOCE014.MTS.avi
276,NA,0.024656,0.00108602,NA,JOCE014.MTS.avi
277,NA,0.0263951,0.00310857,NA,JOCE014.MTS.avi
278,NA,0.028244,0.00264222,NA,JOCE014.MTS.avi
279,NA,0.0315422,0.00304085,NA,JOCE014.MTS.avi
280,NA,0.0353919,0.00436196,NA,JOCE014.MTS.avi
281,NA,0.035268,0.00546331,NA,JOCE014.MTS.avi
282,NA,0.0323433,0.00703739,NA,JOCE014.MTS.avi
283,NA,0.030897,0.00744497,NA,JOCE014.MTS.avi
284,NA,0.0324592,0.00631807,NA,JOCE014.MTS.avi
285,NA,0.0349114,0.00505318,NA,JOCE014.MTS.avi
286,NA,0.0388809,0.00416903,NA,JOCE014.MTS.avi
287,NA,0.0413132,0.00362219,NA,JOCE014.MTS.avi
288,NA,0.0413921,0.00232919,NA,JOCE014.MTS.avi
289,NA,0.0357005,0.00130194,NA,JOCE014.MTS.avi
290,NA,0.036186,0.00212348,NA,JOCE014.MTS.avi
