frame,father,mother,child,therapist,file
1,3.64073e-05,NA,7.33058e-05,NA,LACL.MTS.avi
2,3.05034e-05,NA,5.22179e-05,NA,LACL.MTS.avi
3,6.39588e-05,NA,7.33058e-05,NA,LACL.MTS.avi
4,0.000100366,NA,9.33896e-05,NA,LACL.MTS.avi
5,9.15102e-05,NA,0.000219917,NA,LACL.MTS.avi
6,0.000102334,NA,0.000286194,NA,LACL.MTS.avi
7,9.83981e-07,NA,4.01676e-06,NA,LACL.MTS.avi
8,2.95194e-06,NA,3.01257e-06,NA,LACL.MTS.avi
9,1.57437e-05,NA,3.81592e-05,NA,LACL.MTS.avi
10,4.9199e-06,NA,7.23016e-05,NA,LACL.MTS.avi
11,4.9199e-06,NA,0.00037155,NA,LACL.MTS.avi
12,4.13272e-05,NA,0.00134963,NA,LACL.MTS.avi
13,1.96796e-06,NA,0.00176938,NA,LACL.MTS.avi
14,2.95194e-06,NA,0.000804356,NA,LACL.MTS.avi
15,1.96796e-06,NA,0.000474982,NA,LACL.MTS.avi
16,9.83981e-07,NA,0.000566363,NA,LACL.MTS.avi
17,0,NA,0.00057038,NA,LACL.MTS.avi
18,9.83981e-07,NA,0.001199,NA,LACL.MTS.avi
19,9.83981e-07,NA,0.00174327,NA,LACL.MTS.avi
20,1.96796e-06,NA,0.00233876,NA,LACL.MTS.avi
21,9.83981e-07,NA,0.00245524,NA,LACL.MTS.avi
22,1.96796e-06,NA,0.00216001,NA,LACL.MTS.avi
23,2.95194e-06,NA,0.00190093,NA,LACL.MTS.avi
24,1.96796e-06,NA,0.00117289,NA,LACL.MTS.avi
25,3.93592e-06,NA,0.000778247,NA,LACL.MTS.avi
26,2.95194e-06,NA,0.000598497,NA,LACL.MTS.avi
27,3.93592e-06,NA,0.000764188,NA,LACL.MTS.avi
28,0,NA,0.000770213,NA,LACL.MTS.avi
29,2.95194e-06,NA,0.000771218,NA,LACL.MTS.avi
30,2.95194e-06,NA,0.000736071,NA,LACL.MTS.avi
31,2.95194e-06,NA,0.000540254,NA,LACL.MTS.avi
32,9.83981e-07,NA,0.000450881,NA,LACL.MTS.avi
33,3.93592e-06,NA,0.000481007,NA,LACL.MTS.avi
34,1.96796e-06,NA,0.000430797,NA,LACL.MTS.avi
35,2.95194e-06,NA,0.000477994,NA,LACL.MTS.avi
36,4.9199e-06,NA,0.000858582,NA,LACL.MTS.avi
37,6.88787e-06,NA,0.000452889,NA,LACL.MTS.avi
38,8.85583e-06,NA,0.000494061,NA,LACL.MTS.avi
39,4.9199e-06,NA,0.000477994,NA,LACL.MTS.avi
40,5.90388e-06,NA,0.000361508,NA,LACL.MTS.avi
41,6.88787e-05,NA,0.000455902,NA,LACL.MTS.avi
42,0.000347345,NA,0.00062561,NA,LACL.MTS.avi
43,0.000966269,NA,0.000550296,NA,LACL.MTS.avi
44,0.00158126,NA,0.000581426,NA,LACL.MTS.avi
45,0.00227103,NA,0.000581426,NA,LACL.MTS.avi
46,0.00295785,NA,0.00049607,NA,LACL.MTS.avi
47,0.00387295,NA,0.00126026,NA,LACL.MTS.avi
48,0.00503601,NA,0.00488137,NA,LACL.MTS.avi
49,0.00578286,NA,0.00909695,NA,LACL.MTS.avi
50,0.0061056,NA,0.00990231,NA,LACL.MTS.avi
51,0.00663793,NA,0.0137705,NA,LACL.MTS.avi
52,0.00662022,NA,0.0151703,NA,LACL.MTS.avi
53,0.00594226,NA,0.0151954,NA,LACL.MTS.avi
