frame,father,mother,child,therapist,file
1,NA,0.000404999,0.0563246,NA,NAMA045.MTS.avi
2,NA,0.000490547,0.0601226,NA,NAMA045.MTS.avi
3,NA,0.000475387,0.0682044,NA,NAMA045.MTS.avi
4,NA,0.000173262,0.0710303,NA,NAMA045.MTS.avi
5,NA,0.000375762,0.0734271,NA,NAMA045.MTS.avi
6,NA,0.00208564,0.0696321,NA,NAMA045.MTS.avi
7,NA,0.000188422,0.0677763,NA,NAMA045.MTS.avi
8,NA,0.000246898,0.07072,NA,NAMA045.MTS.avi
9,NA,0.00109588,0.0684823,NA,NAMA045.MTS.avi
10,NA,0.00019492,0.0635385,NA,NAMA045.MTS.avi
11,NA,0.000851149,0.060967,NA,NAMA045.MTS.avi
12,NA,0.002626,0.0565289,NA,NAMA045.MTS.avi
13,NA,0.00225674,0.0503852,NA,NAMA045.MTS.avi
14,NA,0.00110346,0.0551464,NA,NAMA045.MTS.avi
15,NA,0.00100492,0.0560595,NA,NAMA045.MTS.avi
16,NA,0.00148031,0.0519955,NA,NAMA045.MTS.avi
17,NA,0.000874972,0.0540938,NA,NAMA045.MTS.avi
18,NA,0.000985427,0.0546712,NA,NAMA045.MTS.avi
19,NA,0.00115003,0.0528409,NA,NAMA045.MTS.avi
20,NA,0.000693047,0.05831,NA,NAMA045.MTS.avi
21,NA,0.00108722,0.0627147,NA,NAMA045.MTS.avi
22,NA,0.000741777,0.0611064,NA,NAMA045.MTS.avi
23,NA,0.000199251,0.0656535,NA,NAMA045.MTS.avi
24,NA,0.000192754,0.0679825,NA,NAMA045.MTS.avi
25,NA,4.11497e-05,0.0665058,NA,NAMA045.MTS.avi
26,NA,0.000244732,0.0650634,NA,NAMA045.MTS.avi
27,NA,0.000421243,0.062048,NA,NAMA045.MTS.avi
28,NA,0.000196002,0.0593616,NA,NAMA045.MTS.avi
29,NA,0.000243649,0.0574391,NA,NAMA045.MTS.avi
30,NA,0.000163516,0.0545906,NA,NAMA045.MTS.avi
31,NA,0.000375762,0.0503872,NA,NAMA045.MTS.avi
32,NA,0.000256644,0.0497667,NA,NAMA045.MTS.avi
33,NA,0.000229572,0.0478726,NA,NAMA045.MTS.avi
34,NA,0.000286965,0.0436643,NA,NAMA045.MTS.avi
35,NA,0.00147273,0.037661,NA,NAMA045.MTS.avi
36,NA,0.00316853,0.0277647,NA,NAMA045.MTS.avi
37,NA,0.00441709,0.0233491,NA,NAMA045.MTS.avi
38,NA,0.00467482,0.0303156,NA,NAMA045.MTS.avi
39,NA,0.00645184,0.0333339,NA,NAMA045.MTS.avi
40,NA,0.00716654,0.0284746,NA,NAMA045.MTS.avi
41,NA,0.00723368,0.0247886,NA,NAMA045.MTS.avi
42,NA,0.00620386,0.0200039,NA,NAMA045.MTS.avi
43,NA,0.00481668,0.0184221,NA,NAMA045.MTS.avi
44,NA,0.00416045,0.0156954,NA,NAMA045.MTS.avi
45,NA,0.00490764,0.0161215,NA,NAMA045.MTS.avi
46,NA,0.00469431,0.0103353,NA,NAMA045.MTS.avi
47,NA,0.00526499,0.00785407,NA,NAMA045.MTS.avi
48,NA,0.0055368,0.00710391,NA,NAMA045.MTS.avi
49,NA,0.00546966,0.0101252,NA,NAMA045.MTS.avi
50,NA,0.00653414,0.0115096,NA,NAMA045.MTS.avi
51,NA,0.00765059,0.0185153,NA,NAMA045.MTS.avi
52,NA,0.00762893,0.0295193,NA,NAMA045.MTS.avi
53,NA,0.00853314,0.0387588,NA,NAMA045.MTS.avi
54,NA,0.00971024,0.0406057,NA,NAMA045.MTS.avi
55,NA,0.00941245,0.0393469,NA,NAMA045.MTS.avi
56,NA,0.00810865,0.0414177,NA,NAMA045.MTS.avi
57,NA,0.00662185,0.0441719,NA,NAMA045.MTS.avi
58,NA,0.00572414,0.0454336,NA,NAMA045.MTS.avi
59,NA,0.00468781,0.0502478,NA,NAMA045.MTS.avi
60,NA,0.0040435,0.0568774,NA,NAMA045.MTS.avi
61,NA,0.00328873,0.0602207,NA,NAMA045.MTS.avi
62,NA,0.00331905,0.0712551,NA,NAMA045.MTS.avi
63,NA,0.00399585,0.0794813,NA,NAMA045.MTS.avi
64,NA,0.00313712,0.0784572,NA,NAMA045.MTS.avi
65,NA,0.00251879,0.070502,NA,NAMA045.MTS.avi
66,NA,0.00190155,0.0482438,NA,NAMA045.MTS.avi
67,NA,0.00151388,0.0334399,NA,NAMA045.MTS.avi
68,NA,0.00173912,0.0465304,NA,NAMA045.MTS.avi
69,NA,0.00187339,0.050888,NA,NAMA045.MTS.avi
70,NA,0.00155394,0.0442347,NA,NAMA045.MTS.avi
71,NA,0.00176077,0.049312,NA,NAMA045.MTS.avi
72,NA,0.00163083,0.0528507,NA,NAMA045.MTS.avi
73,NA,0.00136552,0.0487848,NA,NAMA045.MTS.avi
74,NA,0.00127997,0.0390347,NA,NAMA045.MTS.avi
75,NA,0.00130921,0.0185919,NA,NAMA045.MTS.avi
76,NA,0.000998421,0.0119976,NA,NAMA045.MTS.avi
77,NA,0.00111104,0.0145917,NA,NAMA045.MTS.avi
78,NA,0.00135036,0.0161657,NA,NAMA045.MTS.avi
79,NA,0.00118251,0.012899,NA,NAMA045.MTS.avi
80,NA,0.00139367,0.00889977,NA,NAMA045.MTS.avi
81,NA,0.00179651,0.00517648,NA,NAMA045.MTS.avi
82,NA,0.00247548,0.00776079,NA,NAMA045.MTS.avi
83,NA,0.00283283,0.0146919,NA,NAMA045.MTS.avi
84,NA,0.00249497,0.00987871,NA,NAMA045.MTS.avi
85,NA,0.00169688,0.00497814,NA,NAMA045.MTS.avi
86,NA,0.00107314,0.00520692,NA,NAMA045.MTS.avi
87,NA,0.000568515,0.00725218,NA,NAMA045.MTS.avi
88,NA,0.000263141,0.00873187,NA,NAMA045.MTS.avi
89,NA,0.00173045,0.0085679,NA,NAMA045.MTS.avi
90,NA,0.00731057,0.00809758,NA,NAMA045.MTS.avi
91,NA,0.0147348,0.00688397,NA,NAMA045.MTS.avi
92,NA,0.0224872,0.00615738,NA,NAMA045.MTS.avi
93,NA,0.0225738,0.00497028,NA,NAMA045.MTS.avi
94,NA,0.0270657,0.00416809,NA,NAMA045.MTS.avi
95,NA,0.0329436,0.00388727,NA,NAMA045.MTS.avi
96,NA,0.0359009,0.00356717,NA,NAMA045.MTS.avi
97,NA,0.0351126,0.00260199,NA,NAMA045.MTS.avi
98,NA,0.0369253,0.00234375,NA,NAMA045.MTS.avi
99,NA,0.0363492,0.00310275,NA,NAMA045.MTS.avi
100,NA,0.035849,0.00381068,NA,NAMA045.MTS.avi
101,NA,0.0268848,0.0033816,NA,NAMA045.MTS.avi
102,NA,0.0187762,0.00346015,NA,NAMA045.MTS.avi
103,NA,0.0171378,0.00302714,NA,NAMA045.MTS.avi
104,NA,0.0204005,0.00246158,NA,NAMA045.MTS.avi
105,NA,0.0225121,0.00242525,NA,NAMA045.MTS.avi
106,NA,0.0221829,0.00231135,NA,NAMA045.MTS.avi
107,NA,0.0208022,0.0021405,NA,NAMA045.MTS.avi
108,NA,0.0178362,0.0026285,NA,NAMA045.MTS.avi
109,NA,0.0173987,0.00299474,NA,NAMA045.MTS.avi
110,NA,0.0170836,0.00992486,NA,NAMA045.MTS.avi
111,NA,0.0152124,0.0249614,NA,NAMA045.MTS.avi
112,NA,0.0156975,0.0250154,NA,NAMA045.MTS.avi
113,NA,0.0159802,0.0250576,NA,NAMA045.MTS.avi
114,NA,0.00822127,0.0270656,NA,NAMA045.MTS.avi
115,NA,0.0060241,0.0316176,NA,NAMA045.MTS.avi
116,NA,0.00764518,0.0324993,NA,NAMA045.MTS.avi
117,NA,0.00481884,0.0313201,NA,NAMA045.MTS.avi
118,NA,0.00405108,0.0375118,NA,NAMA045.MTS.avi
119,NA,0.00624934,0.0466894,NA,NAMA045.MTS.avi
120,NA,0.00822994,0.0493935,NA,NAMA045.MTS.avi
121,NA,0.00714813,0.0486257,NA,NAMA045.MTS.avi
122,NA,0.0057328,0.0504451,NA,NAMA045.MTS.avi
123,NA,0.00541227,0.0482163,NA,NAMA045.MTS.avi
124,NA,0.00546641,0.0417584,NA,NAMA045.MTS.avi
125,NA,0.00628074,0.0347419,NA,NAMA045.MTS.avi
126,NA,0.00909083,0.0354813,NA,NAMA045.MTS.avi
127,NA,0.00982719,0.0416504,NA,NAMA045.MTS.avi
128,NA,0.0108895,0.0525169,NA,NAMA045.MTS.avi
129,NA,0.0111407,0.0512179,NA,NAMA045.MTS.avi
130,NA,0.0115912,0.028991,NA,NAMA045.MTS.avi
131,NA,0.0126752,0.0364504,NA,NAMA045.MTS.avi
132,NA,0.0138025,0.043949,NA,NAMA045.MTS.avi
133,NA,0.0158827,0.0419833,NA,NAMA045.MTS.avi
134,NA,0.019257,0.023413,NA,NAMA045.MTS.avi
135,NA,0.0221212,0.042809,NA,NAMA045.MTS.avi
136,NA,0.0240953,0.0460974,NA,NAMA045.MTS.avi
137,NA,0.0234358,0.0212126,NA,NAMA045.MTS.avi
138,NA,0.0157387,0.0399645,NA,NAMA045.MTS.avi
139,NA,0.0122355,0.0394991,NA,NAMA045.MTS.avi
140,NA,0.0112588,0.0339152,NA,NAMA045.MTS.avi
141,NA,0.0100719,0.0280435,NA,NAMA045.MTS.avi
142,NA,0.00847467,0.0197525,NA,NAMA045.MTS.avi
143,NA,0.00669873,0.0214718,NA,NAMA045.MTS.avi
144,NA,0.00823102,0.0235426,NA,NAMA045.MTS.avi
145,NA,0.00976222,0.0242073,NA,NAMA045.MTS.avi
146,NA,0.00950341,0.0209543,NA,NAMA045.MTS.avi
147,NA,0.00696621,0.0199597,NA,NAMA045.MTS.avi
148,NA,0.00584109,0.0178477,NA,NAMA045.MTS.avi
149,NA,0.00588982,0.0218842,NA,NAMA045.MTS.avi
150,NA,0.00341975,0.0240001,NA,NAMA045.MTS.avi
151,NA,0.00215061,0.0311266,NA,NAMA045.MTS.avi
152,NA,0.00161675,0.0395659,NA,NAMA045.MTS.avi
153,NA,0.00296711,0.0382158,NA,NAMA045.MTS.avi
154,NA,0.00315878,0.0409641,NA,NAMA045.MTS.avi
155,NA,0.00327032,0.0495801,NA,NAMA045.MTS.avi
156,NA,0.00314795,0.0543187,NA,NAMA045.MTS.avi
157,NA,0.0035183,0.0533338,NA,NAMA045.MTS.avi
158,NA,0.00211921,0.0562628,NA,NAMA045.MTS.avi
159,NA,0.0010818,0.0619636,NA,NAMA045.MTS.avi
160,NA,0.0025058,0.0651645,NA,NAMA045.MTS.avi
161,NA,0.0051567,0.0683429,NA,NAMA045.MTS.avi
162,NA,0.0029866,0.0716174,NA,NAMA045.MTS.avi
163,NA,0.00279385,0.0707318,NA,NAMA045.MTS.avi
164,NA,0.00193079,0.0695506,NA,NAMA045.MTS.avi
165,NA,0.00379877,0.067414,NA,NAMA045.MTS.avi
166,NA,0.00342842,0.0603847,NA,NAMA045.MTS.avi
167,NA,0.00471814,0.0574715,NA,NAMA045.MTS.avi
168,NA,0.00226215,0.0500092,NA,NAMA045.MTS.avi
169,NA,0.00412038,0.0473974,NA,NAMA045.MTS.avi
170,NA,0.00297144,0.0491275,NA,NAMA045.MTS.avi
171,NA,0.00791157,0.0464067,NA,NAMA045.MTS.avi
172,NA,0.00471489,0.0435592,NA,NAMA045.MTS.avi
173,NA,0.00435537,0.0452156,NA,NAMA045.MTS.avi
174,NA,0.00556495,0.0443889,NA,NAMA045.MTS.avi
175,NA,0.00922619,0.0397338,NA,NAMA045.MTS.avi
176,NA,0.0170587,0.032138,NA,NAMA045.MTS.avi
177,NA,0.0124077,0.0248249,NA,NAMA045.MTS.avi
178,NA,0.00791915,0.0239726,NA,NAMA045.MTS.avi
179,NA,0.00784876,0.0279375,NA,NAMA045.MTS.avi
180,NA,0.0163678,0.0282124,NA,NAMA045.MTS.avi
181,NA,0.0194248,0.0265098,NA,NAMA045.MTS.avi
182,NA,0.011784,0.0266306,NA,NAMA045.MTS.avi
183,NA,0.00826784,0.0244017,NA,NAMA045.MTS.avi
184,NA,0.0147738,0.0204222,NA,NAMA045.MTS.avi
185,NA,0.0217292,0.0169738,NA,NAMA045.MTS.avi
186,NA,0.0133942,0.0274789,NA,NAMA045.MTS.avi
187,NA,0.0114082,0.0317766,NA,NAMA045.MTS.avi
188,NA,0.014449,0.0310333,NA,NAMA045.MTS.avi
189,NA,0.0142573,0.0252324,NA,NAMA045.MTS.avi
190,NA,0.0149752,0.0184653,NA,NAMA045.MTS.avi
191,NA,0.0209517,0.0193215,NA,NAMA045.MTS.avi
192,NA,0.0209365,0.0314516,NA,NAMA045.MTS.avi
193,NA,0.0144446,0.0331287,NA,NAMA045.MTS.avi
194,NA,0.012203,0.0340026,NA,NAMA045.MTS.avi
195,NA,0.0125041,0.0385251,NA,NAMA045.MTS.avi
196,NA,0.0136574,0.0428532,NA,NAMA045.MTS.avi
197,NA,0.0120623,0.0480493,NA,NAMA045.MTS.avi
198,NA,0.0113725,0.0582678,NA,NAMA045.MTS.avi
199,NA,0.0102419,0.0683713,NA,NAMA045.MTS.avi
200,NA,0.0105906,0.0721486,NA,NAMA045.MTS.avi
201,NA,0.0114104,0.0736706,NA,NAMA045.MTS.avi
202,NA,0.00904427,0.0769667,NA,NAMA045.MTS.avi
203,NA,0.0127867,0.0863781,NA,NAMA045.MTS.avi
204,NA,0.0145334,0.087628,NA,NAMA045.MTS.avi
205,NA,0.00815413,0.078146,NA,NAMA045.MTS.avi
206,NA,0.00643126,0.0741065,NA,NAMA045.MTS.avi
207,NA,0.00795597,0.0738414,NA,NAMA045.MTS.avi
208,NA,0.00673772,0.0707897,NA,NAMA045.MTS.avi
209,NA,0.00666517,0.0705187,NA,NAMA045.MTS.avi
210,NA,0.00731923,0.0684941,NA,NAMA045.MTS.avi
211,NA,0.0134473,0.0598241,NA,NAMA045.MTS.avi
212,NA,0.0197291,0.0582707,NA,NAMA045.MTS.avi
213,NA,0.0201179,0.0552819,NA,NAMA045.MTS.avi
214,NA,0.0182336,0.0461062,NA,NAMA045.MTS.avi
215,NA,0.0189646,0.0378093,NA,NAMA045.MTS.avi
216,NA,0.0202835,0.0344503,NA,NAMA045.MTS.avi
217,NA,0.0161242,0.0319013,NA,NAMA045.MTS.avi
218,NA,0.0131181,0.0310903,NA,NAMA045.MTS.avi
219,NA,0.0148507,0.0276262,NA,NAMA045.MTS.avi
220,NA,0.0156001,0.0224772,NA,NAMA045.MTS.avi
221,NA,0.0164588,0.0251254,NA,NAMA045.MTS.avi
222,NA,0.0199056,0.0271264,NA,NAMA045.MTS.avi
223,NA,0.0186646,0.0281535,NA,NAMA045.MTS.avi
224,NA,0.0204178,0.0334193,NA,NAMA045.MTS.avi
225,NA,0.0221743,0.0402503,NA,NAMA045.MTS.avi
226,NA,0.0219122,0.0450144,NA,NAMA045.MTS.avi
227,NA,0.0214357,0.0499552,NA,NAMA045.MTS.avi
228,NA,0.0197887,0.057607,NA,NAMA045.MTS.avi
229,NA,0.0167685,0.0563993,NA,NAMA045.MTS.avi
230,NA,0.0148139,0.0597249,NA,NAMA045.MTS.avi
231,NA,0.0128744,0.0569727,NA,NAMA045.MTS.avi
232,NA,0.0111591,0.0448563,NA,NAMA045.MTS.avi
233,NA,0.00862736,0.0315685,NA,NAMA045.MTS.avi
234,NA,0.00605117,0.0268731,NA,NAMA045.MTS.avi
235,NA,0.00508415,0.0253473,NA,NAMA045.MTS.avi
236,NA,0.00561477,0.0238921,NA,NAMA045.MTS.avi
237,NA,0.00742319,0.0235151,NA,NAMA045.MTS.avi
238,NA,0.0071568,0.0236702,NA,NAMA045.MTS.avi
239,NA,0.00869125,0.0245951,NA,NAMA045.MTS.avi
240,NA,0.0071124,0.0217987,NA,NAMA045.MTS.avi
241,NA,0.00592231,0.0187441,NA,NAMA045.MTS.avi
242,NA,0.00715246,0.0191722,NA,NAMA045.MTS.avi
243,NA,0.00662077,0.0199018,NA,NAMA045.MTS.avi
244,NA,0.00499102,0.0162315,NA,NAMA045.MTS.avi
245,NA,0.00388756,0.0175266,NA,NAMA045.MTS.avi
