frame,father,mother,child,therapist,file
1,4.28788e-05,NA,9.44146e-05,NA,OGGA034.MTS.avi
2,4.28788e-05,NA,0.000100409,NA,OGGA034.MTS.avi
3,0.000319942,NA,0.00037616,NA,OGGA034.MTS.avi
4,0.000463971,NA,0.000564989,NA,OGGA034.MTS.avi
5,0.000200101,NA,0.000266759,NA,OGGA034.MTS.avi
6,0.000173714,NA,0.000304225,NA,OGGA034.MTS.avi
7,0.000205598,NA,0.000325206,NA,OGGA034.MTS.avi
8,9.45533e-05,NA,0.000266759,NA,OGGA034.MTS.avi
9,2.52875e-05,NA,0.000615943,NA,OGGA034.MTS.avi
10,4.28788e-05,NA,0.00115695,NA,OGGA034.MTS.avi
11,4.72766e-05,NA,0.00178189,NA,OGGA034.MTS.avi
12,0.000112145,NA,0.00301677,NA,OGGA034.MTS.avi
13,8.79565e-06,NA,0.00407631,NA,OGGA034.MTS.avi
14,5.49728e-06,NA,0.00584621,NA,OGGA034.MTS.avi
15,1.09946e-05,NA,0.00815112,NA,OGGA034.MTS.avi
16,3.29837e-06,NA,0.0102178,NA,OGGA034.MTS.avi
17,5.49728e-06,NA,0.0126575,NA,OGGA034.MTS.avi
18,7.6962e-06,NA,0.0152697,NA,OGGA034.MTS.avi
19,4.39783e-06,NA,0.0167533,NA,OGGA034.MTS.avi
20,5.49728e-06,NA,0.0172854,NA,OGGA034.MTS.avi
21,1.09946e-06,NA,0.0173153,NA,OGGA034.MTS.avi
22,1.09946e-06,NA,0.0152367,NA,OGGA034.MTS.avi
23,2.19891e-06,NA,0.0125901,NA,OGGA034.MTS.avi
24,9.89511e-06,NA,0.00954936,NA,OGGA034.MTS.avi
25,2.96853e-05,NA,0.00610547,NA,OGGA034.MTS.avi
26,0.000174814,NA,0.00449443,NA,OGGA034.MTS.avi
27,0.000481562,NA,0.00399239,NA,OGGA034.MTS.avi
28,0.000687161,NA,0.00346636,NA,OGGA034.MTS.avi
29,0.000993909,NA,0.00330751,NA,OGGA034.MTS.avi
30,0.00157772,NA,0.0027635,NA,OGGA034.MTS.avi
31,0.00131605,NA,0.00189728,NA,OGGA034.MTS.avi
