frame,father,mother,child,therapist,file
1,NA,0.00125749,0.000291815,NA,PAMA029.MTS.avi
2,NA,0.00108826,0.000361157,NA,PAMA029.MTS.avi
3,NA,0.00146632,0.000423276,NA,PAMA029.MTS.avi
4,NA,0.00114137,0.000229696,NA,PAMA029.MTS.avi
5,NA,0.00125749,0.000296149,NA,PAMA029.MTS.avi
6,NA,0.00121158,0.000403051,NA,PAMA029.MTS.avi
7,NA,0.000820922,0.000131461,NA,PAMA029.MTS.avi
8,NA,0.000522978,0.000102569,NA,PAMA029.MTS.avi
9,NA,0.000564384,0.000135795,NA,PAMA029.MTS.avi
10,NA,0.000218733,4.33388e-05,NA,PAMA029.MTS.avi
11,NA,0.000316847,4.18942e-05,NA,PAMA029.MTS.avi
12,NA,0.00100635,0.000469504,NA,PAMA029.MTS.avi
13,NA,0.000127819,0.000171911,NA,PAMA029.MTS.avi
14,NA,9.4514e-05,0.000495507,NA,PAMA029.MTS.avi
15,NA,6.84102e-05,0.000860998,NA,PAMA029.MTS.avi
16,NA,0.000128719,0.000686198,NA,PAMA029.MTS.avi
17,NA,0.000194429,0.000439167,NA,PAMA029.MTS.avi
18,NA,0.000105316,0.000390049,NA,PAMA029.MTS.avi
19,NA,0.000168325,0.000329375,NA,PAMA029.MTS.avi
20,NA,0.000148522,0.00013724,NA,PAMA029.MTS.avi
21,NA,0.000161124,0.000173355,NA,PAMA029.MTS.avi
22,NA,8.82131e-05,7.80099e-05,NA,PAMA029.MTS.avi
23,NA,3.06045e-05,0.000144463,NA,PAMA029.MTS.avi
24,NA,0.000125119,0.000166132,NA,PAMA029.MTS.avi
25,NA,8.28123e-05,0.000239808,NA,PAMA029.MTS.avi
26,NA,0.000181827,0.000325041,NA,PAMA029.MTS.avi
27,NA,0.00013682,0.000109792,NA,PAMA029.MTS.avi
28,NA,0.000116117,3.90049e-05,NA,PAMA029.MTS.avi
29,NA,0.000122418,0.000277368,NA,PAMA029.MTS.avi
30,NA,0.000111617,0.00139407,NA,PAMA029.MTS.avi
31,NA,9.90147e-05,0.00156742,NA,PAMA029.MTS.avi
32,NA,0.000658898,0.0012785,NA,PAMA029.MTS.avi
33,NA,0.00796618,0.000797434,NA,PAMA029.MTS.avi
34,NA,0.0149476,0.00069631,NA,PAMA029.MTS.avi
35,NA,0.0209398,0.000348155,NA,PAMA029.MTS.avi
36,NA,0.0420326,0.000528734,NA,PAMA029.MTS.avi
37,NA,0.0555797,0.000456502,NA,PAMA029.MTS.avi
38,NA,0.098661,0.000687643,NA,PAMA029.MTS.avi
39,NA,0.142026,0.000413163,NA,PAMA029.MTS.avi
