frame,father,mother,child,therapist,file
1,0.00317532,0.00787948,0.0161232,NA,RAKA008.MTS.avi
2,0.00255067,0.0110552,0.0152169,NA,RAKA008.MTS.avi
3,0.00446597,0.0131785,0.013032,NA,RAKA008.MTS.avi
4,0.0027053,0.0136383,0.0103337,NA,RAKA008.MTS.avi
5,0.00042256,0.0172551,0.00805973,NA,RAKA008.MTS.avi
6,0.00131667,0.0230644,0.0104782,NA,RAKA008.MTS.avi
7,0.00128605,0.0242603,0.0103948,NA,RAKA008.MTS.avi
8,0.00198419,0.0208401,0.0090438,NA,RAKA008.MTS.avi
9,0.00166421,0.0218021,0.00739442,NA,RAKA008.MTS.avi
10,0.00156776,0.0261763,0.0059211,NA,RAKA008.MTS.avi
11,0.00226284,0.0266015,0.00512235,NA,RAKA008.MTS.avi
12,0.00310183,0.0231441,0.00296518,NA,RAKA008.MTS.avi
13,0.00617305,0.0163303,0.00269461,NA,RAKA008.MTS.avi
14,0.00816337,0.0107575,0.00355266,NA,RAKA008.MTS.avi
15,0.00803476,0.0114139,0.0047517,NA,RAKA008.MTS.avi
16,0.00727232,0.0100932,0.00395852,NA,RAKA008.MTS.avi
17,0.00684976,0.00806816,0.00267422,NA,RAKA008.MTS.avi
18,0.00565403,0.00969455,0.00178282,NA,RAKA008.MTS.avi
19,0.00390102,0.0103191,0.000287252,NA,RAKA008.MTS.avi
20,0.00314317,0.00716727,0.000253894,NA,RAKA008.MTS.avi
21,0.00223987,0.00590496,0.00221091,NA,RAKA008.MTS.avi
22,0.00251392,0.00569767,0.00475726,NA,RAKA008.MTS.avi
23,0.0030804,0.00492168,0.00728323,NA,RAKA008.MTS.avi
24,0.00285075,0.00421745,0.00841926,NA,RAKA008.MTS.avi
25,0.00227356,0.00563921,0.00709605,NA,RAKA008.MTS.avi
26,0.00188008,0.005602,0.00505378,NA,RAKA008.MTS.avi
27,0.00111305,0.00349727,0.00283731,NA,RAKA008.MTS.avi
28,0.000635371,0.00279569,0.00271499,NA,RAKA008.MTS.avi
29,0.000765507,0.00270799,0.00346926,NA,RAKA008.MTS.avi
30,0.000829809,0.00353447,0.00430137,NA,RAKA008.MTS.avi
31,0.00188008,0.00449648,0.00494815,NA,RAKA008.MTS.avi
