frame,father,mother,child,therapist,file
1,NA,0.0118979,0.023903,NA,RIEM0.MTS.avi
2,NA,0.0112099,0.017738,NA,RIEM0.MTS.avi
3,NA,0.0103004,0.0143303,NA,RIEM0.MTS.avi
4,NA,0.0130821,0.00767879,NA,RIEM0.MTS.avi
5,NA,0.0143607,0.00583158,NA,RIEM0.MTS.avi
6,NA,0.0128135,0.00652768,NA,RIEM0.MTS.avi
7,NA,0.0129201,0.00617583,NA,RIEM0.MTS.avi
8,NA,0.0127325,0.00619538,NA,RIEM0.MTS.avi
9,NA,0.00997949,0.00581746,NA,RIEM0.MTS.avi
10,NA,0.0112735,0.00389967,NA,RIEM0.MTS.avi
11,NA,0.0150477,0.00373786,NA,RIEM0.MTS.avi
12,NA,0.0145576,0.0036032,NA,RIEM0.MTS.avi
13,NA,0.0113668,0.00239236,NA,RIEM0.MTS.avi
14,NA,0.00812776,0.00322203,NA,RIEM0.MTS.avi
15,NA,0.0100933,0.00189499,NA,RIEM0.MTS.avi
16,NA,0.0120004,0.00148124,NA,RIEM0.MTS.avi
17,NA,0.011701,0.0024901,NA,RIEM0.MTS.avi
18,NA,0.00861581,0.00491286,NA,RIEM0.MTS.avi
19,NA,0.00262586,0.00513548,NA,RIEM0.MTS.avi
20,NA,0.00128473,0.00499431,NA,RIEM0.MTS.avi
21,NA,0.00207731,0.00585873,NA,RIEM0.MTS.avi
22,NA,0.00274992,0.00578706,NA,RIEM0.MTS.avi
23,NA,0.00442633,0.00462183,NA,RIEM0.MTS.avi
24,NA,0.00400902,0.00348592,NA,RIEM0.MTS.avi
25,NA,0.00300933,0.00253679,NA,RIEM0.MTS.avi
26,NA,0.00241157,0.00395288,NA,RIEM0.MTS.avi
27,NA,0.000501384,0.00579683,NA,RIEM0.MTS.avi
28,NA,0.000302471,0.0056133,NA,RIEM0.MTS.avi
29,NA,0.00108992,0.00708695,NA,RIEM0.MTS.avi
30,NA,0.00220753,0.00653311,NA,RIEM0.MTS.avi
31,NA,0.00303599,0.00609112,NA,RIEM0.MTS.avi
32,NA,0.00324721,0.00591846,NA,RIEM0.MTS.avi
33,NA,0.00377217,0.00467721,NA,RIEM0.MTS.avi
34,NA,0.00365529,0.0041755,NA,RIEM0.MTS.avi
35,NA,0.0025346,0.0053277,NA,RIEM0.MTS.avi
36,NA,0.00230288,0.00610633,NA,RIEM0.MTS.avi
37,NA,0.00212345,0.00769834,NA,RIEM0.MTS.avi
38,NA,0.00195632,0.00805562,NA,RIEM0.MTS.avi
39,NA,0.00245976,0.00369333,NA,RIEM0.MTS.avi
40,NA,0.00313032,0.00251833,NA,RIEM0.MTS.avi
