frame,father,mother,child,therapist,file
1,NA,0.000652835,0.000677866,NA,TIUG032.MTS.avi
2,NA,0.000586219,0.00148766,NA,TIUG032.MTS.avi
3,NA,0.000747308,0.00299075,NA,TIUG032.MTS.avi
4,NA,0.000280998,0.000906628,NA,TIUG032.MTS.avi
5,NA,0.00101377,0.00116627,NA,TIUG032.MTS.avi
6,NA,0.00139409,0.000916453,NA,TIUG032.MTS.avi
7,NA,0.000696438,8.4207e-05,NA,TIUG032.MTS.avi
8,NA,0.000175623,0.000108066,NA,TIUG032.MTS.avi
9,NA,0.0001514,0.00019508,NA,TIUG032.MTS.avi
10,NA,0.000181679,0.000207711,NA,TIUG032.MTS.avi
11,NA,0.000366992,5.33311e-05,NA,TIUG032.MTS.avi
12,NA,0.000545038,0.000360687,NA,TIUG032.MTS.avi
13,NA,0.0001623,8.98208e-05,NA,TIUG032.MTS.avi
14,NA,8.96285e-05,6.73656e-05,NA,TIUG032.MTS.avi
15,NA,0.000261618,7.43828e-05,NA,TIUG032.MTS.avi
16,NA,7.75166e-05,5.47345e-05,NA,TIUG032.MTS.avi
17,NA,0.000134443,3.64897e-05,NA,TIUG032.MTS.avi
18,NA,0.000105374,1.68414e-05,NA,TIUG032.MTS.avi
19,NA,9.44733e-05,2.66655e-05,NA,TIUG032.MTS.avi
20,NA,4.11807e-05,2.10517e-05,NA,TIUG032.MTS.avi
21,NA,7.63054e-05,3.08759e-05,NA,TIUG032.MTS.avi
22,NA,0.00017199,9.82415e-06,NA,TIUG032.MTS.avi
23,NA,7.14606e-05,4.21035e-06,NA,TIUG032.MTS.avi
24,NA,0.00011143,3.64897e-05,NA,TIUG032.MTS.avi
25,NA,5.32926e-05,2.10517e-05,NA,TIUG032.MTS.avi
26,NA,1.33232e-05,0.000171221,NA,TIUG032.MTS.avi
27,NA,0,0.000540328,NA,TIUG032.MTS.avi
28,NA,0,0.000409807,NA,TIUG032.MTS.avi
29,NA,2.42239e-06,0.000190869,NA,TIUG032.MTS.avi
30,NA,0,0.000384545,NA,TIUG032.MTS.avi
31,NA,1.33232e-05,0.000363493,NA,TIUG032.MTS.avi
32,NA,4.84479e-06,0.000470156,NA,TIUG032.MTS.avi
33,NA,9.68957e-06,0.000290514,NA,TIUG032.MTS.avi
34,NA,3.63359e-06,0.000109469,NA,TIUG032.MTS.avi
35,NA,4.84479e-06,0.000266655,NA,TIUG032.MTS.avi
36,NA,2.90687e-05,9.26277e-05,NA,TIUG032.MTS.avi
37,NA,3.63359e-06,4.49104e-05,NA,TIUG032.MTS.avi
38,NA,4.84479e-06,5.33311e-05,NA,TIUG032.MTS.avi
39,NA,3.63359e-06,0.000141748,NA,TIUG032.MTS.avi
40,NA,6.05598e-06,7.15759e-05,NA,TIUG032.MTS.avi
41,NA,2.78575e-05,6.45587e-05,NA,TIUG032.MTS.avi
42,NA,9.68957e-06,0.000171221,NA,TIUG032.MTS.avi
43,NA,1.2112e-06,9.40311e-05,NA,TIUG032.MTS.avi
44,NA,6.05598e-06,9.40311e-05,NA,TIUG032.MTS.avi
45,NA,2.90687e-05,6.45587e-05,NA,TIUG032.MTS.avi
46,NA,1.2112e-05,2.52621e-05,NA,TIUG032.MTS.avi
47,NA,3.99695e-05,5.75414e-05,NA,TIUG032.MTS.avi
48,NA,0.000307644,8.70139e-05,NA,TIUG032.MTS.avi
49,NA,0.00058743,9.82415e-06,NA,TIUG032.MTS.avi
50,NA,0.00474304,3.92966e-05,NA,TIUG032.MTS.avi
51,NA,0.0116154,1.12276e-05,NA,TIUG032.MTS.avi
52,NA,0.0150079,0.0001221,NA,TIUG032.MTS.avi
53,NA,0.0181328,0.000227359,NA,TIUG032.MTS.avi
54,NA,0.0215508,7.71897e-05,NA,TIUG032.MTS.avi
55,NA,0.0237322,0,NA,TIUG032.MTS.avi
56,NA,0.0193791,1.40345e-05,NA,TIUG032.MTS.avi
57,NA,0.0108935,3.50862e-05,NA,TIUG032.MTS.avi
58,NA,0.00742948,5.6138e-06,NA,TIUG032.MTS.avi
59,NA,0.00655742,1.40345e-05,NA,TIUG032.MTS.avi
60,NA,0.00423192,0.000145959,NA,TIUG032.MTS.avi
61,NA,0.00376198,0.000176835,NA,TIUG032.MTS.avi
62,NA,0.00462556,0.000536118,NA,TIUG032.MTS.avi
63,NA,0.00424161,0.000703128,NA,TIUG032.MTS.avi
64,NA,0.00247447,0.000550152,NA,TIUG032.MTS.avi
65,NA,0.00197425,0.000649797,NA,TIUG032.MTS.avi
66,NA,0.00228311,0.000686287,NA,TIUG032.MTS.avi
67,NA,0.00214745,0.00060208,NA,TIUG032.MTS.avi
68,NA,0.00165086,0.00056559,NA,TIUG032.MTS.avi
69,NA,0.00108281,0.00119574,NA,TIUG032.MTS.avi
70,NA,0.00119908,0.00880665,NA,TIUG032.MTS.avi
